acchr,accmin,dayofweek
17,1,3
9,0,4
18,7,6
18,7,6
23,19,6
12,57,1
15,0,3
0,12,1
14,20,1
10,59,1
20,13,2
15,35,7
15,35,7
2,30,1
18,15,6
3,20,4
2,26,7
19,14,1
15,53,6
11,10,2
8,22,1
14,20,1
3,0,1
10,59,1
15,5,7
18,50,3
21,46,5
11,5,3
11,5,3
22,15,2
6,1,2
3,0,7
16,12,3
18,15,6
17,51,7
22,15,7
16,45,7
13,30,1
13,55,2
13,8,7
23,19,6
23,19,6
23,19,6
22,20,2
20,58,7
17,40,5
11,21,6
12,49,6
5,8,2
5,8,2
20,43,1
20,43,1
20,35,2
11,28,1
0,55,1
0,55,1
15,0,3
15,0,3
15,0,3
12,44,6
17,31,6
15,25,3
8,21,4
18,48,3
18,48,3
21,35,3
2,55,6
1,7,1
1,7,1
1,7,1
1,7,1
16,35,7
16,18,4
22,32,2
16,37,5
23,22,5
3,10,1
16,12,3
16,12,3
18,15,6
2,26,7
12,45,3
13,55,2
8,36,1
8,36,1
13,35,5
2,15,7
23,19,6
20,58,7
17,40,5
12,49,6
12,49,6
5,8,2
19,10,3
20,43,1
15,25,6
15,25,6
20,35,2
13,53,2
13,53,2
23,5,4
12,36,2
12,57,1
12,57,1
9,41,5
0,55,1
0,55,1
14,52,2
1,20,1
1,19,7
0,48,3
8,21,4
18,48,3
13,40,4
17,10,2
15,5,7
5,30,3
16,47,5
14,45,6
20,41,3
7,15,2
23,45,3
23,45,3
21,35,3
2,41,2
2,55,6
16,30,3
0,53,6
19,55,4
9,0,4
14,11,6
3,10,1
19,40,5
3,20,4
17,51,7
10,57,4
17,58,6
20,20,1
14,24,7
10,25,3
2,26,7
18,49,2
5,16,2
19,14,1
13,35,5
10,43,1
21,22,6
20,5,4
19,25,2
2,30,1
6,19,5
6,19,5
6,19,5
6,48,5
6,48,5
6,48,5
20,19,3
20,19,3
1,30,4
19,10,3
11,10,2
7,11,2
7,11,2
8,22,1
18,40,3
2,30,1
2,30,1
13,30,5
0,55,2
18,32,7
0,37,2
15,25,3
11,29,6
20,13,2
16,10,4
18,49,4
5,5,4
14,12,5
14,43,7
23,45,3
21,35,3
6,1,2
6,1,2
20,24,6
23,15,4
20,18,7
16,5,5
15,35,7
8,11,3
9,51,5
10,25,3
16,45,7
19,14,1
10,43,1
10,43,1
10,43,1
4,25,6
22,20,2
20,58,7
20,58,7
20,5,4
22,56,4
18,0,2
10,15,1
11,10,2
18,12,1
16,22,7
18,40,3
18,40,3
13,50,4
23,5,4
21,41,2
13,30,5
18,32,7
21,23,6
0,37,2
21,53,7
15,25,3
13,30,7
0,2,7
0,48,3
0,48,3
15,5,7
5,30,3
1,35,7
7,0,5
7,15,2
7,15,2
13,6,6
2,41,2
11,5,3
16,35,7
21,38,7
11,53,4
5,24,1
13,14,2
13,14,2
4,30,1
17,10,2
4,20,7
3,10,1
9,51,5
20,28,6
20,28,6
11,19,2
18,15,6
17,58,6
14,24,7
19,0,4
2,26,7
15,18,1
4,8,1
4,8,1
18,49,2
14,2,3
15,25,4
13,8,7
20,5,4
17,40,5
11,21,6
1,30,4
5,39,7
15,57,3
13,30,5
12,57,1
0,55,2
9,41,5
22,23,4
15,52,2
11,24,7
18,32,7
18,32,7
17,31,6
14,20,1
12,40,5
20,13,2
18,24,7
18,24,7
8,21,4
3,26,7
21,46,5
22,15,2
22,15,2
5,55,6
5,55,6
17,50,5
17,50,5
17,50,5
0,51,7
21,0,6
13,14,2
19,6,7
20,55,1
18,15,6
23,25,4
3,20,4
5,36,5
4,8,1
13,55,2
5,16,2
13,35,5
10,43,1
22,56,4
14,12,6
15,53,6
15,15,7
15,57,3
7,11,2
18,40,3
2,30,1
10,44,7
19,2,5
5,49,7
14,52,2
11,24,7
21,42,4
0,12,1
12,44,6
15,52,5
18,32,7
17,31,6
17,31,6
15,20,7
18,54,7
21,23,6
9,51,3
18,4,4
6,20,7
9,47,7
9,47,7
16,10,4
12,32,6
18,50,3
9,23,6
9,23,6
14,45,6
14,30,4
14,12,5
13,6,6
10,30,5
10,30,5
2,41,2
3,25,7
22,15,2
16,35,3
16,35,3
12,43,2
12,43,2
5,55,6
17,1,3
16,18,4
10,48,6
3,0,4
13,5,7
16,31,6
11,53,4
22,51,7
13,14,2
13,14,2
16,37,5
8,11,3
17,10,1
22,41,6
20,28,6
20,28,6
20,28,6
11,19,2
19,56,3
22,15,7
22,50,6
3,15,2
4,8,1
18,7,6
18,7,6
19,55,2
19,55,2
19,55,2
21,35,6
15,53,6
15,7,2
5,8,2
10,15,1
5,39,7
5,39,7
5,39,7
5,39,7
5,39,7
5,39,7
5,39,7
5,39,7
5,39,7
8,45,4
8,45,4
23,18,7
13,18,5
11,22,2
11,22,2
15,0,5
16,22,7
13,50,4
17,20,1
5,25,5
23,5,4
15,1,2
0,55,2
9,41,5
21,42,4
21,42,4
15,52,5
13,34,7
0,37,2
13,30,7
6,20,7
16,28,1
16,28,1
15,51,4
15,51,4
8,21,4
13,40,4
5,5,4
7,0,5
7,0,5
14,43,7
14,43,7
10,30,5
23,45,3
21,46,5
21,46,5
22,15,2
18,42,4
2,41,2
2,41,2
3,25,7
21,48,7
17,1,3
7,30,5
10,48,6
17,13,1
17,13,1
15,19,4
13,14,2
13,14,2
16,5,5
19,6,7
8,11,3
22,41,6
20,28,6
11,19,2
18,15,6
14,34,3
19,56,3
10,57,4
20,20,1
13,30,1
5,36,5
18,49,2
14,2,3
20,5,4
15,15,7
14,42,2
14,42,2
5,39,7
5,39,7
5,39,7
8,45,4
8,45,4
13,18,5
13,18,5
12,57,3
12,57,3
21,32,6
21,32,6
16,22,7
7,11,2
18,3,1
18,3,1
18,40,3
13,50,4
20,35,2
5,25,5
5,25,5
5,25,5
12,36,2
10,44,7
15,52,2
15,52,2
11,24,7
18,15,3
22,49,5
17,15,6
3,0,1
18,54,7
12,40,5
10,59,1
18,4,4
4,50,7
16,28,1
16,28,1
19,10,3
5,39,7
5,39,7
8,22,1
19,30,5
18,20,7
5,25,1
5,18,2
3,10,7
3,10,7
3,11,1
2,11,1
2,45,1
22,20,6
15,0,3
1,34,1
1,34,1
1,34,1
1,19,7
3,35,1
0,11,4
23,30,7
0,2,7
18,20,7
3,10,7
2,15,6
2,15,6
2,15,6
3,59,1
2,14,2
22,20,2
2,45,1
12,49,6
21,41,2
22,20,6
3,16,7
1,19,7
0,11,4
0,11,4
13,30,7
3,3,1
0,2,7
16,57,7
4,19,1
2,5,6
2,5,6
1,9,1
1,25,7
19,30,5
1,15,3
2,51,7
18,20,7
5,24,1
2,22,7
1,55,4
20,20,1
22,50,6
3,11,1
3,59,1
4,8,1
2,15,7
2,15,7
21,22,6
21,22,6
17,40,5
5,12,1
5,12,1
1,4,7
1,4,7
1,4,7
7,2,1
22,23,4
0,46,1
0,46,1
0,46,1
1,30,7
0,12,1
6,51,1
1,34,1
23,57,6
23,57,6
3,35,1
3,3,1
23,30,7
17,0,7
16,57,7
2,9,2
3,26,7
2,5,6
2,5,6
22,15,2
1,9,1
1,9,1
1,9,1
2,55,6
2,51,7
2,51,7
21,48,7
21,48,7
4,45,7
3,12,1
3,12,1
3,12,1
3,0,7
4,9,7
3,11,1
2,15,7
17,40,5
2,45,1
2,26,7
5,12,1
18,12,1
8,22,1
1,4,7
21,41,2
7,2,1
20,10,4
1,34,1
21,23,6
21,53,7
21,53,7
21,53,7
10,59,1
3,3,1
3,3,1
23,30,7
0,2,7
17,0,7
16,57,7
1,35,7
14,30,4
6,1,2
1,25,7
0,51,7
6,8,5
6,8,5
23,15,4
5,24,1
5,24,1
22,50,6
22,23,4
0,46,1
20,10,4
10,5,7
3,0,1
10,59,1
18,4,4
15,51,4
1,25,7
19,30,5
1,25,6
1,25,6
0,51,7
16,30,3
23,40,3
3,0,7
2,30,1
20,55,1
17,58,6
3,15,2
1,53,1
5,25,5
22,20,7
20,10,4
18,32,7
18,24,7
4,19,1
22,22,6
22,22,6
22,51,7
3,15,2
11,21,6
23,18,7
22,20,7
22,20,7
22,0,7
22,0,7
13,34,7
