,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
1,"N1, D-1, Alc1->A1, S1, I4","numfatal=1, druginv=Blank, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.052426680999999996,0.506265664,2.054748881,,,,,,,,,,,,,,,,0.054204012,0.527700831,2.129281941
8,"N1, S1, Alc0->A1, I4","numfatal=1, sex=Male, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.06730686,0.5471167370000001,1.619493563,0.100535595,0.524447031,1.575098625,,,,0.096918318,0.511178248,1.539177276,0.09004943,0.51505839,1.515854957,0.081798149,0.507381083,1.5309144630000002,0.068715322,0.531938326,1.559864202
19,"N1, P1, Alc1->A1, S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.069988753,0.502484472,2.039402392,,,,,,,,,,,,,0.051035699000000004,0.5,2.129316817,0.07028026700000001,0.519180242,2.094901216
22,"P1, Alc1->A1, S1, I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",,,,,,,,,,,,,,,,0.056765095,0.5019485579999999,2.137615012,0.077109119,0.5118035879999999,2.065136293
23,"N1, Ag5, Alc0->A1, I4","numfatal=1, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.073644276,0.563620837,1.69275132,0.06940099599999999,0.50463353,1.522367003,0.071944094,0.536293766,1.6148010640000001,0.069310123,0.546610169,1.60871418,0.064169238,0.579156722,1.747482185,,,
26,"D-1, Alc1->A1, S1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",,,,,,,,,,,,,,,,,,,0.062455540999999996,0.521068249,2.102519359
28,"N1, S1, Ag5, Alc0->A1, I4","numfatal=1, sex=Male, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.050212006,0.548112058,1.646173012,,,,0.051895979,0.529824561,1.595322041,,,,,,,,,
29,"Ag5, Alc0->A1, I4","age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.052945757,0.5982404689999999,1.770822429,0.081231868,0.56390395,1.69360161,0.077627158,0.507960576,1.532403961,0.080765265,0.540644172,1.6279003019999998,0.080270793,0.560390098,1.649269528,0.072014103,0.580255682,1.750798061,0.05470194900000001,0.562134503,1.64841194
30,"S1, Ag5, Alc0->N1, A1, I4","sex=Male, age=45+, alcres=No->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",,,,0.050212006,0.5079006770000001,1.724822232,,,,,,,,,,,,,,,
32,"N1, Alc1->A1, S1, I4","numfatal=1, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.09066528199999999,0.507506053,2.059783171,,,,0.051905920999999994,0.530177515,2.256391583,0.052927025,0.521444695,2.2149346690000002,0.057704707,0.519845111,2.182083268,0.067430586,0.511363636,2.177710381,0.090980225,0.52807597,2.130795634
33,"Alc1->A1, I4","alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.121809845,0.59509721,1.7615182219999999,0.070631555,0.616959064,1.85294475,0.069864442,0.655434783,1.9773008069999998,0.069882003,0.62692703,1.887701291,0.077261982,0.638543517,1.879280825,0.09308065199999999,0.62633452,1.88983115,0.125124484,0.634102379,1.8594516580000002
35,"N1, S1, Alc1->A1, I4","numfatal=1, sex=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.09066528199999999,0.6026451979999999,1.783860653,0.051774158,0.608125819,1.826415413,0.051905920999999994,0.65497076,1.975900955,0.052927025,0.635488308,1.9134796280000002,0.057704707,0.63028169,1.854965657,0.067430586,0.619433198,1.8690078819999998,0.090980225,0.635685885,1.8640951540000001
45,"D-1, Alc1->N1, A1, I4","druginv=Blank, alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",0.062981227,0.5192582029999999,1.8439648430000002,,,,,,,,,,,,,,,,0.066154503,0.5519287829999999,1.927226735
49,"D-1, Alc1->A1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.073189722,0.60342368,1.7861649990000001,,,,,,,,,,,,,0.05747025099999999,0.644906034,1.945866742,0.077393655,0.645697329,1.893452869
61,"N1, D-1, S1, Alc1->A1, I4","numfatal=1, druginv=Blank, sex=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.052426680999999996,0.605394605,1.7919990380000002,,,,,,,,,,,,,,,,0.054204012,0.638725901,1.873009745
65,"N1, P1, Ag5, Alc0->A1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.054340549,0.521413276,1.565987192,,,,,,,,,,,,,,,
67,"Alc1->N1, A1, I4","alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",0.10675664,0.521555368,1.852122426,0.064940861,0.567251462,1.9263765069999998,0.06395550900000001,0.6,2.089830508,0.06392484799999999,0.57348407,1.99758278,0.070707071,0.584369449,1.9847233930000001,0.081974438,0.5516014229999999,1.9464753190000001,0.10911936300000001,0.552992069,1.93093952
74,"D-1, Alc0->A1, I4","druginv=Blank, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.06903711400000001,0.6176470589999999,1.8282669280000001,0.09350591400000001,0.58356546,1.752652027,0.087591241,0.549818182,1.658679038,0.09084660300000001,0.575054387,1.731510778,0.08800773699999999,0.610738255,1.797447882,0.083208462,0.58235657,1.757137044,0.06643903799999999,0.598334401,1.7545650830000001
93,"S2, Alc0->A1, I4","sex=Fenale, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.051550992999999996,0.555956679,1.6697331619999998,,,,,,,,,,,,,,,
