,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
4,"D-1, S1, Alc1->P1, I4","druginv=Blank, sex=Male, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.05727139,0.569217541,2.0269826109999998,,,,,,,,,,,,,,,,0.057974107000000004,0.589298626,2.166978835
7,"A1, Alc0->P1, I4","atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.07959166,0.5057724020000001,1.80105459,0.114818121,0.507897335,1.735993865,0.113196617,0.515839493,1.71966422,0.10986367300000001,0.508214096,1.736961961,0.106920266,0.506619145,1.7119091359999998,0.09898633800000001,0.511617312,1.7992245519999999,,,
11,"N1, Alc1->P1, I4","numfatal=1, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.104593823,0.585472155,2.0848652619999997,0.06237447,0.592788971,2.026153608,0.059668636,0.609467456,2.031793592,0.061748196,0.608352144,2.079211382,0.066408769,0.598257502,2.0215629330000002,0.078096078,0.592245989,2.082774566,0.102575046,0.595375723,2.189325636
37,"N1, Ag5, Alc0->P1, I4","numfatal=1, age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.07252845299999999,0.555081127,1.89726814,0.073456146,0.534119629,1.780605068,0.07068392700000001,0.526900085,1.8008264859999998,0.066623684,0.525423729,1.7754514240000001,0.061084177999999996,0.551312649,1.9388226919999998,,,
43,"N1, A1, S1, Alc0->P1, I4","numfatal=1, atmcond=Clear, sex=Male, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.052945757,0.5518485120000001,1.9651315319999998,0.076880161,0.527969349,1.804600039,0.075309929,0.534539474,1.782004711,0.07274601900000001,0.525662252,1.7965958480000002,0.069202665,0.535328346,1.808919966,0.062406345999999994,0.518681319,1.82406682,0.052852468,0.525088339,1.930863686
70,"N1, D-1, Alc1->P1, I4","numfatal=1, druginv=Blank, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.057876979,0.558897243,1.99023205,,,,,,,,,,,,,,,,0.06025039099999999,0.586565097,2.156927055
71,"Ag5, Alc0->P1, I4","age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.079669717,0.553059644,1.890358706,0.081450585,0.53297953,1.776804296,0.078932295,0.528374233,1.805864793,0.075757576,0.528882221,1.787137961,0.069193477,0.557528409,1.960681897,,,
77,"N1, A1, Alc0->P1, I4","numfatal=1, atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.069642703,0.518685567,1.847038345,0.104440973,0.514003295,1.756864046,0.10033599800000001,0.517323775,1.724612401,0.096345515,0.5084643289999999,1.737817199,0.094670105,0.508073818,1.7168245999999998,0.087439401,0.514522822,1.8094424709999999,,,
87,"D0, Alc0->P1, I4","druginv=No(drugs not involved), alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.062597634,0.50044603,1.710525295,,,,,,,,,,,,,,,
108,"S1, Ag5, Alc0->P1, I4","sex=Male, age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.055456371,0.560948081,1.9173213980000001,0.05885760599999999,0.548004315,1.826892716,0.058884179,0.545647558,1.86490115,0.05405115,0.551535088,1.863683924,,,,,,
