,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
2,"P1, D-1, Alc0->S1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.061058972999999996,0.519723866,1.6365329030000002,0.059800664,0.53814433,1.697059919,0.056522674,0.538382805,1.696644219,,,,,,
5,"N1, P1, Ag5, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.07252845299999999,0.695931478,1.540365004,0.073456146,0.659043659,1.442974587,0.07068392700000001,0.670652174,1.48393481,0.066623684,0.6673842839999999,1.468939959,0.061084177999999996,0.691616766,1.57684731,,,
7,"A1, Alc0->P1, I4","atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.07959166,0.5057724020000001,1.80105459,0.114818121,0.507897335,1.735993865,0.113196617,0.515839493,1.71966422,0.10986367300000001,0.508214096,1.736961961,0.106920266,0.506619145,1.7119091359999998,0.09898633800000001,0.511617312,1.7992245519999999,,,
8,"N1, S1, Alc0->A1, I4","numfatal=1, sex=Male, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.06730686,0.5471167370000001,1.619493563,0.100535595,0.524447031,1.575098625,,,,0.096918318,0.511178248,1.539177276,0.09004943,0.51505839,1.515854957,0.081798149,0.507381083,1.5309144630000002,0.068715322,0.531938326,1.559864202
16,"N1, A1, D-1, P1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.05489846,0.7089337179999999,1.56914398,,,,,,,,,,,,,,,
18,"N1, S1, F12, Alc0->I4","numfatal=1, sex=Male, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.052666815,0.6028097060000001,1.334250577,0.05839416099999999,0.585365854,1.2816572,0.056592965999999995,0.599514563,1.326530449,0.051257252999999996,0.601513241,1.323955113,,,,,,
20,"S2, Alc0->N1, I4","sex=Fenale, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.058580674000000006,0.631768953,1.59895887,0.055265902,0.6146907220000001,1.55355655,0.054072630999999996,0.6361185979999999,1.625967568,0.054588437999999996,0.61352657,1.563383971,0.050418687000000004,0.626506024,1.668868477,,,
21,"N1, S1, D-1, Alc0->I4","numfatal=1, sex=Male, druginv=Blank, alcres=No->injury=Fatal Injury (K)",,,,0.075987503,0.7703619909999999,1.7051084619999999,0.075541652,0.75638051,1.656093401,0.078703173,0.788748565,1.745243656,0.069954868,0.783393502,1.7242809669999999,0.06460996,0.758799172,1.730019414,,,
23,"N1, Ag5, Alc0->A1, I4","numfatal=1, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.073644276,0.563620837,1.69275132,0.06940099599999999,0.50463353,1.522367003,0.071944094,0.536293766,1.6148010640000001,0.069310123,0.546610169,1.60871418,0.064169238,0.579156722,1.747482185,,,
25,"N1, P1, D-1, Alc0->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.055613486,0.530973451,1.671956169,0.053958070999999996,0.545138889,1.7191175440000002,0.051901999000000004,0.545762712,1.719901049,,,,,,
27,"A1, S2, Alc0->I4","atmcond=Clear, sex=Fenale, alcres=No->injury=Fatal Injury (K)",,,,0.051550992999999996,0.7649006620000001,1.693020433,,,,,,,,,,,,,,,
28,"N1, S1, Ag5, Alc0->A1, I4","numfatal=1, sex=Male, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.050212006,0.548112058,1.646173012,,,,0.051895979,0.529824561,1.595322041,,,,,,,,,
29,"Ag5, Alc0->A1, I4","age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.052945757,0.5982404689999999,1.770822429,0.081231868,0.56390395,1.69360161,0.077627158,0.507960576,1.532403961,0.080765265,0.540644172,1.6279003019999998,0.080270793,0.560390098,1.649269528,0.072014103,0.580255682,1.750798061,0.05470194900000001,0.562134503,1.64841194
30,"S1, Ag5, Alc0->N1, A1, I4","sex=Male, age=45+, alcres=No->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",,,,0.050212006,0.5079006770000001,1.724822232,,,,,,,,,,,,,,,
31,"A1, D0, Alc0->N1, I4","atmcond=Clear, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.053559472999999996,0.566706021,1.4342895690000002,,,,,,,,,,,,,,,
36,"A1, Ag5, Alc0->N1, I4","atmcond=Clear, age=45+, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.073644276,0.688216893,1.741824285,0.06940099599999999,0.648970748,1.640195175,0.071944094,0.6610526320000001,1.689700855,0.069310123,0.654822335,1.66861354,0.064169238,0.692015209,1.843369934,,,
37,"N1, Ag5, Alc0->P1, I4","numfatal=1, age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.07252845299999999,0.555081127,1.89726814,0.073456146,0.534119629,1.780605068,0.07068392700000001,0.526900085,1.8008264859999998,0.066623684,0.525423729,1.7754514240000001,0.061084177999999996,0.551312649,1.9388226919999998,,,
39,"D-1, Alc0->S1, I4","druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",0.060212821,0.53869969,1.6761318230000002,0.085360411,0.532729805,1.705725085,0.08596918099999999,0.539636364,1.699234387,0.087868026,0.556200145,1.753999663,0.078444015,0.544369873,1.715511697,0.07342441599999999,0.513880321,1.680591594,0.057902972999999996,0.521460602,1.6436531719999998
40,"A1, P1, F12, Alc0->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.060812319000000004,0.61861521,1.369234258,0.066504461,0.608050847,1.331325942,0.061862756,0.609480813,1.3485825130000002,0.060713518,0.635545557,1.398861625,0.06090788900000001,0.626473255,1.4283237690000001,,,
43,"N1, A1, S1, Alc0->P1, I4","numfatal=1, atmcond=Clear, sex=Male, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.052945757,0.5518485120000001,1.9651315319999998,0.076880161,0.527969349,1.804600039,0.075309929,0.534539474,1.782004711,0.07274601900000001,0.525662252,1.7965958480000002,0.069202665,0.535328346,1.808919966,0.062406345999999994,0.518681319,1.82406682,0.052852468,0.525088339,1.930863686
47,"S1, P1, F12, Alc0->I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.056014283,0.59408284,1.314934654,0.064766539,0.581081081,1.2722757,0.060258907,0.583795782,1.291749908,0.055663013,0.593356243,1.306001229,0.053327457,0.5675422139999999,1.293964312,,,
50,"A1, F12, Alc0->N1, I4","atmcond=Clear, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.058915420999999996,0.5465838510000001,1.383361896,0.060132082,0.5159045729999999,1.3038864909999999,0.058311376,0.524201854,1.339899848,0.057059961,0.539634146,1.375091831,0.056324372000000004,0.5325,1.418457971,,,
51,"S1, D-1, P1, Alc0->I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.06036599,0.7146631440000001,1.581825413,,,,,,,,,,0.050242398,0.690909091,1.57523385,,,
52,"S1, D0, Alc0->I4","sex=Male, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.052555233,0.598475222,1.324656691,0.053296258,0.577889447,1.265287625,0.05097949400000001,0.57642487,1.27544048,,,,,,,,,
55,"P1, D0, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.056683776,0.515212982,1.303964626,,,,,,,,,,,,,,,
57,"D0, Alc0->N1, I4","druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.069627315,0.556645852,1.40882805,0.070327888,0.540516474,1.3660900980000001,0.065070455,0.534336783,1.365805498,0.06415216,0.516883117,1.317117822,0.054032613,0.520815633,1.387333495,,,
58,"S1, Ag5, Alc0->I4","sex=Male, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.071970542,0.727990971,1.6113250380000002,0.07542579099999999,0.702265372,1.537608429,0.07778668799999999,0.720806794,1.5949106480000002,0.070492156,0.7192982459999999,1.5832046999999998,0.061877479000000006,0.72371134,1.6500211319999998,,,
62,"S1, D-1, P1, Alc0->N1, I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.054563713,0.6459709379999999,1.634903006,,,,,,,,,,,,,,,
63,"N1, A1, S1, P1, Alc0->I4","numfatal=1, atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",0.052945757,0.650371945,1.46457224,0.076880161,0.631530706,1.397821236,0.075309929,0.625,1.368436073,0.07274601900000001,0.640120968,1.4163791959999998,0.069202665,0.6395233370000001,1.407616881,0.062406345999999994,0.621052632,1.415965053,0.052852468,0.62489487,1.4249427540000001
65,"N1, P1, Ag5, Alc0->A1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.054340549,0.521413276,1.565987192,,,,,,,,,,,,,,,
71,"Ag5, Alc0->P1, I4","age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.079669717,0.553059644,1.890358706,0.081450585,0.53297953,1.776804296,0.078932295,0.528374233,1.805864793,0.075757576,0.528882221,1.787137961,0.069193477,0.557528409,1.960681897,,,
72,"P1, D0, Alc0->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.062597634,0.568965517,1.2593403220000001,0.063492063,0.550200803,1.204663402,0.060258907,0.558386412,1.235527247,0.059531485,0.550695825,1.212103914,0.051300132000000005,0.553231939,1.261337691,,,
73,"N1, A1, P1, D-1, Alc0->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->injury=Fatal Injury (K)",,,,,,,0.052369365999999994,0.684848485,1.499474194,0.050521250999999996,0.7241379309999999,1.602281369,0.052116914,0.728228228,1.6028599559999999,,,,,,
74,"D-1, Alc0->A1, I4","druginv=Blank, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.06903711400000001,0.6176470589999999,1.8282669280000001,0.09350591400000001,0.58356546,1.752652027,0.087591241,0.549818182,1.658679038,0.09084660300000001,0.575054387,1.731510778,0.08800773699999999,0.610738255,1.797447882,0.083208462,0.58235657,1.757137044,0.06643903799999999,0.598334401,1.7545650830000001
77,"N1, A1, Alc0->P1, I4","numfatal=1, atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.069642703,0.518685567,1.847038345,0.104440973,0.514003295,1.756864046,0.10033599800000001,0.517323775,1.724612401,0.096345515,0.5084643289999999,1.737817199,0.094670105,0.508073818,1.7168245999999998,0.087439401,0.514522822,1.8094424709999999,,,
