,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
1,"N1, D-1, Alc1->A1, S1, I4","numfatal=1, druginv=Blank, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.052426680999999996,0.506265664,2.054748881,,,,,,,,,,,,,,,,0.054204012,0.527700831,2.129281941
2,"P1, D-1, Alc0->S1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.061058972999999996,0.519723866,1.6365329030000002,0.059800664,0.53814433,1.697059919,0.056522674,0.538382805,1.696644219,,,,,,
4,"D-1, S1, Alc1->P1, I4","druginv=Blank, sex=Male, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.05727139,0.569217541,2.0269826109999998,,,,,,,,,,,,,,,,0.057974107000000004,0.589298626,2.166978835
10,"S1, P1, D-1, Ag5->N1, I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->numfatal=1, injury=Fatal Injury (K)",,,,,,,0.054918318,0.51465798,1.30073588,0.057394890999999996,0.52570829,1.3437504130000002,0.053836235,0.5284810129999999,1.346671496,,,,,,
12,"N1, A1, D-1, S1, Alc1->I4","numfatal=1, atmcond=Clear, druginv=Blank, sex=Male, alcres=Yes->injury=Fatal Injury (K)",0.052426680999999996,0.829001368,1.866827745,,,,,,,,,,,,,,,,0.054204012,0.837362637,1.909431299
14,"N1, A1, S1, D-1, P1->I4","numfatal=1, atmcond=Clear, sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",,,,0.083463513,0.510928962,1.1308830220000001,,,,,,,,,,0.08585279900000001,0.535753575,1.221488005,,,
16,"N1, A1, D-1, P1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.05489846,0.7089337179999999,1.56914398,,,,,,,,,,,,,,,
17,"D-1, P1, Alc1->S1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->sex=Male, injury=Fatal Injury (K)",0.05727139,0.677584442,2.10826341,,,,,,,,,,,,,,,,0.057974107000000004,0.675787728,2.13009504
21,"N1, S1, D-1, Alc0->I4","numfatal=1, sex=Male, druginv=Blank, alcres=No->injury=Fatal Injury (K)",,,,0.075987503,0.7703619909999999,1.7051084619999999,0.075541652,0.75638051,1.656093401,0.078703173,0.788748565,1.745243656,0.069954868,0.783393502,1.7242809669999999,0.06460996,0.758799172,1.730019414,,,
25,"N1, P1, D-1, Alc0->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.055613486,0.530973451,1.671956169,0.053958070999999996,0.545138889,1.7191175440000002,0.051901999000000004,0.545762712,1.719901049,,,,,,
26,"D-1, Alc1->A1, S1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",,,,,,,,,,,,,,,,,,,0.062455540999999996,0.521068249,2.102519359
34,"P1, D-1->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.16637701300000002,0.513958482,1.125310924,0.163363501,0.503353336,1.113756975,0.16419514300000002,0.518669382,1.14161241,,,,,,
39,"D-1, Alc0->S1, I4","druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",0.060212821,0.53869969,1.6761318230000002,0.085360411,0.532729805,1.705725085,0.08596918099999999,0.539636364,1.699234387,0.087868026,0.556200145,1.753999663,0.078444015,0.544369873,1.715511697,0.07342441599999999,0.513880321,1.680591594,0.057902972999999996,0.521460602,1.6436531719999998
42,"N1, A1, D-1, Alc1->S1, I4","numfatal=1, atmcond=Clear, druginv=Blank, alcres=Yes->sex=Male, injury=Fatal Injury (K)",0.052426680999999996,0.691780822,2.152434595,,,,,,,,,,,,,,,,0.054204012,0.683408072,2.154114501
44,"N1, A1, P1, D-1->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.11203800300000001,0.508679642,1.113752915,,,,0.112615517,0.5072604070000001,1.116500791,,,,,,
45,"D-1, Alc1->N1, A1, I4","druginv=Blank, alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",0.062981227,0.5192582029999999,1.8439648430000002,,,,,,,,,,,,,,,,0.066154503,0.5519287829999999,1.927226735
48,"D-1, S1, P1, Alc1->I4","druginv=Blank, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",0.05727139,0.772462077,1.739506945,,,,,,,,,,,,,,,,0.057974107000000004,0.7874396140000001,1.795592228
49,"D-1, Alc1->A1, I4","druginv=Blank, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.073189722,0.60342368,1.7861649990000001,,,,,,,,,,,,,0.05747025099999999,0.644906034,1.945866742,0.077393655,0.645697329,1.893452869
51,"S1, D-1, P1, Alc0->I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.06036599,0.7146631440000001,1.581825413,,,,,,,,,,0.050242398,0.690909091,1.57523385,,,
53,"N1, D-1, P1, Ag5->I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",0.051648066,0.57293666,1.2901957640000001,0.073197947,0.55499154,1.2284105159999998,,,,,,,,,,0.06848832099999999,0.55106383,1.256394524,0.053706075,0.560089021,1.277166497
54,"N1, P1, D-1, Ag5->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",,,,,,,0.073572008,0.55506993,1.215324345,0.071714973,0.541054451,1.197177263,0.07027724,0.5532994920000001,1.217834692,,,,,,
56,"N1, A1, P1, D-1, Ag5->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",,,,,,,0.053180396,0.538100821,1.178170518,0.051895979,0.5292056070000001,1.170959632,0.051579625999999996,0.552995392,1.217165354,,,,,,
59,"N1, A1, S1, P1, D-1->I4","numfatal=1, atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.08596918099999999,0.532663317,1.166265116,0.08660785900000001,0.536170213,1.186370035,0.088222652,0.541914191,1.192775181,,,,,,
60,"A1, S1, D-1->I4","atmcond=Clear, sex=Male, druginv=Blank->injury=Fatal Injury (K)",,,,,,,,,,0.145606599,0.500393701,1.107208267,,,,,,,,,
61,"N1, D-1, S1, Alc1->A1, I4","numfatal=1, druginv=Blank, sex=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",0.052426680999999996,0.605394605,1.7919990380000002,,,,,,,,,,,,,,,,0.054204012,0.638725901,1.873009745
62,"S1, D-1, P1, Alc0->N1, I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.054563713,0.6459709379999999,1.634903006,,,,,,,,,,,,,,,
66,"A1, S1, P1, D-1->I4","atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.092457421,0.534494307,1.170274064,0.094627105,0.544137022,1.203997989,0.09563722300000001,0.545009186,1.1995873890000002,,,,,,
69,"A1, D-1, S1, P1->I4","atmcond=Clear, druginv=Blank, sex=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",0.09888398699999999,0.590087765,1.328818327,,,,,,,,,,,,,,,,0.097026604,0.562706271,1.283134591
70,"N1, D-1, Alc1->P1, I4","numfatal=1, druginv=Blank, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.057876979,0.558897243,1.99023205,,,,,,,,,,,,,,,,0.06025039099999999,0.586565097,2.156927055
