,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
31,"A1, D0, Alc0->N1, I4","atmcond=Clear, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.053559472999999996,0.566706021,1.4342895690000002,,,,,,,,,,,,,,,
52,"S1, D0, Alc0->I4","sex=Male, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.052555233,0.598475222,1.324656691,0.053296258,0.577889447,1.265287625,0.05097949400000001,0.57642487,1.27544048,,,,,,,,,
55,"P1, D0, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.056683776,0.515212982,1.303964626,,,,,,,,,,,,,,,
57,"D0, Alc0->N1, I4","druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.069627315,0.556645852,1.40882805,0.070327888,0.540516474,1.3660900980000001,0.065070455,0.534336783,1.365805498,0.06415216,0.516883117,1.317117822,0.054032613,0.520815633,1.387333495,,,
72,"P1, D0, Alc0->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.062597634,0.568965517,1.2593403220000001,0.063492063,0.550200803,1.204663402,0.060258907,0.558386412,1.235527247,0.059531485,0.550695825,1.212103914,0.051300132000000005,0.553231939,1.261337691,,,
87,"D0, Alc0->P1, I4","druginv=No(drugs not involved), alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.062597634,0.50044603,1.710525295,,,,,,,,,,,,,,,
111,"N1, A1, D0, Alc0->I4","numfatal=1, atmcond=Clear, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.053559472999999996,0.620957309,1.3744182280000001,,,,,,,,,,,,,,,
148,"D0, Alc0->I4","druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.07754965400000001,0.619982159,1.372259844,0.077974742,0.5992876220000001,1.3121388809999999,0.073547944,0.603951082,1.33634702,0.075220288,0.606060606,1.333964049,0.061789335,0.595581988,1.357893419,0.050362783,0.577487765,1.316840714
168,"N1, P1, D0, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.056683776,0.56381798,1.247946836,0.056887962,0.546770601,1.197152983,0.053499828,0.553317536,1.224311475,0.051042338,0.531319911,1.169456738,,,,,,
187,"N1, D0, Alc0->I4","numfatal=1, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.069627315,0.612966601,1.3567317069999998,0.070327888,0.597440945,1.308095585,0.065070455,0.5978947370000001,1.322946301,0.06415216,0.5858684989999999,1.2895203990000002,0.054032613,0.582146249,1.32726069,,,
325,"A1, D0, Alc0->I4","atmcond=Clear, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.059138585,0.625737898,1.3849995169999998,0.055265902,0.62190352,1.3616563380000002,0.055103677000000004,0.608860759,1.3472105369999998,0.054373522,0.61185006,1.346706874,,,,,,
381,"A1, Ag5, D0->I4","atmcond=Clear, age=45+, druginv=No(drugs not involved)->injury=Fatal Injury (K)",,,,0.056572194000000006,0.5,1.106693011,,,,,,,,,,,,,,,
434,"Ag5, D0->I4","age=45+, druginv=No(drugs not involved)->injury=Fatal Injury (K)",0.055800675,0.504694836,1.136522035,,,,,,,,,,,,,,,,,,
