,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
18,"N1, S1, F12, Alc0->I4","numfatal=1, sex=Male, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.052666815,0.6028097060000001,1.334250577,0.05839416099999999,0.585365854,1.2816572,0.056592965999999995,0.599514563,1.326530449,0.051257252999999996,0.601513241,1.323955113,,,,,,
40,"A1, P1, F12, Alc0->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.060812319000000004,0.61861521,1.369234258,0.066504461,0.608050847,1.331325942,0.061862756,0.609480813,1.3485825130000002,0.060713518,0.635545557,1.398861625,0.06090788900000001,0.626473255,1.4283237690000001,,,
47,"S1, P1, F12, Alc0->I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.056014283,0.59408284,1.314934654,0.064766539,0.581081081,1.2722757,0.060258907,0.583795782,1.291749908,0.055663013,0.593356243,1.306001229,0.053327457,0.5675422139999999,1.293964312,,,
50,"A1, F12, Alc0->N1, I4","atmcond=Clear, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.058915420999999996,0.5465838510000001,1.383361896,0.060132082,0.5159045729999999,1.3038864909999999,0.058311376,0.524201854,1.339899848,0.057059961,0.539634146,1.375091831,0.056324372000000004,0.5325,1.418457971,,,
86,"N1, P1, F12, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.071635796,0.607379376,1.34436502,0.077627158,0.589270009,1.2902053390000001,0.072058655,0.599047619,1.325497254,0.070384698,0.607043559,1.336127568,0.06672543,0.590483619,1.3462694259999999,,,
102,"N1, S1, P1, F12, Alc0->I4","numfatal=1, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,,,,0.055381763,0.573141487,1.254891977,0.051895979,0.580769231,1.285053134,,,,,,,,,
105,"P1, F12, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.071635796,0.5323383079999999,1.347307518,0.077627158,0.507575758,1.282836417,0.072058655,0.518976898,1.326544463,0.070384698,0.526527331,1.341693139,0.06672543,0.507372654,1.35152448,,,
121,"A1, F12, Alc0->I4","atmcond=Clear, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.070185227,0.6511387160000001,1.441221333,0.073687869,0.632206759,1.3842152559999998,0.07137129099999999,0.6416065910000001,1.419666396,0.070707071,0.6686991870000001,1.471834114,0.069193477,0.654166667,1.49146319,,,
122,"N1, F12, Alc0->P1, I4","numfatal=1, fhevent=Motor Vehicle In-Transport, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,0.071635796,0.565140845,1.931652271,0.077627158,0.56302521,1.876968168,0.072058655,0.5536971829999999,1.892412964,0.070384698,0.570060923,1.926284294,0.06672543,0.5549853370000001,1.951738578,,,
137,"F12, Ag5, Alc0->I4","fhevent=Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.050323587999999995,0.702492212,1.554886442,0.053412119,0.64747191,1.417638269,0.051895979,0.674107143,1.491579531,0.052976574000000005,0.702279202,1.5457450940000002,,,,,,
204,"S1, P1, F12, Alc0->N1, I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,,,,,,,0.051895979,0.502774695,1.285130398,,,,,,,,,
233,"A1, P1, F12, Alc0->N1, I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.053001562,0.539160045,1.3645728119999998,0.056076932,0.512711864,1.295817306,0.051781417999999996,0.5101580139999999,1.304002723,0.051579625999999996,0.5399325079999999,1.375852115,0.051564566,0.5303717139999999,1.412788704,,,
243,"N1, S1, F12, Alc0->P1, I4","numfatal=1, sex=Male, fhevent=Motor Vehicle In-Transport, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",,,,,,,0.055381763,0.555168409,1.850775796,0.051895979,0.5497572820000001,1.8789472630000001,,,,,,,,,
267,"P1, F12, Alc0->I4","ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",0.05112899,0.591,1.3308725890000002,0.08335193,0.619402985,1.370977909,0.091530529,0.598484848,1.310381209,0.084431206,0.608085809,1.345495823,0.083172147,0.622186495,1.369457787,0.07968268,0.605898123,1.381413627,0.050789586,0.558685446,1.273965937
284,"D-1, F12, Alc0->I4","druginv=Blank, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.053671055999999995,0.7377300609999999,1.632881405,0.056076932,0.71281296,1.560702349,0.056707527,0.73880597,1.6347369619999998,0.053406404000000005,0.7553191490000001,1.6624881740000002,0.053151168,0.708578143,1.615518295,,,
