,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
1,"N1, D-1, Alc1->A1, S1, I4","numfatal=1, druginv=Blank, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.052426680999999996,0.506265664,2.054748881,,,,,,,,,,,,,,,,0.054204012,0.527700831,2.129281941
3,"N1, A1, Ag5->I4","numfatal=1, atmcond=Clear, age=45+->injury=Fatal Injury (K)",0.109265507,0.5351694920000001,1.205147896,0.144052667,0.5442664420000001,1.2046717340000002,0.144363341,0.537996546,1.177942209,0.147210448,0.53297387,1.179297569,0.147109392,0.545201115,1.200009834,0.13741736400000001,0.528653781,1.2053008729999999,0.117299758,0.530054645,1.208679351
5,"N1, P1, Ag5, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.07252845299999999,0.695931478,1.540365004,0.073456146,0.659043659,1.442974587,0.07068392700000001,0.670652174,1.48393481,0.066623684,0.6673842839999999,1.468939959,0.061084177999999996,0.691616766,1.57684731,,,
8,"N1, S1, Alc0->A1, I4","numfatal=1, sex=Male, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",0.06730686,0.5471167370000001,1.619493563,0.100535595,0.524447031,1.575098625,,,,0.096918318,0.511178248,1.539177276,0.09004943,0.51505839,1.515854957,0.081798149,0.507381083,1.5309144630000002,0.068715322,0.531938326,1.559864202
9,"N1, A1, Alc1->S1, I4","numfatal=1, atmcond=Clear, alcres=Yes->sex=Male, injury=Fatal Injury (K)",0.09066528199999999,0.675257732,2.10102399,0.051774158,0.646239554,2.069167162,0.051905920999999994,0.6871165640000001,2.163627533,0.052927025,0.6875,2.1680590680000003,0.057704707,0.6832061070000001,2.153036245,0.067430586,0.665217391,2.175523582,0.090980225,0.6713910759999999,2.116236715
11,"N1, Alc1->P1, I4","numfatal=1, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",0.104593823,0.585472155,2.0848652619999997,0.06237447,0.592788971,2.026153608,0.059668636,0.609467456,2.031793592,0.061748196,0.608352144,2.079211382,0.066408769,0.598257502,2.0215629330000002,0.078096078,0.592245989,2.082774566,0.102575046,0.595375723,2.189325636
12,"N1, A1, D-1, S1, Alc1->I4","numfatal=1, atmcond=Clear, druginv=Blank, sex=Male, alcres=Yes->injury=Fatal Injury (K)",0.052426680999999996,0.829001368,1.866827745,,,,,,,,,,,,,,,,0.054204012,0.837362637,1.909431299
14,"N1, A1, S1, D-1, P1->I4","numfatal=1, atmcond=Clear, sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",,,,0.083463513,0.510928962,1.1308830220000001,,,,,,,,,,0.08585279900000001,0.535753575,1.221488005,,,
15,"N1, P5->I4","numfatal=1, ptype=Pedestrian->injury=Fatal Injury (K)",0.050004325999999995,0.9116719240000001,2.052993527,0.065164026,0.941935484,2.084866833,0.062333449000000006,0.9389179759999999,2.055758764,0.064955894,0.9561551429999999,2.115659885,0.067590802,0.929098966,2.044984621,0.058263552,0.919332406,2.096026155,0.054559681,0.917464115,2.092086055
16,"N1, A1, D-1, P1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.05489846,0.7089337179999999,1.56914398,,,,,,,,,,,,,,,
