,rule,Def,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
2,"P1, D-1, Alc0->S1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.061058972999999996,0.519723866,1.6365329030000002,0.059800664,0.53814433,1.697059919,0.056522674,0.538382805,1.696644219,,,,,,
5,"N1, P1, Ag5, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.07252845299999999,0.695931478,1.540365004,0.073456146,0.659043659,1.442974587,0.07068392700000001,0.670652174,1.48393481,0.066623684,0.6673842839999999,1.468939959,0.061084177999999996,0.691616766,1.57684731,,,
10,"S1, P1, D-1, Ag5->N1, I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->numfatal=1, injury=Fatal Injury (K)",,,,,,,0.054918318,0.51465798,1.30073588,0.057394890999999996,0.52570829,1.3437504130000002,0.053836235,0.5284810129999999,1.346671496,,,,,,
13,"P1, Alc1->I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",0.116273034,0.7487465179999999,1.68610189,0.067507253,0.7806451609999999,1.727869088,0.064418955,0.797704448,1.7465720669999998,0.067361668,0.7956698240000001,1.760558148,0.071996561,0.7817969659999999,1.720766927,0.08620537699999999,0.7622759159999999,1.737946195,0.11395646599999999,0.756373938,1.7247534169999998
14,"N1, A1, S1, D-1, P1->I4","numfatal=1, atmcond=Clear, sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",,,,0.083463513,0.510928962,1.1308830220000001,,,,,,,,,,0.08585279900000001,0.535753575,1.221488005,,,
16,"N1, A1, D-1, P1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.05489846,0.7089337179999999,1.56914398,,,,,,,,,,,,,,,
17,"D-1, P1, Alc1->S1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->sex=Male, injury=Fatal Injury (K)",0.05727139,0.677584442,2.10826341,,,,,,,,,,,,,,,,0.057974107000000004,0.675787728,2.13009504
19,"N1, P1, Alc1->A1, S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",0.069988753,0.502484472,2.039402392,,,,,,,,,,,,,0.051035699000000004,0.5,2.129316817,0.07028026700000001,0.519180242,2.094901216
22,"P1, Alc1->A1, S1, I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->atmcond=Clear, sex=Male, injury=Fatal Injury (K)",,,,,,,,,,,,,,,,0.056765095,0.5019485579999999,2.137615012,0.077109119,0.5118035879999999,2.065136293
25,"N1, P1, D-1, Alc0->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->sex=Male, injury=Fatal Injury (K)",,,,,,,0.055613486,0.530973451,1.671956169,0.053958070999999996,0.545138889,1.7191175440000002,0.051901999000000004,0.545762712,1.719901049,,,,,,
34,"P1, D-1->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.16637701300000002,0.513958482,1.125310924,0.163363501,0.503353336,1.113756975,0.16419514300000002,0.518669382,1.14161241,,,,,,
40,"A1, P1, F12, Alc0->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.060812319000000004,0.61861521,1.369234258,0.066504461,0.608050847,1.331325942,0.061862756,0.609480813,1.3485825130000002,0.060713518,0.635545557,1.398861625,0.06090788900000001,0.626473255,1.4283237690000001,,,
44,"N1, A1, P1, D-1->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.11203800300000001,0.508679642,1.113752915,,,,0.112615517,0.5072604070000001,1.116500791,,,,,,
46,"N1, S1, P1, Ag4->I4","numfatal=1, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, age=30-45->injury=Fatal Injury (K)",0.050696427,0.511790393,1.152500517,,,,,,,,,,,,,,,,,,
47,"S1, P1, F12, Alc0->I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.056014283,0.59408284,1.314934654,0.064766539,0.581081081,1.2722757,0.060258907,0.583795782,1.291749908,0.055663013,0.593356243,1.306001229,0.053327457,0.5675422139999999,1.293964312,,,
48,"D-1, S1, P1, Alc1->I4","druginv=Blank, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",0.05727139,0.772462077,1.739506945,,,,,,,,,,,,,,,,0.057974107000000004,0.7874396140000001,1.795592228
51,"S1, D-1, P1, Alc0->I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.06036599,0.7146631440000001,1.581825413,,,,,,,,,,0.050242398,0.690909091,1.57523385,,,
53,"N1, D-1, P1, Ag5->I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",0.051648066,0.57293666,1.2901957640000001,0.073197947,0.55499154,1.2284105159999998,,,,,,,,,,0.06848832099999999,0.55106383,1.256394524,0.053706075,0.560089021,1.277166497
54,"N1, P1, D-1, Ag5->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",,,,,,,0.073572008,0.55506993,1.215324345,0.071714973,0.541054451,1.197177263,0.07027724,0.5532994920000001,1.217834692,,,,,,
55,"P1, D0, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.056683776,0.515212982,1.303964626,,,,,,,,,,,,,,,
56,"N1, A1, P1, D-1, Ag5->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",,,,,,,0.053180396,0.538100821,1.178170518,0.051895979,0.5292056070000001,1.170959632,0.051579625999999996,0.552995392,1.217165354,,,,,,
59,"N1, A1, S1, P1, D-1->I4","numfatal=1, atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.08596918099999999,0.532663317,1.166265116,0.08660785900000001,0.536170213,1.186370035,0.088222652,0.541914191,1.192775181,,,,,,
62,"S1, D-1, P1, Alc0->N1, I4","sex=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",,,,0.054563713,0.6459709379999999,1.634903006,,,,,,,,,,,,,,,
63,"N1, A1, S1, P1, Alc0->I4","numfatal=1, atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",0.052945757,0.650371945,1.46457224,0.076880161,0.631530706,1.397821236,0.075309929,0.625,1.368436073,0.07274601900000001,0.640120968,1.4163791959999998,0.069202665,0.6395233370000001,1.407616881,0.062406345999999994,0.621052632,1.415965053,0.052852468,0.62489487,1.4249427540000001
64,"A1, S1, P1, Ag5->I4","atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",0.06600917,0.56813105,1.2793740120000001,0.07788440099999999,0.517804154,1.146100477,0.081914031,0.517948718,1.134047535,0.084431206,0.518284107,1.1467939090000001,0.080055878,0.527246992,1.160492079,0.07774349900000001,0.517909571,1.18080468,0.067221511,0.544982699,1.242719673
65,"N1, P1, Ag5, Alc0->A1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",,,,0.054340549,0.521413276,1.565987192,,,,,,,,,,,,,,,
66,"A1, S1, P1, D-1->I4","atmcond=Clear, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",,,,,,,0.092457421,0.534494307,1.170274064,0.094627105,0.544137022,1.203997989,0.09563722300000001,0.545009186,1.1995873890000002,,,,,,
69,"A1, D-1, S1, P1->I4","atmcond=Clear, druginv=Blank, sex=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",0.09888398699999999,0.590087765,1.328818327,,,,,,,,,,,,,,,,0.097026604,0.562706271,1.283134591
72,"P1, D0, Alc0->I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",,,,0.062597634,0.568965517,1.2593403220000001,0.063492063,0.550200803,1.204663402,0.060258907,0.558386412,1.235527247,0.059531485,0.550695825,1.212103914,0.051300132000000005,0.553231939,1.261337691,,,
73,"N1, A1, P1, D-1, Alc0->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->injury=Fatal Injury (K)",,,,,,,0.052369365999999994,0.684848485,1.499474194,0.050521250999999996,0.7241379309999999,1.602281369,0.052116914,0.728228228,1.6028599559999999,,,,,,
75,"N1, P1, Ag3->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=20-30->injury=Fatal Injury (K)",0.071199931,0.511180124,1.151126253,,,,,,,,,,,,,,,,0.06643903799999999,0.508161045,1.15875555
79,"A1, P1, Alc1->S1, I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->sex=Male, injury=Fatal Injury (K)",0.076563717,0.6526548670000001,2.03069653,,,,,,,,,,,,,0.056765095,0.644644645,2.108242575,0.077109119,0.6460071510000001,2.036226129
80,"N1, S1, P1, D-1, Ag5->I4","numfatal=1, sex=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, age=45+->injury=Fatal Injury (K)",,,,,,,0.054918318,0.555035129,1.215248147,0.057394890999999996,0.563554556,1.246962666,0.053836235,0.570615034,1.255946903,,,,,,
85,"D-1, P1, Alc0->I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",0.055541137000000004,0.7117516629999999,1.602793195,0.083463513,0.717850288,1.588879793,,,,,,,,,,0.072454826,0.698979592,1.593634138,0.052639067000000005,0.687732342,1.5682305380000001
86,"N1, P1, F12, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",,,,0.071635796,0.607379376,1.34436502,0.077627158,0.589270009,1.2902053390000001,0.072058655,0.599047619,1.325497254,0.070384698,0.607043559,1.336127568,0.06672543,0.590483619,1.3462694259999999,,,
91,"S1, P1, Ag5, Alc0->I4","sex=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",,,,0.055456371,0.674355495,1.4926090269999999,0.05885760599999999,0.650448143,1.424154725,0.058884179,0.664941785,1.47129958,0.05405115,0.6627140970000001,1.458660689,,,,,,
92,"A1, P1->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",0.21567609699999998,0.507842738,1.143610794,,,,,,,,,,,,,,,,,,
