,acchr,dayofweek,size
0,0,1,15
1,0,2,8
2,0,3,5
3,0,4,8
4,0,5,9
5,0,6,13
6,0,7,8
7,1,1,12
8,1,2,4
9,1,3,6
10,1,4,4
11,1,5,6
12,1,6,7
13,1,7,12
14,2,1,7
15,2,2,4
16,2,3,6
17,2,4,4
18,2,5,3
19,2,6,7
20,2,7,7
21,3,1,9
22,3,2,4
23,3,3,5
24,3,4,6
25,3,5,6
26,3,6,11
27,3,7,6
28,4,1,11
29,4,2,9
30,4,3,6
31,4,4,8
32,4,5,12
33,4,6,9
34,4,7,10
35,5,1,7
36,5,2,20
37,5,3,22
38,5,4,13
39,5,5,20
40,5,6,18
41,5,7,14
42,6,1,10
43,6,2,39
44,6,3,29
45,6,4,30
46,6,5,33
47,6,6,31
48,6,7,14
49,7,1,12
50,7,2,29
51,7,3,29
52,7,4,37
53,7,5,29
54,7,6,28
55,7,7,18
56,8,1,21
57,8,2,31
58,8,3,25
59,8,4,21
60,8,5,36
61,8,6,38
62,8,7,23
63,9,1,27
64,9,2,30
65,9,3,27
66,9,4,30
67,9,5,30
68,9,6,40
69,9,7,36
70,10,1,33
71,10,2,29
72,10,3,34
73,10,4,35
74,10,5,32
75,10,6,42
76,10,7,36
77,11,1,28
78,11,2,51
79,11,3,45
80,11,4,52
81,11,5,38
82,11,6,48
83,11,7,37
84,12,1,53
85,12,2,50
86,12,3,34
87,12,4,35
88,12,5,46
89,12,6,35
90,12,7,61
91,13,1,38
92,13,2,34
93,13,3,39
94,13,4,37
95,13,5,48
96,13,6,51
97,13,7,37
98,14,1,38
99,14,2,48
100,14,3,36
101,14,4,44
102,14,5,45
103,14,6,49
104,14,7,40
105,15,1,31
106,15,2,39
107,15,3,43
108,15,4,43
109,15,5,37
110,15,6,49
111,15,7,44
112,16,1,38
113,16,2,52
114,16,3,32
115,16,4,53
116,16,5,45
117,16,6,46
118,16,7,45
119,17,1,25
120,17,2,36
121,17,3,38
122,17,4,46
123,17,5,39
124,17,6,46
125,17,7,38
126,18,1,35
127,18,2,29
128,18,3,42
129,18,4,35
130,18,5,41
131,18,6,40
132,18,7,49
133,19,1,19
134,19,2,40
135,19,3,30
136,19,4,16
137,19,5,22
138,19,6,30
139,19,7,35
140,20,1,23
141,20,2,27
142,20,3,23
143,20,4,23
144,20,5,25
145,20,6,27
146,20,7,35
147,21,1,19
148,21,2,28
149,21,3,17
150,21,4,21
151,21,5,23
152,21,6,28
153,21,7,26
154,22,1,9
155,22,2,9
156,22,3,6
157,22,4,14
158,22,5,11
159,22,6,20
160,22,7,30
161,23,1,6
162,23,2,10
163,23,3,17
164,23,4,10
165,23,5,8
166,23,6,13
167,23,7,15
168,99,1,1
169,99,3,3
170,99,4,3
171,99,5,1
172,99,6,2
