,acchr,dayofweek,size
0,0,1,12
1,0,2,8
2,0,3,1
3,0,4,8
4,0,5,8
5,0,6,8
6,0,7,9
7,1,1,11
8,1,2,2
9,1,3,7
10,1,4,3
11,1,5,5
12,1,6,5
13,1,7,9
14,2,1,8
15,2,2,3
16,2,3,4
17,2,4,3
18,2,5,2
19,2,6,6
20,2,7,7
21,3,1,6
22,3,2,5
23,3,3,6
24,3,4,4
25,3,5,6
26,3,6,9
27,3,7,7
28,4,1,9
29,4,2,8
30,4,3,6
31,4,4,6
32,4,5,11
33,4,6,8
34,4,7,8
35,5,1,5
36,5,2,16
37,5,3,17
38,5,4,11
39,5,5,22
40,5,6,13
41,5,7,20
42,6,1,7
43,6,2,29
44,6,3,24
45,6,4,27
46,6,5,21
47,6,6,24
48,6,7,11
49,7,1,14
50,7,2,26
51,7,3,25
52,7,4,31
53,7,5,25
54,7,6,20
55,7,7,15
56,8,1,11
57,8,2,18
58,8,3,19
59,8,4,16
60,8,5,26
61,8,6,28
62,8,7,18
63,9,1,20
64,9,2,25
65,9,3,20
66,9,4,21
67,9,5,20
68,9,6,31
69,9,7,27
70,10,1,22
71,10,2,20
72,10,3,24
73,10,4,26
74,10,5,29
75,10,6,26
76,10,7,25
77,11,1,20
78,11,2,38
79,11,3,26
80,11,4,50
81,11,5,31
82,11,6,34
83,11,7,26
84,12,1,42
85,12,2,36
86,12,3,24
87,12,4,25
88,12,5,34
89,12,6,25
90,12,7,46
91,13,1,30
92,13,2,21
93,13,3,28
94,13,4,25
95,13,5,37
96,13,6,40
97,13,7,30
98,14,1,28
99,14,2,29
100,14,3,40
101,14,4,34
102,14,5,35
103,14,6,35
104,14,7,32
105,15,1,31
106,15,2,27
107,15,3,28
108,15,4,31
109,15,5,24
110,15,6,33
111,15,7,33
112,16,1,26
113,16,2,32
114,16,3,29
115,16,4,45
116,16,5,33
117,16,6,30
118,16,7,32
119,17,1,22
120,17,2,28
121,17,3,29
122,17,4,35
123,17,5,26
124,17,6,30
125,17,7,28
126,18,1,28
127,18,2,22
128,18,3,30
129,18,4,29
130,18,5,33
131,18,6,32
132,18,7,39
133,19,1,17
134,19,2,39
135,19,3,17
136,19,4,10
137,19,5,15
138,19,6,20
139,19,7,25
140,20,1,14
141,20,2,16
142,20,3,17
143,20,4,20
144,20,5,12
145,20,6,20
146,20,7,23
147,21,1,17
148,21,2,16
149,21,3,16
150,21,4,17
151,21,5,19
152,21,6,25
153,21,7,19
154,22,1,7
155,22,2,9
156,22,3,7
157,22,4,11
158,22,5,10
159,22,6,22
160,22,7,27
161,23,1,5
162,23,2,7
163,23,3,15
164,23,4,12
165,23,5,6
166,23,6,12
167,23,7,9
168,99,3,2
169,99,4,3
170,99,5,1
171,99,6,2
