,acchr,dayofweek,size
0,0,1,21
1,0,2,4
2,0,3,6
3,0,4,3
4,0,5,9
5,0,6,16
6,0,7,20
7,1,1,12
8,1,2,4
9,1,3,3
10,1,4,3
11,1,5,4
12,1,6,5
13,1,7,13
14,2,1,9
15,2,2,4
16,2,3,4
17,2,4,3
18,2,5,6
19,2,6,4
20,2,7,6
21,3,1,13
22,3,2,9
23,3,3,4
24,3,4,2
25,3,5,3
26,3,6,7
27,3,7,10
28,4,1,9
29,4,2,4
30,4,3,5
31,4,4,2
32,4,5,8
33,4,6,5
34,4,7,6
35,5,1,8
36,5,2,7
37,5,3,8
38,5,4,17
39,5,5,16
40,5,6,7
41,5,7,12
42,6,1,6
43,6,2,22
44,6,3,25
45,6,4,26
46,6,5,17
47,6,6,23
48,6,7,10
49,7,1,12
50,7,2,23
51,7,3,21
52,7,4,22
53,7,5,23
54,7,6,17
55,7,7,15
56,8,1,17
57,8,2,17
58,8,3,20
59,8,4,15
60,8,5,26
61,8,6,27
62,8,7,18
63,9,1,23
64,9,2,24
65,9,3,17
66,9,4,19
67,9,5,24
68,9,6,25
69,9,7,22
70,10,1,29
71,10,2,20
72,10,3,18
73,10,4,34
74,10,5,33
75,10,6,31
76,10,7,30
77,11,1,20
78,11,2,36
79,11,3,29
80,11,4,33
81,11,5,25
82,11,6,34
83,11,7,39
84,12,1,30
85,12,2,34
86,12,3,32
87,12,4,25
88,12,5,34
89,12,6,35
90,12,7,49
91,13,1,40
92,13,2,35
93,13,3,33
94,13,4,39
95,13,5,43
96,13,6,44
97,13,7,44
98,14,1,42
99,14,2,37
100,14,3,28
101,14,4,30
102,14,5,47
103,14,6,28
104,14,7,42
105,15,1,29
106,15,2,36
107,15,3,33
108,15,4,37
109,15,5,39
110,15,6,36
111,15,7,32
112,16,1,40
113,16,2,36
114,16,3,28
115,16,4,52
116,16,5,46
117,16,6,42
118,16,7,37
119,17,1,34
120,17,2,31
121,17,3,39
122,17,4,40
123,17,5,28
124,17,6,35
125,17,7,40
126,18,1,24
127,18,2,24
128,18,3,35
129,18,4,21
130,18,5,22
131,18,6,34
132,18,7,43
133,19,1,26
134,19,2,35
135,19,3,29
136,19,4,17
137,19,5,27
138,19,6,31
139,19,7,40
140,20,1,28
141,20,2,20
142,20,3,25
143,20,4,23
144,20,5,22
145,20,6,29
146,20,7,37
147,21,1,25
148,21,2,20
149,21,3,17
150,21,4,18
151,21,5,27
152,21,6,33
153,21,7,39
154,22,1,9
155,22,2,14
156,22,3,15
157,22,4,15
158,22,5,13
159,22,6,27
160,22,7,38
161,23,1,6
162,23,2,9
163,23,3,17
164,23,4,7
165,23,5,5
166,23,6,21
167,23,7,19
168,99,1,4
169,99,2,2
170,99,3,3
171,99,4,1
172,99,6,1
173,99,7,2
