,acchr,dayofweek,size
0,0,1,9
1,0,2,1
2,0,3,6
3,0,4,4
4,0,5,3
5,0,6,14
6,0,7,11
7,1,1,8
8,1,2,6
9,1,4,3
10,1,5,3
11,1,6,7
12,1,7,12
13,2,1,7
14,2,2,4
15,2,3,4
16,2,4,1
17,2,5,3
18,2,6,1
19,2,7,4
20,3,1,12
21,3,2,4
22,3,3,2
23,3,4,4
24,3,5,4
25,3,6,2
26,3,7,9
27,4,1,7
28,4,2,2
29,4,3,5
30,4,4,3
31,4,5,4
32,4,6,2
33,4,7,12
34,5,1,9
35,5,2,6
36,5,3,7
37,5,4,4
38,5,5,4
39,5,6,9
40,5,7,10
41,6,1,6
42,6,2,15
43,6,3,14
44,6,4,12
45,6,5,15
46,6,6,17
47,6,7,10
48,7,1,10
49,7,2,13
50,7,3,22
51,7,4,16
52,7,5,14
53,7,6,14
54,7,7,6
55,8,1,15
56,8,2,22
57,8,3,18
58,8,4,18
59,8,5,20
60,8,6,30
61,8,7,23
62,9,1,21
63,9,2,23
64,9,3,19
65,9,4,19
66,9,5,20
67,9,6,24
68,9,7,15
69,10,1,26
70,10,2,23
71,10,3,25
72,10,4,33
73,10,5,25
74,10,6,25
75,10,7,28
76,11,1,23
77,11,2,29
78,11,3,33
79,11,4,25
80,11,5,28
81,11,6,36
82,11,7,38
83,12,1,30
84,12,2,32
85,12,3,36
86,12,4,36
87,12,5,32
88,12,6,39
89,12,7,40
90,13,1,27
91,13,2,30
92,13,3,33
93,13,4,32
94,13,5,47
95,13,6,45
96,13,7,37
97,14,1,33
98,14,2,42
99,14,3,22
100,14,4,24
101,14,5,36
102,14,6,31
103,14,7,37
104,15,1,22
105,15,2,35
106,15,3,42
107,15,4,26
108,15,5,29
109,15,6,34
110,15,7,26
111,16,1,43
112,16,2,29
113,16,3,27
114,16,4,39
115,16,5,39
116,16,6,37
117,16,7,36
118,17,1,34
119,17,2,26
120,17,3,30
121,17,4,28
122,17,5,33
123,17,6,37
124,17,7,36
125,18,1,18
126,18,2,22
127,18,3,21
128,18,4,21
129,18,5,26
130,18,6,33
131,18,7,34
132,19,1,18
133,19,2,15
134,19,3,21
135,19,4,15
136,19,5,26
137,19,6,21
138,19,7,27
139,20,1,22
140,20,2,18
141,20,3,15
142,20,4,19
143,20,5,26
144,20,6,25
145,20,7,40
146,21,1,13
147,21,2,24
148,21,3,10
149,21,4,13
150,21,5,15
151,21,6,19
152,21,7,21
153,22,1,10
154,22,2,12
155,22,3,4
156,22,4,9
157,22,5,10
158,22,6,17
159,22,7,23
160,23,1,8
161,23,2,9
162,23,3,5
163,23,4,4
164,23,5,6
165,23,6,13
166,23,7,16
167,99,1,4
168,99,2,2
169,99,3,1
170,99,7,2
