,acchr,dayofweek,size
0,0,1,52
1,0,2,24
2,0,3,21
3,0,4,28
4,0,5,27
5,0,6,53
6,0,7,64
7,1,1,53
8,1,2,19
9,1,3,14
10,1,4,11
11,1,5,19
12,1,6,32
13,1,7,60
14,2,1,37
15,2,2,15
16,2,3,15
17,2,4,12
18,2,5,17
19,2,6,21
20,2,7,33
21,3,1,33
22,3,2,17
23,3,3,14
24,3,4,13
25,3,5,15
26,3,6,19
27,3,7,33
28,4,1,27
29,4,2,16
30,4,3,18
31,4,4,11
32,4,5,23
33,4,6,23
34,4,7,28
35,5,1,27
36,5,2,26
37,5,3,33
38,5,4,35
39,5,5,38
40,5,6,30
41,5,7,40
42,6,1,20
43,6,2,55
44,6,3,59
45,6,4,53
46,6,5,49
47,6,6,61
48,6,7,34
49,7,1,35
50,7,2,56
51,7,3,57
52,7,4,65
53,7,5,57
54,7,6,47
55,7,7,27
56,8,1,39
57,8,2,57
58,8,3,57
59,8,4,44
60,8,5,60
61,8,6,74
62,8,7,52
63,9,1,52
64,9,2,63
65,9,3,57
66,9,4,52
67,9,5,60
68,9,6,66
69,9,7,60
70,10,1,58
71,10,2,57
72,10,3,64
73,10,4,83
74,10,5,79
75,10,6,73
76,10,7,64
77,11,1,61
78,11,2,87
79,11,3,82
80,11,4,93
81,11,5,72
82,11,6,97
83,11,7,86
84,12,1,96
85,12,2,91
86,12,3,80
87,12,4,80
88,12,5,92
89,12,6,91
90,12,7,113
91,13,1,85
92,13,2,76
93,13,3,85
94,13,4,82
95,13,5,114
96,13,6,119
97,13,7,111
98,14,1,96
99,14,2,100
100,14,3,93
101,14,4,84
102,14,5,104
103,14,6,98
104,14,7,100
105,15,1,93
106,15,2,97
107,15,3,103
108,15,4,87
109,15,5,80
110,15,6,107
111,15,7,87
112,16,1,100
113,16,2,97
114,16,3,83
115,16,4,119
116,16,5,106
117,16,6,107
118,16,7,101
119,17,1,94
120,17,2,86
121,17,3,85
122,17,4,110
123,17,5,102
124,17,6,99
125,17,7,122
126,18,1,82
127,18,2,77
128,18,3,89
129,18,4,80
130,18,5,89
131,18,6,104
132,18,7,134
133,19,1,88
134,19,2,82
135,19,3,68
136,19,4,61
137,19,5,95
138,19,6,77
139,19,7,118
140,20,1,73
141,20,2,66
142,20,3,68
143,20,4,72
144,20,5,75
145,20,6,88
146,20,7,123
147,21,1,68
148,21,2,69
149,21,3,51
150,21,4,64
151,21,5,71
152,21,6,91
153,21,7,106
154,22,1,48
155,22,2,48
156,22,3,45
157,22,4,53
158,22,5,57
159,22,6,82
160,22,7,107
161,23,1,30
162,23,2,35
163,23,3,43
164,23,4,35
165,23,5,34
166,23,6,77
167,23,7,59
168,99,1,6
169,99,2,9
170,99,3,3
171,99,4,6
172,99,5,5
173,99,6,6
174,99,7,6
