,acchr,dayofweek,size
0,0,1,45
1,0,2,34
2,0,3,22
3,0,4,32
4,0,5,22
5,0,6,30
6,0,7,50
7,1,1,46
8,1,2,27
9,1,3,15
10,1,4,18
11,1,5,17
12,1,6,23
13,1,7,46
14,2,1,49
15,2,2,21
16,2,3,16
17,2,4,13
18,2,5,16
19,2,6,30
20,2,7,37
21,3,1,38
22,3,2,11
23,3,3,10
24,3,4,19
25,3,5,14
26,3,6,30
27,3,7,38
28,4,1,30
29,4,2,19
30,4,3,20
31,4,4,15
32,4,5,18
33,4,6,35
34,4,7,35
35,5,1,25
36,5,2,44
37,5,3,37
38,5,4,40
39,5,5,43
40,5,6,40
41,5,7,45
42,6,1,25
43,6,2,66
44,6,3,62
45,6,4,58
46,6,5,75
47,6,6,58
48,6,7,30
49,7,1,35
50,7,2,61
51,7,3,56
52,7,4,65
53,7,5,73
54,7,6,62
55,7,7,42
56,8,1,40
57,8,2,67
58,8,3,53
59,8,4,58
60,8,5,56
61,8,6,75
62,8,7,51
63,9,1,56
64,9,2,53
65,9,3,56
66,9,4,53
67,9,5,47
68,9,6,63
69,9,7,58
70,10,1,67
71,10,2,50
72,10,3,48
73,10,4,53
74,10,5,60
75,10,6,76
76,10,7,68
77,11,1,52
78,11,2,86
79,11,3,81
80,11,4,100
81,11,5,62
82,11,6,76
83,11,7,78
84,12,1,97
85,12,2,83
86,12,3,66
87,12,4,65
88,12,5,87
89,12,6,68
90,12,7,101
91,13,1,85
92,13,2,74
93,13,3,79
94,13,4,75
95,13,5,99
96,13,6,92
97,13,7,87
98,14,1,75
99,14,2,105
100,14,3,92
101,14,4,69
102,14,5,86
103,14,6,92
104,14,7,94
105,15,1,78
106,15,2,85
107,15,3,95
108,15,4,84
109,15,5,73
110,15,6,91
111,15,7,86
112,16,1,89
113,16,2,91
114,16,3,82
115,16,4,123
116,16,5,103
117,16,6,73
118,16,7,91
119,17,1,72
120,17,2,86
121,17,3,83
122,17,4,85
123,17,5,89
124,17,6,93
125,17,7,81
126,18,1,71
127,18,2,80
128,18,3,95
129,18,4,95
130,18,5,95
131,18,6,98
132,18,7,113
133,19,1,62
134,19,2,80
135,19,3,64
136,19,4,39
137,19,5,61
138,19,6,72
139,19,7,73
140,20,1,64
141,20,2,72
142,20,3,69
143,20,4,63
144,20,5,63
145,20,6,66
146,20,7,67
147,21,1,52
148,21,2,71
149,21,3,42
150,21,4,54
151,21,5,70
152,21,6,82
153,21,7,61
154,22,1,35
155,22,2,42
156,22,3,33
157,22,4,33
158,22,5,45
159,22,6,75
160,22,7,75
161,23,1,21
162,23,2,37
163,23,3,34
164,23,4,34
165,23,5,29
166,23,6,51
167,23,7,59
168,99,1,2
169,99,2,3
170,99,3,6
171,99,4,6
172,99,5,1
173,99,6,5
174,99,7,5
