,acchr,dayofweek,size
0,0,1,27
1,0,2,17
2,0,3,16
3,0,4,18
4,0,5,16
5,0,6,17
6,0,7,33
7,1,1,27
8,1,2,20
9,1,3,13
10,1,4,13
11,1,5,12
12,1,6,17
13,1,7,26
14,2,1,28
15,2,2,13
16,2,3,8
17,2,4,10
18,2,5,10
19,2,6,16
20,2,7,21
21,3,1,25
22,3,2,5
23,3,3,7
24,3,4,11
25,3,5,12
26,3,6,24
27,3,7,20
28,4,1,14
29,4,2,15
30,4,3,17
31,4,4,8
32,4,5,14
33,4,6,26
34,4,7,21
35,5,1,17
36,5,2,29
37,5,3,21
38,5,4,30
39,5,5,23
40,5,6,25
41,5,7,22
42,6,1,17
43,6,2,52
44,6,3,49
45,6,4,43
46,6,5,50
47,6,6,42
48,6,7,21
49,7,1,26
50,7,2,44
51,7,3,50
52,7,4,45
53,7,5,54
54,7,6,45
55,7,7,32
56,8,1,30
57,8,2,52
58,8,3,38
59,8,4,37
60,8,5,48
61,8,6,60
62,8,7,32
63,9,1,42
64,9,2,38
65,9,3,43
66,9,4,37
67,9,5,38
68,9,6,49
69,9,7,40
70,10,1,49
71,10,2,42
72,10,3,44
73,10,4,37
74,10,5,46
75,10,6,69
76,10,7,54
77,11,1,40
78,11,2,70
79,11,3,61
80,11,4,78
81,11,5,43
82,11,6,59
83,11,7,59
84,12,1,82
85,12,2,68
86,12,3,56
87,12,4,49
88,12,5,69
89,12,6,56
90,12,7,75
91,13,1,69
92,13,2,45
93,13,3,61
94,13,4,60
95,13,5,75
96,13,6,80
97,13,7,69
98,14,1,53
99,14,2,89
100,14,3,76
101,14,4,54
102,14,5,73
103,14,6,74
104,14,7,79
105,15,1,61
106,15,2,65
107,15,3,72
108,15,4,70
109,15,5,54
110,15,6,71
111,15,7,72
112,16,1,67
113,16,2,68
114,16,3,64
115,16,4,93
116,16,5,80
117,16,6,57
118,16,7,70
119,17,1,57
120,17,2,56
121,17,3,71
122,17,4,68
123,17,5,59
124,17,6,69
125,17,7,63
126,18,1,48
127,18,2,50
128,18,3,59
129,18,4,58
130,18,5,58
131,18,6,62
132,18,7,77
133,19,1,39
134,19,2,54
135,19,3,35
136,19,4,24
137,19,5,34
138,19,6,40
139,19,7,35
140,20,1,33
141,20,2,39
142,20,3,46
143,20,4,36
144,20,5,34
145,20,6,44
146,20,7,38
147,21,1,31
148,21,2,45
149,21,3,27
150,21,4,28
151,21,5,42
152,21,6,42
153,21,7,34
154,22,1,22
155,22,2,26
156,22,3,20
157,22,4,27
158,22,5,31
159,22,6,45
160,22,7,41
161,23,1,14
162,23,2,24
163,23,3,19
164,23,4,19
165,23,5,19
166,23,6,29
167,23,7,36
168,99,1,2
169,99,2,3
170,99,3,4
171,99,4,6
172,99,5,1
173,99,6,5
174,99,7,3
