,acchr,dayofweek,size
0,0,1,90
1,0,2,29
2,0,3,34
3,0,4,26
4,0,5,41
5,0,6,48
6,0,7,82
7,1,1,83
8,1,2,34
9,1,3,25
10,1,4,31
11,1,5,32
12,1,6,47
13,1,7,108
14,2,1,131
15,2,2,27
16,2,3,22
17,2,4,25
18,2,5,48
19,2,6,58
20,2,7,146
21,3,1,70
22,3,2,17
23,3,3,10
24,3,4,16
25,3,5,24
26,3,6,30
27,3,7,77
28,4,1,58
29,4,2,14
30,4,3,9
31,4,4,9
32,4,5,10
33,4,6,20
34,4,7,45
35,5,1,35
36,5,2,6
37,5,3,5
38,5,4,10
39,5,5,10
40,5,6,10
41,5,7,38
42,6,1,21
43,6,2,6
44,6,3,9
45,6,4,4
46,6,5,5
47,6,6,11
48,6,7,41
49,7,1,16
50,7,2,3
51,7,3,6
52,7,4,7
53,7,5,8
54,7,6,14
55,7,7,14
56,8,1,8
57,8,2,4
58,8,3,5
59,8,4,3
60,8,5,6
61,8,6,5
62,8,7,10
63,9,1,8
64,9,2,5
65,9,3,5
66,9,4,6
67,9,5,1
68,9,6,7
69,9,7,6
70,10,1,4
71,10,2,2
72,10,3,3
73,10,4,6
74,10,5,1
75,10,6,6
76,10,7,12
77,11,1,4
78,11,2,4
79,11,3,10
80,11,4,5
81,11,5,2
82,11,6,5
83,11,7,5
84,12,1,12
85,12,2,8
86,12,3,5
87,12,4,4
88,12,5,9
89,12,6,9
90,12,7,9
91,13,1,16
92,13,2,4
93,13,3,8
94,13,4,7
95,13,5,13
96,13,6,13
97,13,7,17
98,14,1,15
99,14,2,14
100,14,3,14
101,14,4,16
102,14,5,13
103,14,6,16
104,14,7,23
105,15,1,26
106,15,2,18
107,15,3,14
108,15,4,14
109,15,5,9
110,15,6,13
111,15,7,29
112,16,1,32
113,16,2,17
114,16,3,15
115,16,4,19
116,16,5,8
117,16,6,23
118,16,7,36
119,17,1,27
120,17,2,23
121,17,3,19
122,17,4,16
123,17,5,28
124,17,6,26
125,17,7,48
126,18,1,36
127,18,2,26
128,18,3,19
129,18,4,16
130,18,5,26
131,18,6,37
132,18,7,52
133,19,1,57
134,19,2,23
135,19,3,33
136,19,4,34
137,19,5,28
138,19,6,34
139,19,7,74
140,20,1,40
141,20,2,25
142,20,3,27
143,20,4,41
144,20,5,37
145,20,6,52
146,20,7,54
147,21,1,48
148,21,2,39
149,21,3,26
150,21,4,42
151,21,5,30
152,21,6,65
153,21,7,73
154,22,1,43
155,22,2,28
156,22,3,32
157,22,4,33
158,22,5,35
159,22,6,55
160,22,7,60
161,23,1,25
162,23,2,31
163,23,3,38
164,23,4,16
165,23,5,50
166,23,6,70
167,23,7,80
168,99,1,11
169,99,2,6
170,99,3,4
171,99,4,5
172,99,5,4
173,99,6,9
174,99,7,10
