,acchr,dayofweek,size
0,0,1,108
1,0,2,32
2,0,3,35
3,0,4,33
4,0,5,50
5,0,6,53
6,0,7,105
7,1,1,128
8,1,2,39
9,1,3,24
10,1,4,30
11,1,5,34
12,1,6,67
13,1,7,147
14,2,1,171
15,2,2,32
16,2,3,34
17,2,4,31
18,2,5,49
19,2,6,79
20,2,7,189
21,3,1,105
22,3,2,19
23,3,3,13
24,3,4,15
25,3,5,30
26,3,6,35
27,3,7,89
28,4,1,70
29,4,2,14
30,4,3,13
31,4,4,10
32,4,5,12
33,4,6,26
34,4,7,67
35,5,1,45
36,5,2,11
37,5,3,7
38,5,4,8
39,5,5,11
40,5,6,11
41,5,7,44
42,6,1,24
43,6,2,7
44,6,3,10
45,6,4,5
46,6,5,9
47,6,6,19
48,6,7,40
49,7,1,17
50,7,2,2
51,7,3,5
52,7,4,9
53,7,5,11
54,7,6,10
55,7,7,12
56,8,1,9
57,8,2,6
58,8,3,5
59,8,4,3
60,8,5,7
61,8,6,7
62,8,7,12
63,9,1,10
64,9,2,4
65,9,3,6
66,9,4,8
67,9,5,6
68,9,6,8
69,9,7,5
70,10,1,4
71,10,2,2
72,10,3,6
73,10,4,7
74,10,6,5
75,10,7,11
76,11,1,4
77,11,2,6
78,11,3,6
79,11,4,5
80,11,5,2
81,11,6,6
82,11,7,6
83,12,1,14
84,12,2,10
85,12,3,2
86,12,4,5
87,12,5,8
88,12,6,10
89,12,7,9
90,13,1,17
91,13,2,6
92,13,3,7
93,13,4,8
94,13,5,14
95,13,6,18
96,13,7,17
97,14,1,18
98,14,2,16
99,14,3,15
100,14,4,15
101,14,5,11
102,14,6,16
103,14,7,24
104,15,1,32
105,15,2,16
106,15,3,18
107,15,4,13
108,15,5,10
109,15,6,14
110,15,7,30
111,16,1,36
112,16,2,17
113,16,3,11
114,16,4,18
115,16,5,12
116,16,6,23
117,16,7,37
118,17,1,32
119,17,2,29
120,17,3,23
121,17,4,21
122,17,5,27
123,17,6,31
124,17,7,56
125,18,1,43
126,18,2,29
127,18,3,28
128,18,4,28
129,18,5,34
130,18,6,46
131,18,7,69
132,19,1,65
133,19,2,32
134,19,3,41
135,19,4,41
136,19,5,47
137,19,6,49
138,19,7,83
139,20,1,53
140,20,2,38
141,20,3,47
142,20,4,44
143,20,5,49
144,20,6,64
145,20,7,82
146,21,1,60
147,21,2,50
148,21,3,38
149,21,4,58
150,21,5,42
151,21,6,75
152,21,7,100
153,22,1,55
154,22,2,48
155,22,3,50
156,22,4,50
157,22,5,52
158,22,6,82
159,22,7,102
160,23,1,42
161,23,2,38
162,23,3,43
163,23,4,25
164,23,5,54
165,23,6,99
166,23,7,99
167,99,1,14
168,99,2,5
169,99,3,2
170,99,4,4
171,99,5,5
172,99,6,9
173,99,7,10
