,acchr,dayofweek,size
0,0,1,29
1,0,2,17
2,0,3,15
3,0,4,22
4,0,5,17
5,0,6,33
6,0,7,40
7,1,1,37
8,1,2,14
9,1,3,10
10,1,4,7
11,1,5,14
12,1,6,25
13,1,7,44
14,2,1,24
15,2,2,9
16,2,3,10
17,2,4,9
18,2,5,11
19,2,6,15
20,2,7,26
21,3,1,19
22,3,2,7
23,3,3,8
24,3,4,11
25,3,5,11
26,3,6,10
27,3,7,20
28,4,1,16
29,4,2,12
30,4,3,12
31,4,4,7
32,4,5,14
33,4,6,17
34,4,7,21
35,5,1,18
36,5,2,18
37,5,3,25
38,5,4,16
39,5,5,21
40,5,6,22
41,5,7,27
42,6,1,12
43,6,2,33
44,6,3,30
45,6,4,21
46,6,5,31
47,6,6,37
48,6,7,24
49,7,1,23
50,7,2,32
51,7,3,34
52,7,4,41
53,7,5,34
54,7,6,28
55,7,7,10
56,8,1,21
57,8,2,39
58,8,3,37
59,8,4,26
60,8,5,30
61,8,6,47
62,8,7,33
63,9,1,28
64,9,2,36
65,9,3,39
66,9,4,29
67,9,5,34
68,9,6,39
69,9,7,38
70,10,1,28
71,10,2,35
72,10,3,43
73,10,4,46
74,10,5,46
75,10,6,42
76,10,7,34
77,11,1,41
78,11,2,46
79,11,3,48
80,11,4,56
81,11,5,46
82,11,6,61
83,11,7,44
84,12,1,60
85,12,2,55
86,12,3,47
87,12,4,54
88,12,5,56
89,12,6,53
90,12,7,62
91,13,1,45
92,13,2,40
93,13,3,47
94,13,4,40
95,13,5,66
96,13,6,71
97,13,7,62
98,14,1,52
99,14,2,61
100,14,3,64
101,14,4,50
102,14,5,53
103,14,6,67
104,14,7,53
105,15,1,61
106,15,2,57
107,15,3,66
108,15,4,48
109,15,5,36
110,15,6,68
111,15,7,55
112,16,1,59
113,16,2,59
114,16,3,51
115,16,4,67
116,16,5,59
117,16,6,64
118,16,7,59
119,17,1,58
120,17,2,50
121,17,3,40
122,17,4,70
123,17,5,67
124,17,6,63
125,17,7,75
126,18,1,51
127,18,2,50
128,18,3,50
129,18,4,56
130,18,5,64
131,18,6,61
132,18,7,83
133,19,1,54
134,19,2,42
135,19,3,38
136,19,4,39
137,19,5,64
138,19,6,41
139,19,7,75
140,20,1,44
141,20,2,44
142,20,3,40
143,20,4,45
144,20,5,50
145,20,6,54
146,20,7,79
147,21,1,36
148,21,2,42
149,21,3,31
150,21,4,43
151,21,5,40
152,21,6,48
153,21,7,62
154,22,1,34
155,22,2,33
156,22,3,28
157,22,4,35
158,22,5,41
159,22,6,48
160,22,7,64
161,23,1,22
162,23,2,23
163,23,3,24
164,23,4,27
165,23,5,28
166,23,6,51
167,23,7,36
168,99,1,1
169,99,2,6
170,99,4,5
171,99,5,4
172,99,6,4
173,99,7,4
