,acchr,dayofweek,size
0,0,1,28
1,0,2,16
2,0,3,14
3,0,4,19
4,0,5,17
5,0,6,30
6,0,7,30
7,1,1,33
8,1,2,10
9,1,3,9
10,1,4,7
11,1,5,11
12,1,6,19
13,1,7,41
14,2,1,21
15,2,2,7
16,2,3,9
17,2,4,9
18,2,5,10
19,2,6,13
20,2,7,26
21,3,1,15
22,3,2,4
23,3,3,4
24,3,4,11
25,3,5,10
26,3,6,10
27,3,7,14
28,4,1,14
29,4,2,12
30,4,3,10
31,4,4,7
32,4,5,12
33,4,6,15
34,4,7,13
35,5,1,15
36,5,2,17
37,5,3,25
38,5,4,14
39,5,5,17
40,5,6,21
41,5,7,14
42,6,1,12
43,6,2,33
44,6,3,27
45,6,4,21
46,6,5,29
47,6,6,35
48,6,7,20
49,7,1,19
50,7,2,25
51,7,3,32
52,7,4,36
53,7,5,32
54,7,6,27
55,7,7,10
56,8,1,20
57,8,2,38
58,8,3,32
59,8,4,19
60,8,5,29
61,8,6,40
62,8,7,29
63,9,1,23
64,9,2,33
65,9,3,35
66,9,4,24
67,9,5,33
68,9,6,33
69,9,7,38
70,10,1,23
71,10,2,30
72,10,3,42
73,10,4,37
74,10,5,42
75,10,6,39
76,10,7,34
77,11,1,31
78,11,2,37
79,11,3,43
80,11,4,45
81,11,5,40
82,11,6,52
83,11,7,35
84,12,1,54
85,12,2,49
86,12,3,40
87,12,4,45
88,12,5,46
89,12,6,44
90,12,7,58
91,13,1,40
92,13,2,35
93,13,3,41
94,13,4,33
95,13,5,50
96,13,6,54
97,13,7,56
98,14,1,42
99,14,2,52
100,14,3,51
101,14,4,48
102,14,5,43
103,14,6,62
104,14,7,41
105,15,1,47
106,15,2,47
107,15,3,51
108,15,4,42
109,15,5,32
110,15,6,55
111,15,7,50
112,16,1,50
113,16,2,57
114,16,3,40
115,16,4,54
116,16,5,49
117,16,6,59
118,16,7,47
119,17,1,40
120,17,2,44
121,17,3,36
122,17,4,64
123,17,5,63
124,17,6,58
125,17,7,67
126,18,1,47
127,18,2,47
128,18,3,50
129,18,4,51
130,18,5,57
131,18,6,58
132,18,7,70
133,19,1,49
134,19,2,41
135,19,3,34
136,19,4,35
137,19,5,55
138,19,6,40
139,19,7,71
140,20,1,40
141,20,2,41
142,20,3,32
143,20,4,44
144,20,5,47
145,20,6,52
146,20,7,73
147,21,1,30
148,21,2,42
149,21,3,25
150,21,4,39
151,21,5,36
152,21,6,41
153,21,7,57
154,22,1,31
155,22,2,27
156,22,3,27
157,22,4,35
158,22,5,39
159,22,6,42
160,22,7,53
161,23,1,19
162,23,2,21
163,23,3,23
164,23,4,24
165,23,5,25
166,23,6,48
167,23,7,31
168,99,1,1
169,99,2,6
170,99,4,5
171,99,5,4
172,99,6,4
173,99,7,4
