,acchr,dayofweek,size
0,0,1,35
1,0,2,26
2,0,3,13
3,0,4,27
4,0,5,15
5,0,6,21
6,0,7,33
7,1,1,36
8,1,2,16
9,1,3,7
10,1,4,11
11,1,5,12
12,1,6,13
13,1,7,30
14,2,1,33
15,2,2,18
16,2,3,10
17,2,4,9
18,2,5,9
19,2,6,22
20,2,7,22
21,3,1,24
22,3,2,6
23,3,3,4
24,3,4,16
25,3,5,9
26,3,6,18
27,3,7,24
28,4,1,19
29,4,2,12
30,4,3,13
31,4,4,11
32,4,5,10
33,4,6,26
34,4,7,24
35,5,1,18
36,5,2,24
37,5,3,25
38,5,4,20
39,5,5,26
40,5,6,27
41,5,7,32
42,6,1,20
43,6,2,36
44,6,3,32
45,6,4,28
46,6,5,41
47,6,6,40
48,6,7,20
49,7,1,25
50,7,2,32
51,7,3,30
52,7,4,37
53,7,5,41
54,7,6,39
55,7,7,26
56,8,1,22
57,8,2,43
58,8,3,35
59,8,4,38
60,8,5,24
61,8,6,47
62,8,7,33
63,9,1,34
64,9,2,29
65,9,3,30
66,9,4,34
67,9,5,28
68,9,6,42
69,9,7,33
70,10,1,35
71,10,2,27
72,10,3,31
73,10,4,27
74,10,5,37
75,10,6,43
76,10,7,36
77,11,1,34
78,11,2,50
79,11,3,49
80,11,4,55
81,11,5,33
82,11,6,48
83,11,7,44
84,12,1,55
85,12,2,51
86,12,3,36
87,12,4,45
88,12,5,54
89,12,6,32
90,12,7,57
91,13,1,48
92,13,2,43
93,13,3,33
94,13,4,36
95,13,5,54
96,13,6,50
97,13,7,53
98,14,1,43
99,14,2,61
100,14,3,60
101,14,4,43
102,14,5,45
103,14,6,63
104,14,7,50
105,15,1,51
106,15,2,47
107,15,3,62
108,15,4,51
109,15,5,35
110,15,6,52
111,15,7,55
112,16,1,48
113,16,2,55
114,16,3,54
115,16,4,62
116,16,5,58
117,16,6,37
118,16,7,48
119,17,1,47
120,17,2,49
121,17,3,39
122,17,4,48
123,17,5,56
124,17,6,53
125,17,7,44
126,18,1,35
127,18,2,45
128,18,3,52
129,18,4,58
130,18,5,68
131,18,6,54
132,18,7,71
133,19,1,39
134,19,2,39
135,19,3,38
136,19,4,23
137,19,5,38
138,19,6,38
139,19,7,43
140,20,1,34
141,20,2,40
142,20,3,36
143,20,4,35
144,20,5,38
145,20,6,42
146,20,7,39
147,21,1,27
148,21,2,40
149,21,3,23
150,21,4,31
151,21,5,43
152,21,6,54
153,21,7,38
154,22,1,23
155,22,2,28
156,22,3,20
157,22,4,18
158,22,5,27
159,22,6,46
160,22,7,44
161,23,1,12
162,23,2,20
163,23,3,24
164,23,4,26
165,23,5,18
166,23,6,33
167,23,7,32
168,99,1,1
169,99,2,1
170,99,4,4
171,99,6,4
172,99,7,3
