,acchr,dayofweek,size
0,0,1,71
1,0,2,23
2,0,3,28
3,0,4,24
4,0,5,36
5,0,6,33
6,0,7,62
7,1,1,78
8,1,2,31
9,1,3,14
10,1,4,27
11,1,5,23
12,1,6,48
13,1,7,95
14,2,1,98
15,2,2,26
16,2,3,17
17,2,4,18
18,2,5,36
19,2,6,42
20,2,7,114
21,3,1,57
22,3,2,13
23,3,3,10
24,3,4,9
25,3,5,20
26,3,6,27
27,3,7,63
28,4,1,46
29,4,2,8
30,4,3,11
31,4,4,6
32,4,5,8
33,4,6,19
34,4,7,41
35,5,1,29
36,5,2,5
37,5,3,7
38,5,4,7
39,5,5,10
40,5,6,12
41,5,7,35
42,6,1,19
43,6,2,5
44,6,3,2
45,6,4,3
46,6,5,3
47,6,6,11
48,6,7,29
49,7,1,12
50,7,2,2
51,7,3,4
52,7,4,3
53,7,5,6
54,7,6,7
55,7,7,10
56,8,1,3
57,8,2,6
58,8,3,5
59,8,4,1
60,8,5,4
61,8,6,5
62,8,7,7
63,9,1,2
64,9,2,2
65,9,3,4
66,9,4,5
67,9,5,3
68,9,6,3
69,9,7,2
70,10,1,3
71,10,2,1
72,10,3,3
73,10,4,2
74,10,5,2
75,10,6,4
76,10,7,7
77,11,1,3
78,11,2,3
79,11,3,7
80,11,4,4
81,11,5,2
82,11,6,4
83,11,7,4
84,12,1,9
85,12,2,7
86,12,3,4
87,12,4,5
88,12,5,8
89,12,6,9
90,12,7,5
91,13,1,9
92,13,2,3
93,13,3,8
94,13,4,5
95,13,5,7
96,13,6,9
97,13,7,12
98,14,1,10
99,14,2,9
100,14,3,14
101,14,4,9
102,14,5,4
103,14,6,17
104,14,7,16
105,15,1,20
106,15,2,10
107,15,3,9
108,15,4,9
109,15,5,9
110,15,6,12
111,15,7,20
112,16,1,23
113,16,2,13
114,16,3,8
115,16,4,13
116,16,5,8
117,16,6,17
118,16,7,25
119,17,1,21
120,17,2,17
121,17,3,9
122,17,4,18
123,17,5,16
124,17,6,21
125,17,7,33
126,18,1,25
127,18,2,24
128,18,3,16
129,18,4,20
130,18,5,25
131,18,6,33
132,18,7,31
133,19,1,45
134,19,2,28
135,19,3,28
136,19,4,27
137,19,5,31
138,19,6,29
139,19,7,58
140,20,1,42
141,20,2,25
142,20,3,28
143,20,4,36
144,20,5,33
145,20,6,41
146,20,7,65
147,21,1,33
148,21,2,34
149,21,3,28
150,21,4,39
151,21,5,32
152,21,6,36
153,21,7,60
154,22,1,30
155,22,2,32
156,22,3,37
157,22,4,32
158,22,5,37
159,22,6,48
160,22,7,63
161,23,1,31
162,23,2,29
163,23,3,30
164,23,4,25
165,23,5,44
166,23,6,73
167,23,7,66
168,99,1,9
169,99,2,5
170,99,3,3
171,99,4,4
172,99,5,4
173,99,6,6
174,99,7,7
