,acchr,dayofweek,size
0,0,1,59
1,0,2,19
2,0,3,24
3,0,4,21
4,0,5,33
5,0,6,30
6,0,7,66
7,1,1,80
8,1,2,28
9,1,3,11
10,1,4,22
11,1,5,20
12,1,6,46
13,1,7,89
14,2,1,98
15,2,2,24
16,2,3,19
17,2,4,17
18,2,5,28
19,2,6,52
20,2,7,115
21,3,1,60
22,3,2,8
23,3,3,8
24,3,4,8
25,3,5,20
26,3,6,24
27,3,7,54
28,4,1,40
29,4,2,6
30,4,3,10
31,4,4,7
32,4,5,7
33,4,6,19
34,4,7,43
35,5,1,25
36,5,2,6
37,5,3,5
38,5,4,4
39,5,5,8
40,5,6,6
41,5,7,32
42,6,1,17
43,6,2,4
44,6,3,2
45,6,4,3
46,6,5,3
47,6,6,10
48,6,7,25
49,7,1,11
50,7,2,2
51,7,3,3
52,7,4,4
53,7,5,7
54,7,6,5
55,7,7,6
56,8,1,3
57,8,2,5
58,8,3,5
59,8,4,1
60,8,5,4
61,8,6,6
62,8,7,7
63,9,1,4
64,9,3,4
65,9,4,5
66,9,5,4
67,9,6,3
68,9,7,1
69,10,1,2
70,10,2,1
71,10,3,2
72,10,4,3
73,10,6,3
74,10,7,5
75,11,1,3
76,11,2,3
77,11,3,4
78,11,4,4
79,11,5,2
80,11,6,5
81,11,7,4
82,12,1,7
83,12,2,5
84,12,3,2
85,12,4,5
86,12,5,6
87,12,6,8
88,12,7,5
89,13,1,10
90,13,2,5
91,13,3,6
92,13,4,5
93,13,5,9
94,13,6,11
95,13,7,10
96,14,1,8
97,14,2,10
98,14,3,12
99,14,4,8
100,14,5,3
101,14,6,12
102,14,7,13
103,15,1,21
104,15,2,8
105,15,3,8
106,15,4,7
107,15,5,8
108,15,6,10
109,15,7,19
110,16,1,25
111,16,2,11
112,16,3,6
113,16,4,10
114,16,5,10
115,16,6,15
116,16,7,23
117,17,1,20
118,17,2,18
119,17,3,9
120,17,4,16
121,17,5,12
122,17,6,21
123,17,7,35
124,18,1,23
125,18,2,19
126,18,3,15
127,18,4,17
128,18,5,25
129,18,6,33
130,18,7,32
131,19,1,41
132,19,2,21
133,19,3,27
134,19,4,25
135,19,5,31
136,19,6,29
137,19,7,54
138,20,1,37
139,20,2,24
140,20,3,28
141,20,4,27
142,20,5,31
143,20,6,32
144,20,7,55
145,21,1,31
146,21,2,30
147,21,3,27
148,21,4,34
149,21,5,28
150,21,6,35
151,21,7,55
152,22,1,28
153,22,2,28
154,22,3,30
155,22,4,32
156,22,5,33
157,22,6,48
158,22,7,63
159,23,1,29
160,23,2,22
161,23,3,26
162,23,4,20
163,23,5,39
164,23,6,64
165,23,7,60
166,99,1,11
167,99,2,4
168,99,3,2
169,99,4,3
170,99,5,4
171,99,6,6
172,99,7,7
