,acchr,dayofweek,size
0,0,1,20
1,0,2,12
2,0,3,8
3,0,4,15
4,0,5,11
5,0,6,12
6,0,7,20
7,1,1,20
8,1,2,9
9,1,3,6
10,1,4,7
11,1,5,8
12,1,6,9
13,1,7,16
14,2,1,16
15,2,2,10
16,2,3,4
17,2,4,8
18,2,5,6
19,2,6,9
20,2,7,9
21,3,1,13
22,3,2,2
23,3,3,3
24,3,4,8
25,3,5,7
26,3,6,14
27,3,7,8
28,4,1,6
29,4,2,8
30,4,3,11
31,4,4,6
32,4,5,8
33,4,6,20
34,4,7,14
35,5,1,11
36,5,2,14
37,5,3,13
38,5,4,14
39,5,5,14
40,5,6,15
41,5,7,11
42,6,1,12
43,6,2,28
44,6,3,24
45,6,4,17
46,6,5,28
47,6,6,27
48,6,7,13
49,7,1,19
50,7,2,24
51,7,3,27
52,7,4,21
53,7,5,29
54,7,6,25
55,7,7,21
56,8,1,15
57,8,2,32
58,8,3,23
59,8,4,23
60,8,5,21
61,8,6,35
62,8,7,17
63,9,1,26
64,9,2,20
65,9,3,21
66,9,4,21
67,9,5,20
68,9,6,29
69,9,7,19
70,10,1,21
71,10,2,22
72,10,3,28
73,10,4,18
74,10,5,27
75,10,6,38
76,10,7,26
77,11,1,23
78,11,2,35
79,11,3,33
80,11,4,43
81,11,5,21
82,11,6,32
83,11,7,29
84,12,1,43
85,12,2,41
86,12,3,26
87,12,4,33
88,12,5,40
89,12,6,24
90,12,7,37
91,13,1,38
92,13,2,19
93,13,3,23
94,13,4,28
95,13,5,35
96,13,6,39
97,13,7,40
98,14,1,25
99,14,2,49
100,14,3,49
101,14,4,31
102,14,5,34
103,14,6,48
104,14,7,41
105,15,1,36
106,15,2,31
107,15,3,41
108,15,4,38
109,15,5,21
110,15,6,36
111,15,7,44
112,16,1,31
113,16,2,40
114,16,3,40
115,16,4,42
116,16,5,42
117,16,6,26
118,16,7,33
119,17,1,36
120,17,2,26
121,17,3,33
122,17,4,34
123,17,5,35
124,17,6,38
125,17,7,31
126,18,1,20
127,18,2,23
128,18,3,26
129,18,4,31
130,18,5,39
131,18,6,26
132,18,7,43
133,19,1,23
134,19,2,22
135,19,3,16
136,19,4,12
137,19,5,24
138,19,6,19
139,19,7,21
140,20,1,14
141,20,2,21
142,20,3,21
143,20,4,15
144,20,5,22
145,20,6,24
146,20,7,17
147,21,1,13
148,21,2,24
149,21,3,12
150,21,4,12
151,21,5,21
152,21,6,24
153,21,7,17
154,22,1,14
155,22,2,15
156,22,3,11
157,22,4,14
158,22,5,16
159,22,6,24
160,22,7,21
161,23,1,7
162,23,2,14
163,23,3,13
164,23,4,13
165,23,5,11
166,23,6,18
167,23,7,16
168,99,1,1
169,99,2,1
170,99,4,4
171,99,6,4
172,99,7,3
