,acchr,dayofweek,size
0,0,1,7
1,0,2,5
2,0,3,8
3,0,4,3
4,0,5,7
5,0,6,8
6,0,7,13
7,1,1,7
8,1,2,9
9,1,3,5
10,1,4,6
11,1,5,5
12,1,6,7
13,1,7,13
14,2,1,13
15,2,2,2
16,2,3,5
17,2,4,4
18,2,5,3
19,2,6,7
20,2,7,13
21,3,1,11
22,3,2,4
23,3,3,4
24,3,4,3
25,3,5,4
26,3,6,9
27,3,7,10
28,4,1,10
29,4,2,7
30,4,3,6
31,4,4,2
32,4,5,7
33,4,6,7
34,4,7,10
35,5,1,4
36,5,2,18
37,5,3,11
38,5,4,16
39,5,5,15
40,5,6,10
41,5,7,13
42,6,1,2
43,6,2,28
44,6,3,25
45,6,4,24
46,6,5,27
47,6,6,17
48,6,7,9
49,7,1,10
50,7,2,26
51,7,3,23
52,7,4,27
53,7,5,32
54,7,6,21
55,7,7,12
56,8,1,17
57,8,2,23
58,8,3,16
59,8,4,17
60,8,5,28
61,8,6,26
62,8,7,16
63,9,1,21
64,9,2,19
65,9,3,22
66,9,4,15
67,9,5,17
68,9,6,18
69,9,7,23
70,10,1,30
71,10,2,19
72,10,3,15
73,10,4,24
74,10,5,21
75,10,6,31
76,10,7,32
77,11,1,17
78,11,2,29
79,11,3,25
80,11,4,40
81,11,5,28
82,11,6,26
83,11,7,30
84,12,1,36
85,12,2,28
86,12,3,27
87,12,4,19
88,12,5,28
89,12,6,28
90,12,7,39
91,13,1,36
92,13,2,29
93,13,3,37
94,13,4,33
95,13,5,36
96,13,6,37
97,13,7,29
98,14,1,27
99,14,2,35
100,14,3,30
101,14,4,22
102,14,5,37
103,14,6,24
104,14,7,39
105,15,1,20
106,15,2,37
107,15,3,28
108,15,4,31
109,15,5,32
110,15,6,33
111,15,7,28
112,16,1,38
113,16,2,32
114,16,3,23
115,16,4,56
116,16,5,40
117,16,6,34
118,16,7,38
119,17,1,24
120,17,2,34
121,17,3,40
122,17,4,34
123,17,5,25
124,17,6,37
125,17,7,32
126,18,1,28
127,18,2,30
128,18,3,35
129,18,4,30
130,18,5,22
131,18,6,39
132,18,7,32
133,19,1,19
134,19,2,37
135,19,3,25
136,19,4,12
137,19,5,21
138,19,6,31
139,19,7,29
140,20,1,30
141,20,2,27
142,20,3,27
143,20,4,22
144,20,5,23
145,20,6,21
146,20,7,23
147,21,1,20
148,21,2,28
149,21,3,16
150,21,4,19
151,21,5,23
152,21,6,24
153,21,7,17
154,22,1,10
155,22,2,9
156,22,3,12
157,22,4,12
158,22,5,16
159,22,6,23
160,22,7,28
161,23,1,8
162,23,2,13
163,23,3,7
164,23,4,8
165,23,5,9
166,23,6,16
167,23,7,24
168,99,1,1
169,99,2,2
170,99,3,5
171,99,4,2
172,99,7,1
