,acchr,dayofweek,size
0,0,1,6
1,0,2,5
2,0,3,6
3,0,4,3
4,0,5,7
5,0,6,6
6,0,7,10
7,1,1,7
8,1,2,8
9,1,3,5
10,1,4,6
11,1,5,5
12,1,6,6
13,1,7,13
14,2,1,10
15,2,2,2
16,2,3,4
17,2,4,4
18,2,5,3
19,2,6,6
20,2,7,12
21,3,1,10
22,3,2,3
23,3,3,4
24,3,4,3
25,3,5,3
26,3,6,9
27,3,7,8
28,4,1,9
29,4,2,7
30,4,3,6
31,4,4,2
32,4,5,7
33,4,6,6
34,4,7,8
35,5,1,3
36,5,2,16
37,5,3,11
38,5,4,14
39,5,5,15
40,5,6,8
41,5,7,10
42,6,1,2
43,6,2,27
44,6,3,21
45,6,4,21
46,6,5,24
47,6,6,17
48,6,7,8
49,7,1,8
50,7,2,26
51,7,3,22
52,7,4,27
53,7,5,28
54,7,6,19
55,7,7,12
56,8,1,14
57,8,2,18
58,8,3,16
59,8,4,16
60,8,5,28
61,8,6,23
62,8,7,15
63,9,1,17
64,9,2,17
65,9,3,20
66,9,4,15
67,9,5,15
68,9,6,17
69,9,7,19
70,10,1,27
71,10,2,19
72,10,3,13
73,10,4,22
74,10,5,18
75,10,6,28
76,10,7,28
77,11,1,15
78,11,2,26
79,11,3,22
80,11,4,29
81,11,5,25
82,11,6,23
83,11,7,28
84,12,1,31
85,12,2,25
86,12,3,25
87,12,4,18
88,12,5,24
89,12,6,24
90,12,7,37
91,13,1,35
92,13,2,21
93,13,3,33
94,13,4,29
95,13,5,28
96,13,6,31
97,13,7,25
98,14,1,23
99,14,2,30
100,14,3,27
101,14,4,20
102,14,5,33
103,14,6,22
104,14,7,35
105,15,1,16
106,15,2,37
107,15,3,24
108,15,4,27
109,15,5,28
110,15,6,29
111,15,7,26
112,16,1,29
113,16,2,32
114,16,3,17
115,16,4,45
116,16,5,32
117,16,6,31
118,16,7,34
119,17,1,20
120,17,2,32
121,17,3,37
122,17,4,33
123,17,5,21
124,17,6,34
125,17,7,27
126,18,1,26
127,18,2,27
128,18,3,31
129,18,4,26
130,18,5,20
131,18,6,28
132,18,7,27
133,19,1,16
134,19,2,29
135,19,3,25
136,19,4,12
137,19,5,21
138,19,6,29
139,19,7,26
140,20,1,28
141,20,2,27
142,20,3,23
143,20,4,17
144,20,5,21
145,20,6,20
146,20,7,18
147,21,1,19
148,21,2,26
149,21,3,14
150,21,4,16
151,21,5,19
152,21,6,21
153,21,7,17
154,22,1,9
155,22,2,8
156,22,3,11
157,22,4,12
158,22,5,10
159,22,6,19
160,22,7,23
161,23,1,8
162,23,2,10
163,23,3,7
164,23,4,6
165,23,5,6
166,23,6,13
167,23,7,23
168,99,1,1
169,99,2,2
170,99,3,5
171,99,4,2
172,99,7,1
