,acchr,dayofweek,size
0,0,1,16
1,0,2,11
2,0,3,9
3,0,4,10
4,0,5,11
5,0,6,11
6,0,7,20
7,1,1,8
8,1,2,5
9,1,3,6
10,1,4,6
11,1,5,5
12,1,6,11
13,1,7,17
14,2,1,24
15,2,2,9
16,2,3,5
17,2,4,5
18,2,5,4
19,2,6,15
20,2,7,10
21,3,1,18
22,3,2,3
23,3,3,2
24,3,4,7
25,3,5,8
26,3,6,16
27,3,7,11
28,4,1,14
29,4,2,6
30,4,3,6
31,4,4,3
32,4,5,6
33,4,6,14
34,4,7,11
35,5,1,10
36,5,2,13
37,5,3,15
38,5,4,17
39,5,5,14
40,5,6,14
41,5,7,12
42,6,1,7
43,6,2,32
44,6,3,36
45,6,4,23
46,6,5,29
47,6,6,25
48,6,7,7
49,7,1,12
50,7,2,24
51,7,3,28
52,7,4,30
53,7,5,41
54,7,6,34
55,7,7,10
56,8,1,19
57,8,2,26
58,8,3,29
59,8,4,26
60,8,5,26
61,8,6,35
62,8,7,24
63,9,1,22
64,9,2,21
65,9,3,23
66,9,4,27
67,9,5,20
68,9,6,28
69,9,7,29
70,10,1,41
71,10,2,29
72,10,3,29
73,10,4,30
74,10,5,28
75,10,6,45
76,10,7,32
77,11,1,22
78,11,2,44
79,11,3,42
80,11,4,46
81,11,5,31
82,11,6,50
83,11,7,44
84,12,1,55
85,12,2,44
86,12,3,43
87,12,4,30
88,12,5,47
89,12,6,40
90,12,7,52
91,13,1,42
92,13,2,35
93,13,3,41
94,13,4,38
95,13,5,57
96,13,6,56
97,13,7,40
98,14,1,37
99,14,2,48
100,14,3,50
101,14,4,42
102,14,5,43
103,14,6,55
104,14,7,46
105,15,1,38
106,15,2,39
107,15,3,56
108,15,4,49
109,15,5,45
110,15,6,48
111,15,7,45
112,16,1,47
113,16,2,45
114,16,3,39
115,16,4,68
116,16,5,55
117,16,6,39
118,16,7,46
119,17,1,37
120,17,2,44
121,17,3,50
122,17,4,39
123,17,5,42
124,17,6,58
125,17,7,31
126,18,1,20
127,18,2,37
128,18,3,42
129,18,4,38
130,18,5,43
131,18,6,47
132,18,7,60
133,19,1,17
134,19,2,32
135,19,3,23
136,19,4,14
137,19,5,21
138,19,6,31
139,19,7,22
140,20,1,24
141,20,2,27
142,20,3,29
143,20,4,29
144,20,5,23
145,20,6,30
146,20,7,26
147,21,1,21
148,21,2,24
149,21,3,14
150,21,4,17
151,21,5,31
152,21,6,31
153,21,7,17
154,22,1,13
155,22,2,20
156,22,3,7
157,22,4,14
158,22,5,16
159,22,6,32
160,22,7,24
161,23,1,4
162,23,2,11
163,23,3,11
164,23,4,15
165,23,5,12
166,23,6,19
167,23,7,23
168,99,3,1
169,99,6,1
170,99,7,1
