,acchr,dayofweek,size
0,0,1,16
1,0,2,8
2,0,3,8
3,0,4,6
4,0,5,9
5,0,6,9
6,0,7,13
7,1,1,6
8,1,2,2
9,1,3,6
10,1,4,4
11,1,5,4
12,1,6,9
13,1,7,14
14,2,1,12
15,2,2,6
16,2,3,4
17,2,4,4
18,2,5,2
19,2,6,9
20,2,7,8
21,3,1,10
22,3,2,2
23,3,3,1
24,3,4,3
25,3,5,5
26,3,6,16
27,3,7,6
28,4,1,7
29,4,2,6
30,4,3,6
31,4,4,2
32,4,5,6
33,4,6,12
34,4,7,8
35,5,1,7
36,5,2,11
37,5,3,13
38,5,4,15
39,5,5,10
40,5,6,14
41,5,7,9
42,6,1,5
43,6,2,31
44,6,3,26
45,6,4,19
46,6,5,28
47,6,6,24
48,6,7,5
49,7,1,8
50,7,2,22
51,7,3,25
52,7,4,30
53,7,5,34
54,7,6,31
55,7,7,10
56,8,1,17
57,8,2,21
58,8,3,21
59,8,4,20
60,8,5,25
61,8,6,28
62,8,7,16
63,9,1,18
64,9,2,17
65,9,3,21
66,9,4,25
67,9,5,17
68,9,6,25
69,9,7,26
70,10,1,28
71,10,2,24
72,10,3,27
73,10,4,23
74,10,5,23
75,10,6,40
76,10,7,29
77,11,1,17
78,11,2,39
79,11,3,33
80,11,4,33
81,11,5,24
82,11,6,40
83,11,7,35
84,12,1,42
85,12,2,38
86,12,3,38
87,12,4,25
88,12,5,37
89,12,6,33
90,12,7,44
91,13,1,40
92,13,2,26
93,13,3,33
94,13,4,33
95,13,5,40
96,13,6,43
97,13,7,33
98,14,1,25
99,14,2,41
100,14,3,39
101,14,4,38
102,14,5,35
103,14,6,44
104,14,7,37
105,15,1,29
106,15,2,30
107,15,3,44
108,15,4,44
109,15,5,42
110,15,6,40
111,15,7,38
112,16,1,35
113,16,2,43
114,16,3,30
115,16,4,51
116,16,5,46
117,16,6,36
118,16,7,38
119,17,1,26
120,17,2,38
121,17,3,42
122,17,4,34
123,17,5,34
124,17,6,46
125,17,7,28
126,18,1,19
127,18,2,31
128,18,3,33
129,18,4,32
130,18,5,37
131,18,6,27
132,18,7,40
133,19,1,11
134,19,2,25
135,19,3,23
136,19,4,14
137,19,5,15
138,19,6,28
139,19,7,16
140,20,1,21
141,20,2,25
142,20,3,21
143,20,4,21
144,20,5,19
145,20,6,26
146,20,7,21
147,21,1,18
148,21,2,19
149,21,3,8
150,21,4,13
151,21,5,22
152,21,6,23
153,21,7,15
154,22,1,12
155,22,2,12
156,22,3,5
157,22,4,13
158,22,5,8
159,22,6,21
160,22,7,16
161,23,1,3
162,23,2,11
163,23,3,11
164,23,4,7
165,23,5,9
166,23,6,14
167,23,7,18
168,99,3,1
169,99,6,1
170,99,7,1
