,acchr,dayofweek,size
0,0,1,14
1,0,2,8
2,0,3,8
3,0,4,9
4,0,5,10
5,0,6,10
6,0,7,14
7,1,1,8
8,1,2,4
9,1,3,6
10,1,4,6
11,1,5,5
12,1,6,10
13,1,7,13
14,2,1,15
15,2,2,4
16,2,3,4
17,2,4,4
18,2,5,2
19,2,6,9
20,2,7,9
21,3,1,14
22,3,2,3
23,3,3,2
24,3,4,5
25,3,5,8
26,3,6,16
27,3,7,10
28,4,1,7
29,4,2,5
30,4,3,6
31,4,4,3
32,4,5,5
33,4,6,12
34,4,7,10
35,5,1,9
36,5,2,10
37,5,3,15
38,5,4,15
39,5,5,9
40,5,6,13
41,5,7,10
42,6,1,5
43,6,2,31
44,6,3,35
45,6,4,22
46,6,5,27
47,6,6,23
48,6,7,5
49,7,1,10
50,7,2,22
51,7,3,28
52,7,4,29
53,7,5,38
54,7,6,30
55,7,7,9
56,8,1,15
57,8,2,25
58,8,3,24
59,8,4,23
60,8,5,24
61,8,6,33
62,8,7,20
63,9,1,18
64,9,2,19
65,9,3,23
66,9,4,25
67,9,5,17
68,9,6,26
69,9,7,23
70,10,1,30
71,10,2,24
72,10,3,28
73,10,4,24
74,10,5,25
75,10,6,43
76,10,7,28
77,11,1,18
78,11,2,41
79,11,3,38
80,11,4,39
81,11,5,26
82,11,6,43
83,11,7,37
84,12,1,46
85,12,2,38
86,12,3,38
87,12,4,24
88,12,5,41
89,12,6,34
90,12,7,43
91,13,1,37
92,13,2,28
93,13,3,36
94,13,4,35
95,13,5,48
96,13,6,52
97,13,7,33
98,14,1,24
99,14,2,44
100,14,3,44
101,14,4,35
102,14,5,39
103,14,6,50
104,14,7,40
105,15,1,30
106,15,2,34
107,15,3,48
108,15,4,44
109,15,5,40
110,15,6,42
111,15,7,40
112,16,1,35
113,16,2,38
114,16,3,38
115,16,4,55
116,16,5,44
117,16,6,34
118,16,7,40
119,17,1,33
120,17,2,37
121,17,3,46
122,17,4,36
123,17,5,36
124,17,6,52
125,17,7,29
126,18,1,20
127,18,2,33
128,18,3,35
129,18,4,34
130,18,5,36
131,18,6,38
132,18,7,47
133,19,1,13
134,19,2,31
135,19,3,18
136,19,4,12
137,19,5,18
138,19,6,25
139,19,7,15
140,20,1,17
141,20,2,21
142,20,3,26
143,20,4,24
144,20,5,17
145,20,6,27
146,20,7,21
147,21,1,17
148,21,2,21
149,21,3,12
150,21,4,13
151,21,5,24
152,21,6,27
153,21,7,13
154,22,1,11
155,22,2,15
156,22,3,6
157,22,4,13
158,22,5,14
159,22,6,26
160,22,7,21
161,23,1,3
162,23,2,9
163,23,3,9
164,23,4,11
165,23,5,12
166,23,6,15
167,23,7,17
168,99,3,1
169,99,6,1
170,99,7,1
