,acchr,dayofweek,size
0,0,1,53
1,0,2,24
2,0,3,17
3,0,4,16
4,0,5,26
5,0,6,26
6,0,7,59
7,1,1,55
8,1,2,30
9,1,3,17
10,1,4,27
11,1,5,19
12,1,6,32
13,1,7,77
14,2,1,100
15,2,2,26
16,2,3,23
17,2,4,23
18,2,5,23
19,2,6,47
20,2,7,112
21,3,1,67
22,3,2,7
23,3,3,11
24,3,4,17
25,3,5,16
26,3,6,30
27,3,7,61
28,4,1,43
29,4,2,13
30,4,3,16
31,4,4,9
32,4,5,12
33,4,6,19
34,4,7,46
35,5,1,31
36,5,2,18
37,5,3,11
38,5,4,10
39,5,5,11
40,5,6,6
41,5,7,31
42,6,1,20
43,6,2,14
44,6,3,17
45,6,4,6
46,6,5,22
47,6,6,15
48,6,7,23
49,7,1,16
50,7,2,14
51,7,3,20
52,7,4,12
53,7,5,14
54,7,6,20
55,7,7,23
56,8,1,8
57,8,2,14
58,8,3,14
59,8,4,10
60,8,5,13
61,8,6,19
62,8,7,11
63,9,1,11
64,9,2,6
65,9,3,15
66,9,4,9
67,9,5,9
68,9,6,9
69,9,7,11
70,10,1,14
71,10,2,9
72,10,3,8
73,10,4,7
74,10,5,9
75,10,6,13
76,10,7,15
77,11,1,13
78,11,2,9
79,11,3,9
80,11,4,14
81,11,5,9
82,11,6,16
83,11,7,16
84,12,1,24
85,12,2,17
86,12,3,12
87,12,4,11
88,12,5,15
89,12,6,15
90,12,7,15
91,13,1,14
92,13,2,12
93,13,3,11
94,13,4,14
95,13,5,13
96,13,6,14
97,13,7,17
98,14,1,14
99,14,2,23
100,14,3,20
101,14,4,7
102,14,5,18
103,14,6,17
104,14,7,25
105,15,1,24
106,15,2,16
107,15,3,11
108,15,4,18
109,15,5,10
110,15,6,25
111,15,7,24
112,16,1,18
113,16,2,18
114,16,3,22
115,16,4,26
116,16,5,17
117,16,6,16
118,16,7,28
119,17,1,25
120,17,2,21
121,17,3,27
122,17,4,27
123,17,5,14
124,17,6,21
125,17,7,21
126,18,1,23
127,18,2,24
128,18,3,20
129,18,4,19
130,18,5,17
131,18,6,22
132,18,7,29
133,19,1,23
134,19,2,20
135,19,3,24
136,19,4,13
137,19,5,16
138,19,6,20
139,19,7,30
140,20,1,23
141,20,2,17
142,20,3,32
143,20,4,16
144,20,5,31
145,20,6,23
146,20,7,29
147,21,1,21
148,21,2,24
149,21,3,23
150,21,4,19
151,21,5,26
152,21,6,29
153,21,7,27
154,22,1,32
155,22,2,18
156,22,3,22
157,22,4,16
158,22,5,32
159,22,6,38
160,22,7,33
161,23,1,18
162,23,2,21
163,23,3,15
164,23,4,14
165,23,5,29
166,23,6,42
167,23,7,57
168,99,1,5
169,99,2,2
170,99,3,3
171,99,4,2
172,99,5,2
173,99,6,3
174,99,7,6
