,acchr,dayofweek,size
0,0,1,10
1,0,2,4
2,0,3,3
3,0,4,6
4,0,5,8
5,0,6,5
6,0,7,7
7,1,1,7
8,1,2,3
9,1,3,6
10,1,4,4
11,1,5,5
12,1,6,6
13,1,7,6
14,2,1,7
15,2,2,3
16,2,3,2
17,2,4,3
18,2,5,1
19,2,6,5
20,2,7,4
21,3,1,8
22,3,2,3
23,3,3,4
24,3,4,4
25,3,5,5
26,3,6,9
27,3,7,4
28,4,1,7
29,4,2,8
30,4,3,4
31,4,4,3
32,4,5,9
33,4,6,7
34,4,7,5
35,5,1,3
36,5,2,13
37,5,3,10
38,5,4,8
39,5,5,11
40,5,6,10
41,5,7,8
42,6,1,5
43,6,2,29
44,6,3,22
45,6,4,22
46,6,5,19
47,6,6,24
48,6,7,11
49,7,1,9
50,7,2,20
51,7,3,23
52,7,4,25
53,7,5,18
54,7,6,17
55,7,7,13
56,8,1,17
57,8,2,23
58,8,3,19
59,8,4,13
60,8,5,29
61,8,6,29
62,8,7,18
63,9,1,20
64,9,2,24
65,9,3,19
66,9,4,19
67,9,5,24
68,9,6,31
69,9,7,23
70,10,1,27
71,10,2,26
72,10,3,31
73,10,4,20
74,10,5,24
75,10,6,37
76,10,7,28
77,11,1,21
78,11,2,44
79,11,3,35
80,11,4,41
81,11,5,25
82,11,6,36
83,11,7,27
84,12,1,46
85,12,2,42
86,12,3,30
87,12,4,28
88,12,5,37
89,12,6,30
90,12,7,47
91,13,1,34
92,13,2,21
93,13,3,32
94,13,4,32
95,13,5,36
96,13,6,47
97,13,7,34
98,14,1,28
99,14,2,39
100,14,3,29
101,14,4,36
102,14,5,38
103,14,6,39
104,14,7,31
105,15,1,23
106,15,2,31
107,15,3,37
108,15,4,38
109,15,5,28
110,15,6,37
111,15,7,38
112,16,1,29
113,16,2,41
114,16,3,25
115,16,4,40
116,16,5,40
117,16,6,35
118,16,7,34
119,17,1,18
120,17,2,25
121,17,3,32
122,17,4,34
123,17,5,25
124,17,6,31
125,17,7,28
126,18,1,23
127,18,2,17
128,18,3,27
129,18,4,17
130,18,5,24
131,18,6,25
132,18,7,37
133,19,1,12
134,19,2,25
135,19,3,17
136,19,4,7
137,19,5,12
138,19,6,17
139,19,7,15
140,20,1,11
141,20,2,15
142,20,3,11
143,20,4,17
144,20,5,9
145,20,6,17
146,20,7,19
147,21,1,11
148,21,2,17
149,21,3,14
150,21,4,9
151,21,5,15
152,21,6,17
153,21,7,18
154,22,1,4
155,22,2,7
156,22,3,3
157,22,4,11
158,22,5,5
159,22,6,10
160,22,7,17
161,23,1,3
162,23,2,7
163,23,3,12
164,23,4,6
165,23,5,5
166,23,6,8
167,23,7,8
168,99,1,1
169,99,3,2
170,99,4,3
171,99,5,1
172,99,6,2
