,acchr,dayofweek,size
0,0,1,26
1,0,2,13
2,0,3,14
3,0,4,14
4,0,5,14
5,0,6,14
6,0,7,28
7,1,1,23
8,1,2,18
9,1,3,11
10,1,4,10
11,1,5,11
12,1,6,14
13,1,7,24
14,2,1,21
15,2,2,12
16,2,3,7
17,2,4,9
18,2,5,9
19,2,6,13
20,2,7,20
21,3,1,19
22,3,2,4
23,3,3,6
24,3,4,8
25,3,5,9
26,3,6,24
27,3,7,15
28,4,1,12
29,4,2,15
30,4,3,17
31,4,4,7
32,4,5,14
33,4,6,23
34,4,7,17
35,5,1,13
36,5,2,28
37,5,3,18
38,5,4,27
39,5,5,21
40,5,6,23
41,5,7,19
42,6,1,16
43,6,2,51
44,6,3,40
45,6,4,39
46,6,5,45
47,6,6,41
48,6,7,19
49,7,1,22
50,7,2,42
51,7,3,47
52,7,4,43
53,7,5,47
54,7,6,43
55,7,7,31
56,8,1,28
57,8,2,48
58,8,3,34
59,8,4,31
60,8,5,47
61,8,6,53
62,8,7,27
63,9,1,39
64,9,2,34
65,9,3,41
66,9,4,34
67,9,5,36
68,9,6,46
69,9,7,37
70,10,1,45
71,10,2,37
72,10,3,42
73,10,4,30
74,10,5,41
75,10,6,64
76,10,7,49
77,11,1,36
78,11,2,63
79,11,3,55
80,11,4,65
81,11,5,38
82,11,6,51
83,11,7,51
84,12,1,74
85,12,2,63
86,12,3,52
87,12,4,44
88,12,5,61
89,12,6,49
90,12,7,71
91,13,1,68
92,13,2,35
93,13,3,53
94,13,4,54
95,13,5,60
96,13,6,67
97,13,7,63
98,14,1,45
99,14,2,81
100,14,3,66
101,14,4,50
102,14,5,64
103,14,6,65
104,14,7,70
105,15,1,51
106,15,2,60
107,15,3,62
108,15,4,62
109,15,5,49
110,15,6,63
111,15,7,63
112,16,1,55
113,16,2,65
114,16,3,53
115,16,4,80
116,16,5,71
117,16,6,54
118,16,7,62
119,17,1,44
120,17,2,50
121,17,3,64
122,17,4,63
123,17,5,53
124,17,6,60
125,17,7,56
126,18,1,45
127,18,2,45
128,18,3,51
129,18,4,51
130,18,5,53
131,18,6,49
132,18,7,65
133,19,1,32
134,19,2,45
135,19,3,33
136,19,4,23
137,19,5,29
138,19,6,37
139,19,7,31
140,20,1,28
141,20,2,38
142,20,3,39
143,20,4,31
144,20,5,32
145,20,6,40
146,20,7,34
147,21,1,27
148,21,2,41
149,21,3,21
150,21,4,21
151,21,5,36
152,21,6,33
153,21,7,32
154,22,1,21
155,22,2,22
156,22,3,17
157,22,4,26
158,22,5,24
159,22,6,36
160,22,7,34
161,23,1,13
162,23,2,23
163,23,3,19
164,23,4,13
165,23,5,16
166,23,6,25
167,23,7,31
168,99,1,2
169,99,2,3
170,99,3,4
171,99,4,6
172,99,5,1
173,99,6,5
174,99,7,3
