,acchr,dayofweek,size
0,0,1,18
1,0,2,9
2,0,3,10
3,0,4,13
4,0,5,12
5,0,6,16
6,0,7,26
7,1,1,19
8,1,2,8
9,1,3,8
10,1,4,4
11,1,5,8
12,1,6,14
13,1,7,27
14,2,1,19
15,2,2,4
16,2,3,4
17,2,4,6
18,2,5,7
19,2,6,8
20,2,7,12
21,3,1,9
22,3,2,3
23,3,3,4
24,3,4,6
25,3,5,9
26,3,6,5
27,3,7,11
28,4,1,7
29,4,2,9
30,4,3,5
31,4,4,2
32,4,5,9
33,4,6,13
34,4,7,8
35,5,1,8
36,5,2,10
37,5,3,12
38,5,4,9
39,5,5,12
40,5,6,13
41,5,7,6
42,6,1,5
43,6,2,17
44,6,3,18
45,6,4,12
46,6,5,20
47,6,6,23
48,6,7,15
49,7,1,17
50,7,2,21
51,7,3,25
52,7,4,20
53,7,5,22
54,7,6,17
55,7,7,8
56,8,1,15
57,8,2,25
58,8,3,27
59,8,4,13
60,8,5,21
61,8,6,33
62,8,7,18
63,9,1,16
64,9,2,23
65,9,3,30
66,9,4,14
67,9,5,20
68,9,6,22
69,9,7,22
70,10,1,18
71,10,2,25
72,10,3,29
73,10,4,18
74,10,5,28
75,10,6,35
76,10,7,18
77,11,1,27
78,11,2,28
79,11,3,35
80,11,4,36
81,11,5,27
82,11,6,34
83,11,7,24
84,12,1,41
85,12,2,34
86,12,3,24
87,12,4,34
88,12,5,35
89,12,6,35
90,12,7,40
91,13,1,34
92,13,2,23
93,13,3,28
94,13,4,28
95,13,5,40
96,13,6,48
97,13,7,42
98,14,1,29
99,14,2,44
100,14,3,40
101,14,4,39
102,14,5,32
103,14,6,45
104,14,7,29
105,15,1,37
106,15,2,36
107,15,3,38
108,15,4,38
109,15,5,23
110,15,6,45
111,15,7,41
112,16,1,40
113,16,2,46
114,16,3,34
115,16,4,41
116,16,5,38
117,16,6,42
118,16,7,35
119,17,1,35
120,17,2,28
121,17,3,29
122,17,4,44
123,17,5,39
124,17,6,42
125,17,7,47
126,18,1,25
127,18,2,25
128,18,3,30
129,18,4,22
130,18,5,36
131,18,6,31
132,18,7,47
133,19,1,30
134,19,2,18
135,19,3,16
136,19,4,17
137,19,5,28
138,19,6,20
139,19,7,41
140,20,1,18
141,20,2,20
142,20,3,18
143,20,4,24
144,20,5,18
145,20,6,23
146,20,7,38
147,21,1,18
148,21,2,21
149,21,3,17
150,21,4,17
151,21,5,17
152,21,6,25
153,21,7,31
154,22,1,15
155,22,2,16
156,22,3,13
157,22,4,23
158,22,5,14
159,22,6,26
160,22,7,27
161,23,1,10
162,23,2,16
163,23,3,13
164,23,4,13
165,23,5,13
166,23,6,29
167,23,7,16
168,99,1,1
169,99,2,5
170,99,4,4
171,99,5,3
172,99,6,4
173,99,7,4
