,acchr,dayofweek,size
0,0,1,86
1,0,2,33
2,0,3,37
3,0,4,45
4,0,5,47
5,0,6,50
6,0,7,93
7,1,1,91
8,1,2,44
9,1,3,23
10,1,4,40
11,1,5,36
12,1,6,50
13,1,7,108
14,2,1,116
15,2,2,38
16,2,3,24
17,2,4,29
18,2,5,41
19,2,6,70
20,2,7,125
21,3,1,77
22,3,2,18
23,3,3,17
24,3,4,21
25,3,5,31
26,3,6,40
27,3,7,70
28,4,1,50
29,4,2,21
30,4,3,23
31,4,4,16
32,4,5,20
33,4,6,43
34,4,7,62
35,5,1,37
36,5,2,23
37,5,3,22
38,5,4,23
39,5,5,27
40,5,6,27
41,5,7,41
42,6,1,32
43,6,2,36
44,6,3,43
45,6,4,25
46,6,5,37
47,6,6,48
48,6,7,45
49,7,1,36
50,7,2,39
51,7,3,41
52,7,4,40
53,7,5,55
54,7,6,44
55,7,7,35
56,8,1,24
57,8,2,47
58,8,3,48
59,8,4,31
60,8,5,35
61,8,6,56
62,8,7,34
63,9,1,36
64,9,2,34
65,9,3,44
66,9,4,30
67,9,5,31
68,9,6,38
69,9,7,38
70,10,1,34
71,10,2,32
72,10,3,40
73,10,4,27
74,10,5,42
75,10,6,53
76,10,7,42
77,11,1,44
78,11,2,43
79,11,3,53
80,11,4,56
81,11,5,37
82,11,6,51
83,11,7,48
84,12,1,68
85,12,2,60
86,12,3,43
87,12,4,50
88,12,5,62
89,12,6,56
90,12,7,65
91,13,1,65
92,13,2,39
93,13,3,42
94,13,4,50
95,13,5,61
96,13,6,63
97,13,7,76
98,14,1,48
99,14,2,77
100,14,3,77
101,14,4,61
102,14,5,57
103,14,6,79
104,14,7,66
105,15,1,69
106,15,2,55
107,15,3,70
108,15,4,73
109,15,5,41
110,15,6,76
111,15,7,72
112,16,1,76
113,16,2,65
114,16,3,67
115,16,4,75
116,16,5,72
117,16,6,66
118,16,7,74
119,17,1,70
120,17,2,57
121,17,3,59
122,17,4,70
123,17,5,69
124,17,6,77
125,17,7,81
126,18,1,64
127,18,2,61
128,18,3,51
129,18,4,49
130,18,5,76
131,18,6,66
132,18,7,93
133,19,1,66
134,19,2,47
135,19,3,52
136,19,4,43
137,19,5,53
138,19,6,49
139,19,7,94
140,20,1,52
141,20,2,47
142,20,3,50
143,20,4,48
144,20,5,58
145,20,6,66
146,20,7,82
147,21,1,47
148,21,2,55
149,21,3,50
150,21,4,50
151,21,5,57
152,21,6,69
153,21,7,75
154,22,1,50
155,22,2,39
156,22,3,41
157,22,4,48
158,22,5,50
159,22,6,74
160,22,7,73
161,23,1,41
162,23,2,41
163,23,3,42
164,23,4,33
165,23,5,54
166,23,6,76
167,23,7,87
168,99,1,11
169,99,2,7
170,99,3,6
171,99,4,9
172,99,5,4
173,99,6,11
174,99,7,14
