,acchr,dayofweek,size
0,0,1,147
1,0,2,56
2,0,3,61
3,0,4,60
4,0,5,74
5,0,6,86
6,0,7,156
7,1,1,143
8,1,2,69
9,1,3,44
10,1,4,60
11,1,5,60
12,1,6,80
13,1,7,182
14,2,1,201
15,2,2,54
16,2,3,43
17,2,4,43
18,2,5,69
19,2,6,110
20,2,7,214
21,3,1,133
22,3,2,34
23,3,3,31
24,3,4,33
25,3,5,45
26,3,6,64
27,3,7,127
28,4,1,94
29,4,2,39
30,4,3,37
31,4,4,22
32,4,5,37
33,4,6,63
34,4,7,93
35,5,1,68
36,5,2,48
37,5,3,33
38,5,4,52
39,5,5,43
40,5,6,47
41,5,7,74
42,6,1,49
43,6,2,68
44,6,3,90
45,6,4,65
46,6,5,70
47,6,6,79
48,6,7,79
49,7,1,58
50,7,2,70
51,7,3,77
52,7,4,79
53,7,5,93
54,7,6,78
55,7,7,56
56,8,1,50
57,8,2,77
58,8,3,76
59,8,4,57
60,8,5,76
61,8,6,93
62,8,7,62
63,9,1,67
64,9,2,67
65,9,3,74
66,9,4,53
67,9,5,62
68,9,6,73
69,9,7,69
70,10,1,76
71,10,2,62
72,10,3,67
73,10,4,65
74,10,5,80
75,10,6,101
76,10,7,84
77,11,1,73
78,11,2,93
79,11,3,97
80,11,4,99
81,11,5,70
82,11,6,99
83,11,7,99
84,12,1,130
85,12,2,107
86,12,3,87
87,12,4,80
88,12,5,106
89,12,6,106
90,12,7,128
91,13,1,120
92,13,2,82
93,13,3,89
94,13,4,103
95,13,5,126
96,13,6,122
97,13,7,132
98,14,1,104
99,14,2,135
100,14,3,120
101,14,4,104
102,14,5,126
103,14,6,121
104,14,7,132
105,15,1,119
106,15,2,114
107,15,3,121
108,15,4,128
109,15,5,100
110,15,6,138
111,15,7,128
112,16,1,145
113,16,2,113
114,16,3,116
115,16,4,147
116,16,5,128
117,16,6,126
118,16,7,135
119,17,1,121
120,17,2,112
121,17,3,123
122,17,4,132
123,17,5,124
124,17,6,134
125,17,7,146
126,18,1,117
127,18,2,106
128,18,3,105
129,18,4,93
130,18,5,110
131,18,6,126
132,18,7,173
133,19,1,111
134,19,2,90
135,19,3,92
136,19,4,78
137,19,5,85
138,19,6,96
139,19,7,149
140,20,1,97
141,20,2,82
142,20,3,95
143,20,4,101
144,20,5,95
145,20,6,120
146,20,7,130
147,21,1,99
148,21,2,101
149,21,3,81
150,21,4,87
151,21,5,102
152,21,6,134
153,21,7,143
154,22,1,89
155,22,2,67
156,22,3,66
157,22,4,81
158,22,5,90
159,22,6,130
160,22,7,130
161,23,1,64
162,23,2,66
163,23,3,69
164,23,4,48
165,23,5,84
166,23,6,134
167,23,7,153
168,99,1,18
169,99,2,13
170,99,3,11
171,99,4,13
172,99,5,6
173,99,6,15
174,99,7,21
