,acchr,dayofweek,size
0,0,1,12
1,0,2,8
2,0,3,1
3,0,4,8
4,0,5,8
5,0,6,8
6,0,7,8
7,1,1,10
8,1,2,2
9,1,3,6
10,1,4,3
11,1,5,5
12,1,6,5
13,1,7,9
14,2,1,7
15,2,2,3
16,2,3,4
17,2,4,3
18,2,5,2
19,2,6,6
20,2,7,7
21,3,1,5
22,3,2,4
23,3,3,5
24,3,4,4
25,3,5,5
26,3,6,9
27,3,7,5
28,4,1,8
29,4,2,8
30,4,3,6
31,4,4,6
32,4,5,11
33,4,6,7
34,4,7,7
35,5,1,3
36,5,2,16
37,5,3,17
38,5,4,10
39,5,5,19
40,5,6,12
41,5,7,12
42,6,1,7
43,6,2,29
44,6,3,22
45,6,4,24
46,6,5,20
47,6,6,23
48,6,7,10
49,7,1,11
50,7,2,24
51,7,3,24
52,7,4,29
53,7,5,22
54,7,6,19
55,7,7,15
56,8,1,10
57,8,2,18
58,8,3,18
59,8,4,14
60,8,5,25
61,8,6,23
62,8,7,15
63,9,1,17
64,9,2,23
65,9,3,19
66,9,4,19
67,9,5,20
68,9,6,27
69,9,7,27
70,10,1,19
71,10,2,17
72,10,3,23
73,10,4,21
74,10,5,24
75,10,6,24
76,10,7,24
77,11,1,18
78,11,2,34
79,11,3,26
80,11,4,41
81,11,5,28
82,11,6,30
83,11,7,24
84,12,1,37
85,12,2,34
86,12,3,22
87,12,4,22
88,12,5,29
89,12,6,20
90,12,7,44
91,13,1,29
92,13,2,20
93,13,3,24
94,13,4,23
95,13,5,28
96,13,6,32
97,13,7,28
98,14,1,23
99,14,2,28
100,14,3,33
101,14,4,31
102,14,5,30
103,14,6,33
104,14,7,27
105,15,1,23
106,15,2,24
107,15,3,25
108,15,4,29
109,15,5,22
110,15,6,30
111,15,7,30
112,16,1,20
113,16,2,32
114,16,3,25
115,16,4,37
116,16,5,27
117,16,6,28
118,16,7,30
119,17,1,19
120,17,2,26
121,17,3,26
122,17,4,34
123,17,5,22
124,17,6,28
125,17,7,24
126,18,1,27
127,18,2,20
128,18,3,30
129,18,4,26
130,18,5,30
131,18,6,28
132,18,7,35
133,19,1,15
134,19,2,34
135,19,3,17
136,19,4,10
137,19,5,13
138,19,6,20
139,19,7,24
140,20,1,14
141,20,2,16
142,20,3,15
143,20,4,20
144,20,5,10
145,20,6,20
146,20,7,23
147,21,1,15
148,21,2,16
149,21,3,15
150,21,4,15
151,21,5,17
152,21,6,21
153,21,7,18
154,22,1,7
155,22,2,7
156,22,3,6
157,22,4,11
158,22,5,9
159,22,6,17
160,22,7,23
161,23,1,5
162,23,2,7
163,23,3,15
164,23,4,10
165,23,5,6
166,23,6,9
167,23,7,9
168,99,3,2
169,99,4,3
170,99,5,1
171,99,6,2
