,acchr,dayofweek,size
0,0,1,43
1,0,2,23
2,0,3,15
3,0,4,24
4,0,5,24
5,0,6,39
6,0,7,53
7,1,1,45
8,1,2,13
9,1,3,14
10,1,4,8
11,1,5,16
12,1,6,25
13,1,7,48
14,2,1,30
15,2,2,11
16,2,3,11
17,2,4,11
18,2,5,14
19,2,6,20
20,2,7,29
21,3,1,21
22,3,2,13
23,3,3,12
24,3,4,9
25,3,5,11
26,3,6,17
27,3,7,24
28,4,1,20
29,4,2,14
30,4,3,13
31,4,4,8
32,4,5,19
33,4,6,21
34,4,7,16
35,5,1,18
36,5,2,20
37,5,3,26
38,5,4,31
39,5,5,34
40,5,6,21
41,5,7,30
42,6,1,14
43,6,2,40
44,6,3,45
45,6,4,41
46,6,5,34
47,6,6,44
48,6,7,24
49,7,1,25
50,7,2,43
51,7,3,35
52,7,4,49
53,7,5,43
54,7,6,33
55,7,7,21
56,8,1,24
57,8,2,35
58,8,3,39
59,8,4,26
60,8,5,40
61,8,6,44
62,8,7,29
63,9,1,31
64,9,2,40
65,9,3,38
66,9,4,33
67,9,5,40
68,9,6,42
69,9,7,45
70,10,1,32
71,10,2,34
72,10,3,39
73,10,4,50
74,10,5,54
75,10,6,48
76,10,7,36
77,11,1,38
78,11,2,58
79,11,3,49
80,11,4,68
81,11,5,44
82,11,6,61
83,11,7,48
84,12,1,66
85,12,2,59
86,12,3,44
87,12,4,44
88,12,5,60
89,12,6,52
90,12,7,73
91,13,1,58
92,13,2,46
93,13,3,52
94,13,4,50
95,13,5,67
96,13,6,74
97,13,7,74
98,14,1,63
99,14,2,58
100,14,3,71
101,14,4,60
102,14,5,68
103,14,6,67
104,14,7,63
105,15,1,71
106,15,2,62
107,15,3,61
108,15,4,61
109,15,5,51
110,15,6,73
111,15,7,61
112,16,1,57
113,16,2,68
114,16,3,56
115,16,4,80
116,16,5,67
117,16,6,70
118,16,7,65
119,17,1,60
120,17,2,60
121,17,3,55
122,17,4,82
123,17,5,69
124,17,6,62
125,17,7,86
126,18,1,64
127,18,2,55
128,18,3,68
129,18,4,59
130,18,5,63
131,18,6,71
132,18,7,100
133,19,1,70
134,19,2,67
135,19,3,47
136,19,4,46
137,19,5,69
138,19,6,56
139,19,7,91
140,20,1,51
141,20,2,48
142,20,3,53
143,20,4,53
144,20,5,49
145,20,6,63
146,20,7,83
147,21,1,55
148,21,2,45
149,21,3,41
150,21,4,51
151,21,5,56
152,21,6,72
153,21,7,85
154,22,1,38
155,22,2,36
156,22,3,41
157,22,4,44
158,22,5,47
159,22,6,65
160,22,7,84
161,23,1,22
162,23,2,26
163,23,3,38
164,23,4,31
165,23,5,28
166,23,6,64
167,23,7,43
168,99,1,2
169,99,2,7
170,99,3,2
171,99,4,6
172,99,5,5
173,99,6,6
174,99,7,4
