,acchr,dayofweek,size
0,0,1,38
1,0,2,22
2,0,3,14
3,0,4,22
4,0,5,24
5,0,6,35
6,0,7,47
7,1,1,43
8,1,2,11
9,1,3,13
10,1,4,8
11,1,5,14
12,1,6,21
13,1,7,44
14,2,1,27
15,2,2,11
16,2,3,10
17,2,4,11
18,2,5,13
19,2,6,18
20,2,7,29
21,3,1,20
22,3,2,10
23,3,3,9
24,3,4,8
25,3,5,10
26,3,6,17
27,3,7,19
28,4,1,19
29,4,2,14
30,4,3,13
31,4,4,8
32,4,5,18
33,4,6,19
34,4,7,15
35,5,1,14
36,5,2,18
37,5,3,26
38,5,4,28
39,5,5,30
40,5,6,20
41,5,7,21
42,6,1,13
43,6,2,40
44,6,3,41
45,6,4,38
46,6,5,31
47,6,6,43
48,6,7,21
49,7,1,22
50,7,2,38
51,7,3,34
52,7,4,45
53,7,5,38
54,7,6,32
55,7,7,21
56,8,1,22
57,8,2,35
58,8,3,37
59,8,4,24
60,8,5,39
61,8,6,38
62,8,7,26
63,9,1,27
64,9,2,38
65,9,3,37
66,9,4,30
67,9,5,39
68,9,6,36
69,9,7,45
70,10,1,29
71,10,2,31
72,10,3,37
73,10,4,42
74,10,5,47
75,10,6,46
76,10,7,35
77,11,1,33
78,11,2,48
79,11,3,47
80,11,4,53
81,11,5,39
82,11,6,52
83,11,7,42
84,12,1,59
85,12,2,54
86,12,3,42
87,12,4,40
88,12,5,51
89,12,6,44
90,12,7,69
91,13,1,55
92,13,2,44
93,13,3,47
94,13,4,46
95,13,5,56
96,13,6,61
97,13,7,63
98,14,1,52
99,14,2,53
100,14,3,63
101,14,4,57
102,14,5,60
103,14,6,62
104,14,7,56
105,15,1,60
106,15,2,57
107,15,3,54
108,15,4,55
109,15,5,46
110,15,6,66
111,15,7,57
112,16,1,47
113,16,2,67
114,16,3,50
115,16,4,69
116,16,5,58
117,16,6,65
118,16,7,61
119,17,1,49
120,17,2,56
121,17,3,51
122,17,4,78
123,17,5,64
124,17,6,59
125,17,7,79
126,18,1,61
127,18,2,50
128,18,3,68
129,18,4,55
130,18,5,58
131,18,6,64
132,18,7,93
133,19,1,68
134,19,2,62
135,19,3,43
136,19,4,44
137,19,5,63
138,19,6,55
139,19,7,87
140,20,1,48
141,20,2,46
142,20,3,44
143,20,4,52
144,20,5,47
145,20,6,62
146,20,7,80
147,21,1,51
148,21,2,44
149,21,3,36
150,21,4,48
151,21,5,54
152,21,6,67
153,21,7,81
154,22,1,38
155,22,2,32
156,22,3,37
157,22,4,43
158,22,5,45
159,22,6,58
160,22,7,75
161,23,1,20
162,23,2,25
163,23,3,37
164,23,4,28
165,23,5,25
166,23,6,61
167,23,7,38
168,99,1,2
169,99,2,7
170,99,3,2
171,99,4,6
172,99,5,5
173,99,6,6
174,99,7,4
