,acchr,dayofweek,size
0,0,1,22
1,0,2,16
2,0,3,11
3,0,4,18
4,0,5,16
5,0,6,25
6,0,7,32
7,1,1,30
8,1,2,9
9,1,3,10
10,1,4,6
11,1,5,11
12,1,6,20
13,1,7,35
14,2,1,19
15,2,2,6
16,2,3,7
17,2,4,8
18,2,5,8
19,2,6,15
20,2,7,22
21,3,1,11
22,3,2,4
23,3,3,7
24,3,4,7
25,3,5,8
26,3,6,10
27,3,7,13
28,4,1,12
29,4,2,10
30,4,3,8
31,4,4,6
32,4,5,11
33,4,6,16
34,4,7,10
35,5,1,14
36,5,2,14
37,5,3,18
38,5,4,14
39,5,5,19
40,5,6,16
41,5,7,20
42,6,1,8
43,6,2,23
44,6,3,22
45,6,4,17
46,6,5,22
47,6,6,28
48,6,7,16
49,7,1,16
50,7,2,24
51,7,3,19
52,7,4,30
53,7,5,25
54,7,6,20
55,7,7,7
56,8,1,12
57,8,2,24
58,8,3,26
59,8,4,13
60,8,5,22
61,8,6,28
62,8,7,16
63,9,1,16
64,9,2,21
65,9,3,26
66,9,4,18
67,9,5,23
68,9,6,26
69,9,7,29
70,10,1,19
71,10,2,25
72,10,3,25
73,10,4,24
74,10,5,29
75,10,6,24
76,10,7,15
77,11,1,23
78,11,2,32
79,11,3,29
80,11,4,39
81,11,5,27
82,11,6,38
83,11,7,23
84,12,1,38
85,12,2,36
86,12,3,24
87,12,4,30
88,12,5,30
89,12,6,27
90,12,7,38
91,13,1,28
92,13,2,22
93,13,3,27
94,13,4,23
95,13,5,38
96,13,6,42
97,13,7,38
98,14,1,29
99,14,2,33
100,14,3,45
101,14,4,33
102,14,5,32
103,14,6,46
104,14,7,27
105,15,1,41
106,15,2,37
107,15,3,37
108,15,4,31
109,15,5,24
110,15,6,43
111,15,7,39
112,16,1,33
113,16,2,42
114,16,3,29
115,16,4,48
116,16,5,37
117,16,6,40
118,16,7,31
119,17,1,33
120,17,2,33
121,17,3,23
122,17,4,53
123,17,5,44
124,17,6,37
125,17,7,49
126,18,1,38
127,18,2,35
128,18,3,40
129,18,4,41
130,18,5,47
131,18,6,42
132,18,7,53
133,19,1,44
134,19,2,34
135,19,3,24
136,19,4,31
137,19,5,46
138,19,6,31
139,19,7,57
140,20,1,31
141,20,2,31
142,20,3,32
143,20,4,31
144,20,5,32
145,20,6,38
146,20,7,54
147,21,1,28
148,21,2,26
149,21,3,24
150,21,4,34
151,21,5,32
152,21,6,36
153,21,7,48
154,22,1,25
155,22,2,26
156,22,3,24
157,22,4,29
158,22,5,35
159,22,6,37
160,22,7,50
161,23,1,15
162,23,2,15
163,23,3,21
164,23,4,23
165,23,5,24
166,23,6,44
167,23,7,27
168,99,2,4
169,99,4,5
170,99,5,4
171,99,6,4
172,99,7,2
