,acchr,dayofweek,size
0,0,1,21
1,0,2,16
2,0,3,10
3,0,4,16
4,0,5,16
5,0,6,23
6,0,7,26
7,1,1,28
8,1,2,7
9,1,3,9
10,1,4,6
11,1,5,9
12,1,6,16
13,1,7,32
14,2,1,17
15,2,2,6
16,2,3,6
17,2,4,8
18,2,5,7
19,2,6,13
20,2,7,22
21,3,1,11
22,3,2,3
23,3,3,4
24,3,4,7
25,3,5,7
26,3,6,10
27,3,7,10
28,4,1,11
29,4,2,10
30,4,3,8
31,4,4,6
32,4,5,11
33,4,6,14
34,4,7,10
35,5,1,12
36,5,2,13
37,5,3,18
38,5,4,12
39,5,5,15
40,5,6,16
41,5,7,13
42,6,1,8
43,6,2,23
44,6,3,20
45,6,4,17
46,6,5,20
47,6,6,27
48,6,7,14
49,7,1,14
50,7,2,19
51,7,3,18
52,7,4,26
53,7,5,24
54,7,6,20
55,7,7,7
56,8,1,12
57,8,2,24
58,8,3,24
59,8,4,12
60,8,5,22
61,8,6,25
62,8,7,13
63,9,1,14
64,9,2,20
65,9,3,25
66,9,4,15
67,9,5,22
68,9,6,22
69,9,7,29
70,10,1,16
71,10,2,22
72,10,3,24
73,10,4,19
74,10,5,26
75,10,6,24
76,10,7,15
77,11,1,19
78,11,2,26
79,11,3,27
80,11,4,32
81,11,5,24
82,11,6,32
83,11,7,18
84,12,1,33
85,12,2,34
86,12,3,23
87,12,4,27
88,12,5,26
89,12,6,23
90,12,7,37
91,13,1,25
92,13,2,21
93,13,3,24
94,13,4,22
95,13,5,30
96,13,6,34
97,13,7,36
98,14,1,22
99,14,2,31
100,14,3,38
101,14,4,31
102,14,5,27
103,14,6,43
104,14,7,23
105,15,1,35
106,15,2,33
107,15,3,32
108,15,4,29
109,15,5,22
110,15,6,36
111,15,7,35
112,16,1,29
113,16,2,42
114,16,3,27
115,16,4,42
116,16,5,32
117,16,6,38
118,16,7,29
119,17,1,24
120,17,2,29
121,17,3,23
122,17,4,49
123,17,5,40
124,17,6,36
125,17,7,46
126,18,1,36
127,18,2,32
128,18,3,40
129,18,4,38
130,18,5,43
131,18,6,39
132,18,7,47
133,19,1,43
134,19,2,34
135,19,3,20
136,19,4,29
137,19,5,41
138,19,6,31
139,19,7,54
140,20,1,29
141,20,2,29
142,20,3,25
143,20,4,30
144,20,5,31
145,20,6,38
146,20,7,52
147,21,1,24
148,21,2,26
149,21,3,21
150,21,4,32
151,21,5,30
152,21,6,34
153,21,7,46
154,22,1,25
155,22,2,24
156,22,3,23
157,22,4,29
158,22,5,34
159,22,6,33
160,22,7,45
161,23,1,13
162,23,2,14
163,23,3,20
164,23,4,21
165,23,5,22
166,23,6,42
167,23,7,22
168,99,2,4
169,99,4,5
170,99,5,4
171,99,6,4
172,99,7,2
