,acchr,dayofweek,size
0,0,1,72
1,0,2,27
2,0,3,31
3,0,4,35
4,0,5,42
5,0,6,38
6,0,7,81
7,1,1,82
8,1,2,36
9,1,3,18
10,1,4,33
11,1,5,31
12,1,6,44
13,1,7,93
14,2,1,100
15,2,2,30
16,2,3,18
17,2,4,25
18,2,5,31
19,2,6,67
20,2,7,106
21,3,1,68
22,3,2,14
23,3,3,14
24,3,4,19
25,3,5,23
26,3,6,34
27,3,7,57
28,4,1,46
29,4,2,15
30,4,3,18
31,4,4,14
32,4,5,17
33,4,6,37
34,4,7,51
35,5,1,31
36,5,2,20
37,5,3,18
38,5,4,18
39,5,5,25
40,5,6,21
41,5,7,37
42,6,1,21
43,6,2,31
44,6,3,37
45,6,4,22
46,6,5,32
47,6,6,38
48,6,7,37
49,7,1,28
50,7,2,30
51,7,3,28
52,7,4,29
53,7,5,39
54,7,6,31
55,7,7,26
56,8,1,18
57,8,2,36
58,8,3,33
59,8,4,27
60,8,5,25
61,8,6,36
62,8,7,19
63,9,1,24
64,9,2,24
65,9,3,32
66,9,4,17
67,9,5,25
68,9,6,31
69,9,7,30
70,10,1,24
71,10,2,24
72,10,3,29
73,10,4,20
74,10,5,28
75,10,6,34
76,10,7,31
77,11,1,30
78,11,2,34
79,11,3,34
80,11,4,40
81,11,5,23
82,11,6,31
83,11,7,35
84,12,1,54
85,12,2,41
86,12,3,26
87,12,4,38
88,12,5,41
89,12,6,37
90,12,7,54
91,13,1,52
92,13,2,25
93,13,3,25
94,13,4,39
95,13,5,44
96,13,6,47
97,13,7,57
98,14,1,37
99,14,2,52
100,14,3,59
101,14,4,42
102,14,5,43
103,14,6,58
104,14,7,51
105,15,1,54
106,15,2,39
107,15,3,46
108,15,4,54
109,15,5,29
110,15,6,54
111,15,7,58
112,16,1,61
113,16,2,47
114,16,3,49
115,16,4,64
116,16,5,51
117,16,6,43
118,16,7,55
119,17,1,51
120,17,2,39
121,17,3,38
122,17,4,60
123,17,5,51
124,17,6,57
125,17,7,67
126,18,1,54
127,18,2,50
128,18,3,42
129,18,4,40
130,18,5,67
131,18,6,52
132,18,7,76
133,19,1,58
134,19,2,35
135,19,3,41
136,19,4,34
137,19,5,41
138,19,6,41
139,19,7,80
140,20,1,42
141,20,2,38
142,20,3,43
143,20,4,35
144,20,5,45
145,20,6,50
146,20,7,64
147,21,1,46
148,21,2,45
149,21,3,43
150,21,4,41
151,21,5,49
152,21,6,58
153,21,7,63
154,22,1,44
155,22,2,35
156,22,3,34
157,22,4,42
158,22,5,41
159,22,6,58
160,22,7,64
161,23,1,37
162,23,2,31
163,23,3,37
164,23,4,30
165,23,5,43
166,23,6,65
167,23,7,62
168,99,1,9
169,99,2,5
170,99,3,5
171,99,4,8
172,99,5,4
173,99,6,11
174,99,7,10
