,acchr,dayofweek,size
0,0,1,112
1,0,2,51
2,0,3,40
3,0,4,54
4,0,5,55
5,0,6,63
6,0,7,129
7,1,1,148
8,1,2,53
9,1,3,29
10,1,4,45
11,1,5,45
12,1,6,71
13,1,7,143
14,2,1,158
15,2,2,48
16,2,3,37
17,2,4,36
18,2,5,47
19,2,6,104
20,2,7,179
21,3,1,111
22,3,2,24
23,3,3,23
24,3,4,24
25,3,5,35
26,3,6,48
27,3,7,96
28,4,1,79
29,4,2,22
30,4,3,27
31,4,4,23
32,4,5,26
33,4,6,55
34,4,7,86
35,5,1,55
36,5,2,30
37,5,3,33
38,5,4,31
39,5,5,37
40,5,6,38
41,5,7,69
42,6,1,35
43,6,2,42
44,6,3,48
45,6,4,38
46,6,5,46
47,6,6,56
48,6,7,55
49,7,1,36
50,7,2,45
51,7,3,38
52,7,4,48
53,7,5,52
54,7,6,46
55,7,7,33
56,8,1,25
57,8,2,45
58,8,3,49
59,8,4,35
60,8,5,34
61,8,6,47
62,8,7,37
63,9,1,34
64,9,2,40
65,9,3,38
66,9,4,30
67,9,5,41
68,9,6,40
69,9,7,50
70,10,1,40
71,10,2,36
72,10,3,36
73,10,4,32
74,10,5,42
75,10,6,40
76,10,7,43
77,11,1,42
78,11,2,54
79,11,3,54
80,11,4,59
81,11,5,35
82,11,6,56
83,11,7,49
84,12,1,70
85,12,2,59
86,12,3,42
87,12,4,49
88,12,5,55
89,12,6,51
90,12,7,71
91,13,1,58
92,13,2,49
93,13,3,39
94,13,4,47
95,13,5,57
96,13,6,63
97,13,7,74
98,14,1,54
99,14,2,68
100,14,3,77
101,14,4,55
102,14,5,58
103,14,6,83
104,14,7,67
105,15,1,79
106,15,2,64
107,15,3,73
108,15,4,75
109,15,5,51
110,15,6,89
111,15,7,84
112,16,1,85
113,16,2,62
114,16,3,67
115,16,4,90
116,16,5,78
117,16,6,70
118,16,7,80
119,17,1,81
120,17,2,77
121,17,3,54
122,17,4,86
123,17,5,81
124,17,6,77
125,17,7,94
126,18,1,85
127,18,2,76
128,18,3,76
129,18,4,81
130,18,5,101
131,18,6,94
132,18,7,116
133,19,1,89
134,19,2,66
135,19,3,75
136,19,4,63
137,19,5,78
138,19,6,69
139,19,7,125
140,20,1,86
141,20,2,71
142,20,3,74
143,20,4,67
144,20,5,78
145,20,6,89
146,20,7,117
147,21,1,72
148,21,2,73
149,21,3,69
150,21,4,78
151,21,5,87
152,21,6,110
153,21,7,118
154,22,1,73
155,22,2,62
156,22,3,64
157,22,4,60
158,22,5,78
159,22,6,108
160,22,7,119
161,23,1,61
162,23,2,45
163,23,3,58
164,23,4,56
165,23,5,70
166,23,6,119
167,23,7,123
168,99,1,12
169,99,2,6
170,99,3,6
171,99,4,9
172,99,5,5
173,99,6,11
174,99,7,13
