,acchr,dayofweek,size
0,0,1,11
1,0,2,8
2,0,3,5
3,0,4,8
4,0,5,9
5,0,6,10
6,0,7,13
7,1,1,6
8,1,2,3
9,1,3,6
10,1,4,3
11,1,5,4
12,1,6,7
13,1,7,7
14,2,1,14
15,2,2,5
16,2,3,2
17,2,4,5
18,2,5,4
19,2,6,12
20,2,7,9
21,3,1,11
22,3,2,3
23,3,3,2
24,3,4,6
25,3,5,6
26,3,6,14
27,3,7,9
28,4,1,12
29,4,2,3
30,4,3,3
31,4,4,3
32,4,5,6
33,4,6,10
34,4,7,7
35,5,1,7
36,5,2,11
37,5,3,12
38,5,4,17
39,5,5,13
40,5,6,10
41,5,7,9
42,6,1,4
43,6,2,28
44,6,3,32
45,6,4,22
46,6,5,23
47,6,6,18
48,6,7,4
49,7,1,8
50,7,2,18
51,7,3,22
52,7,4,20
53,7,5,29
54,7,6,20
55,7,7,9
56,8,1,10
57,8,2,12
58,8,3,18
59,8,4,17
60,8,5,15
61,8,6,16
62,8,7,16
63,9,1,12
64,9,2,16
65,9,3,16
66,9,4,14
67,9,5,12
68,9,6,24
69,9,7,19
70,10,1,22
71,10,2,15
72,10,3,21
73,10,4,18
74,10,5,17
75,10,6,27
76,10,7,19
77,11,1,13
78,11,2,31
79,11,3,23
80,11,4,34
81,11,5,22
82,11,6,30
83,11,7,27
84,12,1,40
85,12,2,27
86,12,3,28
87,12,4,19
88,12,5,29
89,12,6,24
90,12,7,37
91,13,1,34
92,13,2,16
93,13,3,27
94,13,4,26
95,13,5,32
96,13,6,36
97,13,7,24
98,14,1,21
99,14,2,25
100,14,3,43
101,14,4,30
102,14,5,27
103,14,6,40
104,14,7,32
105,15,1,30
106,15,2,19
107,15,3,30
108,15,4,34
109,15,5,31
110,15,6,28
111,15,7,33
112,16,1,25
113,16,2,24
114,16,3,28
115,16,4,43
116,16,5,32
117,16,6,23
118,16,7,32
119,17,1,28
120,17,2,31
121,17,3,35
122,17,4,29
123,17,5,26
124,17,6,39
125,17,7,24
126,18,1,15
127,18,2,27
128,18,3,30
129,18,4,22
130,18,5,26
131,18,6,31
132,18,7,37
133,19,1,11
134,19,2,23
135,19,3,15
136,19,4,8
137,19,5,10
138,19,6,16
139,19,7,14
140,20,1,13
141,20,2,18
142,20,3,18
143,20,4,18
144,20,5,11
145,20,6,19
146,20,7,17
147,21,1,18
148,21,2,19
149,21,3,10
150,21,4,8
151,21,5,25
152,21,6,26
153,21,7,14
154,22,1,10
155,22,2,13
156,22,3,5
157,22,4,12
158,22,5,11
159,22,6,24
160,22,7,18
161,23,1,3
162,23,2,10
163,23,3,9
164,23,4,12
165,23,5,6
166,23,6,12
167,23,7,16
168,99,3,1
169,99,6,1
