,acchr,dayofweek,size
0,0,1,41
1,0,2,19
2,0,3,12
3,0,4,11
4,0,5,20
5,0,6,21
6,0,7,48
7,1,1,49
8,1,2,24
9,1,3,14
10,1,4,24
11,1,5,18
12,1,6,27
13,1,7,63
14,2,1,87
15,2,2,20
16,2,3,19
17,2,4,20
18,2,5,18
19,2,6,43
20,2,7,100
21,3,1,60
22,3,2,5
23,3,3,10
24,3,4,12
25,3,5,13
26,3,6,24
27,3,7,48
28,4,1,41
29,4,2,8
30,4,3,12
31,4,4,8
32,4,5,10
33,4,6,15
34,4,7,38
35,5,1,27
36,5,2,16
37,5,3,10
38,5,4,8
39,5,5,9
40,5,6,5
41,5,7,27
42,6,1,15
43,6,2,12
44,6,3,14
45,6,4,4
46,6,5,17
47,6,6,12
48,6,7,21
49,7,1,14
50,7,2,8
51,7,3,14
52,7,4,11
53,7,5,10
54,7,6,13
55,7,7,16
56,8,1,6
57,8,2,10
58,8,3,7
59,8,4,8
60,8,5,8
61,8,6,8
62,8,7,8
63,9,1,6
64,9,2,6
65,9,3,11
66,9,4,6
67,9,5,8
68,9,6,4
69,9,7,11
70,10,1,9
71,10,2,8
72,10,3,6
73,10,4,6
74,10,5,6
75,10,6,8
76,10,7,11
77,11,1,11
78,11,2,7
79,11,3,6
80,11,4,7
81,11,5,9
82,11,6,9
83,11,7,11
84,12,1,20
85,12,2,11
86,12,3,7
87,12,4,7
88,12,5,9
89,12,6,11
90,12,7,15
91,13,1,13
92,13,2,9
93,13,3,5
94,13,4,13
95,13,5,9
96,13,6,10
97,13,7,13
98,14,1,12
99,14,2,19
100,14,3,17
101,14,4,3
102,14,5,10
103,14,6,13
104,14,7,22
105,15,1,20
106,15,2,11
107,15,3,7
108,15,4,15
109,15,5,6
110,15,6,17
111,15,7,19
112,16,1,14
113,16,2,10
114,16,3,16
115,16,4,17
116,16,5,13
117,16,6,12
118,16,7,22
119,17,1,18
120,17,2,16
121,17,3,20
122,17,4,21
123,17,5,10
124,17,6,16
125,17,7,18
126,18,1,17
127,18,2,23
128,18,3,17
129,18,4,18
130,18,5,14
131,18,6,21
132,18,7,22
133,19,1,21
134,19,2,13
135,19,3,20
136,19,4,11
137,19,5,14
138,19,6,15
139,19,7,27
140,20,1,16
141,20,2,14
142,20,3,29
143,20,4,12
144,20,5,25
145,20,6,15
146,20,7,22
147,21,1,19
148,21,2,17
149,21,3,20
150,21,4,13
151,21,5,20
152,21,6,27
153,21,7,24
154,22,1,29
155,22,2,15
156,22,3,19
157,22,4,11
158,22,5,25
159,22,6,31
160,22,7,28
161,23,1,17
162,23,2,18
163,23,3,13
164,23,4,12
165,23,5,21
166,23,6,36
167,23,7,46
168,99,1,5
169,99,2,2
170,99,3,2
171,99,4,2
172,99,5,2
173,99,6,3
174,99,7,6
