,acchr,dayofweek,size
0,0,1,29
1,0,2,12
2,0,3,11
3,0,4,15
4,0,5,18
5,0,6,17
6,0,7,37
7,1,1,29
8,1,2,6
9,1,3,11
10,1,4,6
11,1,5,9
12,1,6,13
13,1,7,29
14,2,1,23
15,2,2,6
16,2,3,7
17,2,4,6
18,2,5,11
19,2,6,10
20,2,7,17
21,3,1,12
22,3,2,8
23,3,3,7
24,3,4,7
25,3,5,8
26,3,6,11
27,3,7,13
28,4,1,11
29,4,2,12
30,4,3,8
31,4,4,2
32,4,5,14
33,4,6,16
34,4,7,8
35,5,1,8
36,5,2,13
37,5,3,14
38,5,4,17
39,5,5,18
40,5,6,13
41,5,7,13
42,6,1,8
43,6,2,30
44,6,3,35
45,6,4,29
46,6,5,20
47,6,6,30
48,6,7,16
49,7,1,18
50,7,2,28
51,7,3,28
52,7,4,30
53,7,5,27
54,7,6,22
55,7,7,15
56,8,1,21
57,8,2,28
58,8,3,31
59,8,4,21
60,8,5,29
61,8,6,29
62,8,7,18
63,9,1,19
64,9,2,30
65,9,3,30
66,9,4,15
67,9,5,29
68,9,6,31
69,9,7,31
70,10,1,24
71,10,2,23
72,10,3,31
73,10,4,30
74,10,5,37
75,10,6,41
76,10,7,29
77,11,1,28
78,11,2,38
79,11,3,36
80,11,4,44
81,11,5,28
82,11,6,41
83,11,7,34
84,12,1,53
85,12,2,43
86,12,3,34
87,12,4,33
88,12,5,41
89,12,6,38
90,12,7,62
91,13,1,53
92,13,2,29
93,13,3,35
94,13,4,43
95,13,5,46
96,13,6,54
97,13,7,53
98,14,1,43
99,14,2,45
100,14,3,47
101,14,4,47
102,14,5,54
103,14,6,52
104,14,7,53
105,15,1,48
106,15,2,45
107,15,3,44
108,15,4,50
109,15,5,37
110,15,6,53
111,15,7,50
112,16,1,44
113,16,2,59
114,16,3,43
115,16,4,54
116,16,5,47
117,16,6,52
118,16,7,52
119,17,1,36
120,17,2,40
121,17,3,40
122,17,4,57
123,17,5,43
124,17,6,47
125,17,7,59
126,18,1,41
127,18,2,31
128,18,3,47
129,18,4,30
130,18,5,43
131,18,6,43
132,18,7,72
133,19,1,46
134,19,2,32
135,19,3,28
136,19,4,25
137,19,5,35
138,19,6,36
139,19,7,50
140,20,1,29
141,20,2,24
142,20,3,22
143,20,4,34
144,20,5,23
145,20,6,37
146,20,7,46
147,21,1,34
148,21,2,26
149,21,3,23
150,21,4,25
151,21,5,30
152,21,6,46
153,21,7,50
154,22,1,22
155,22,2,21
156,22,3,20
157,22,4,34
158,22,5,20
159,22,6,33
160,22,7,43
161,23,1,11
162,23,2,19
163,23,3,24
164,23,4,15
165,23,5,12
166,23,6,37
167,23,7,24
168,99,1,2
169,99,2,6
170,99,3,2
171,99,4,5
172,99,5,4
173,99,6,6
174,99,7,4
