,acchr,dayofweek,size
0,0,1,84
1,0,2,24
2,0,3,29
3,0,4,24
4,0,5,38
5,0,6,38
6,0,7,78
7,1,1,85
8,1,2,31
9,1,3,21
10,1,4,26
11,1,5,30
12,1,6,47
13,1,7,112
14,2,1,130
15,2,2,24
16,2,3,22
17,2,4,26
18,2,5,40
19,2,6,60
20,2,7,143
21,3,1,71
22,3,2,14
23,3,3,9
24,3,4,14
25,3,5,20
26,3,6,25
27,3,7,69
28,4,1,55
29,4,2,11
30,4,3,8
31,4,4,8
32,4,5,9
33,4,6,19
34,4,7,46
35,5,1,31
36,5,2,8
37,5,3,4
38,5,4,7
39,5,5,9
40,5,6,7
41,5,7,33
42,6,1,19
43,6,2,4
44,6,3,9
45,6,4,3
46,6,5,6
47,6,6,13
48,6,7,35
49,7,1,15
50,7,2,1
51,7,3,4
52,7,4,7
53,7,5,10
54,7,6,10
55,7,7,10
56,8,1,9
57,8,2,3
58,8,3,4
59,8,4,3
60,8,5,5
61,8,6,6
62,8,7,9
63,9,1,8
64,9,2,4
65,9,3,5
66,9,4,6
67,9,5,2
68,9,6,5
69,9,7,5
70,10,1,4
71,10,2,2
72,10,3,4
73,10,4,6
74,10,6,5
75,10,7,9
76,11,1,3
77,11,2,3
78,11,3,6
79,11,4,5
80,11,5,2
81,11,6,4
82,11,7,5
83,12,1,12
84,12,2,8
85,12,3,2
86,12,4,4
87,12,5,8
88,12,6,8
89,12,7,9
90,13,1,16
91,13,2,6
92,13,3,6
93,13,4,8
94,13,5,14
95,13,6,15
96,13,7,14
97,14,1,13
98,14,2,14
99,14,3,11
100,14,4,14
101,14,5,10
102,14,6,13
103,14,7,21
104,15,1,25
105,15,2,15
106,15,3,10
107,15,4,12
108,15,5,7
109,15,6,12
110,15,7,24
111,16,1,31
112,16,2,15
113,16,3,11
114,16,4,16
115,16,5,9
116,16,6,20
117,16,7,35
118,17,1,24
119,17,2,19
120,17,3,18
121,17,4,15
122,17,5,22
123,17,6,28
124,17,7,46
125,18,1,34
126,18,2,23
127,18,3,19
128,18,4,15
129,18,5,24
130,18,6,35
131,18,7,54
132,19,1,51
133,19,2,18
134,19,3,30
135,19,4,32
136,19,5,26
137,19,6,32
138,19,7,69
139,20,1,36
140,20,2,24
141,20,3,30
142,20,4,33
143,20,5,34
144,20,6,46
145,20,7,51
146,21,1,49
147,21,2,33
148,21,3,25
149,21,4,44
150,21,5,28
151,21,6,60
152,21,7,71
153,22,1,44
154,22,2,30
155,22,3,29
156,22,4,34
157,22,5,32
158,22,6,55
159,22,7,58
160,23,1,25
161,23,2,27
162,23,3,32
163,23,4,14
164,23,5,44
165,23,6,72
166,23,7,70
167,99,1,11
168,99,2,5
169,99,3,2
170,99,4,4
171,99,5,4
172,99,6,9
173,99,7,8
