,acchr,dayofweek,size
0,0,1,120
1,0,2,46
2,0,3,48
3,0,4,49
4,0,5,64
5,0,6,61
6,0,7,132
7,1,1,131
8,1,2,58
9,1,3,39
10,1,4,48
11,1,5,50
12,1,6,68
13,1,7,154
14,2,1,173
15,2,2,41
16,2,3,34
17,2,4,38
18,2,5,55
19,2,6,100
20,2,7,186
21,3,1,115
22,3,2,29
23,3,3,26
24,3,4,27
25,3,5,34
26,3,6,53
27,3,7,103
28,4,1,81
29,4,2,30
30,4,3,31
31,4,4,19
32,4,5,31
33,4,6,51
34,4,7,76
35,5,1,54
36,5,2,43
37,5,3,28
38,5,4,43
39,5,5,39
40,5,6,37
41,5,7,62
42,6,1,34
43,6,2,58
44,6,3,78
45,6,4,54
46,6,5,57
47,6,6,61
48,6,7,65
49,7,1,45
50,7,2,51
51,7,3,54
52,7,4,57
53,7,5,66
54,7,6,54
55,7,7,42
56,8,1,36
57,8,2,56
58,8,3,51
59,8,4,44
60,8,5,50
61,8,6,58
62,8,7,40
63,9,1,42
64,9,2,50
65,9,3,51
66,9,4,33
67,9,5,46
68,9,6,51
69,9,7,54
70,10,1,45
71,10,2,42
72,10,3,46
73,10,4,48
74,10,5,58
75,10,6,67
76,10,7,61
77,11,1,53
78,11,2,66
79,11,3,60
80,11,4,76
81,11,5,47
82,11,6,64
83,11,7,67
84,12,1,105
85,12,2,73
86,12,3,53
87,12,4,56
88,12,5,76
89,12,6,73
90,12,7,100
91,13,1,94
92,13,2,54
93,13,3,59
94,13,4,78
95,13,5,85
96,13,6,85
97,13,7,100
98,14,1,77
99,14,2,93
100,14,3,94
101,14,4,74
102,14,5,87
103,14,6,88
104,14,7,108
105,15,1,97
106,15,2,74
107,15,3,79
108,15,4,97
109,15,5,69
110,15,6,99
111,15,7,99
112,16,1,107
113,16,2,82
114,16,3,88
115,16,4,108
116,16,5,86
117,16,6,85
118,16,7,105
119,17,1,90
120,17,2,82
121,17,3,87
122,17,4,105
123,17,5,92
124,17,6,101
125,17,7,121
126,18,1,95
127,18,2,86
128,18,3,86
129,18,4,75
130,18,5,89
131,18,6,98
132,18,7,141
133,19,1,96
134,19,2,68
135,19,3,71
136,19,4,62
137,19,5,68
138,19,6,76
139,19,7,123
140,20,1,77
141,20,2,65
142,20,3,79
143,20,4,77
144,20,5,74
145,20,6,94
146,20,7,104
147,21,1,92
148,21,2,80
149,21,3,69
150,21,4,72
151,21,5,81
152,21,6,113
153,21,7,123
154,22,1,78
155,22,2,60
156,22,3,54
157,22,4,69
158,22,5,73
159,22,6,106
160,22,7,106
161,23,1,58
162,23,2,53
163,23,3,59
164,23,4,42
165,23,5,65
166,23,6,114
167,23,7,112
168,99,1,14
169,99,2,11
170,99,3,9
171,99,4,11
172,99,5,6
173,99,6,15
174,99,7,15
