,acchr,dayofweek,size
0,0,1,15
1,0,2,8
2,0,3,9
3,0,4,9
4,0,5,4
5,0,6,7
6,0,7,12
7,1,1,11
8,1,2,9
9,1,3,2
10,1,4,6
11,1,5,2
12,1,6,5
13,1,7,17
14,2,1,17
15,2,2,8
16,2,3,4
17,2,4,3
18,2,5,4
19,2,6,4
20,2,7,10
21,3,1,15
22,3,2,2
23,3,3,1
24,3,4,7
25,3,5,3
26,3,6,4
27,3,7,9
28,4,1,6
29,4,2,5
30,4,3,3
31,4,4,3
32,4,5,2
33,4,6,11
34,4,7,12
35,5,1,7
36,5,2,8
37,5,3,7
38,5,4,5
39,5,5,5
40,5,6,7
41,5,7,13
42,6,1,9
43,6,2,15
44,6,3,13
45,6,4,8
46,6,5,22
47,6,6,17
48,6,7,8
49,7,1,8
50,7,2,17
51,7,3,12
52,7,4,19
53,7,5,26
54,7,6,19
55,7,7,7
56,8,1,17
57,8,2,27
58,8,3,18
59,8,4,20
60,8,5,19
61,8,6,31
62,8,7,15
63,9,1,25
64,9,2,12
65,9,3,18
66,9,4,19
67,9,5,14
68,9,6,18
69,9,7,15
70,10,1,26
71,10,2,18
72,10,3,14
73,10,4,20
74,10,5,17
75,10,6,32
76,10,7,22
77,11,1,20
78,11,2,24
79,11,3,32
80,11,4,26
81,11,5,17
82,11,6,28
83,11,7,28
84,12,1,23
85,12,2,27
86,12,3,24
87,12,4,24
88,12,5,27
89,12,6,22
90,12,7,29
91,13,1,19
92,13,2,31
93,13,3,30
94,13,4,25
95,13,5,40
96,13,6,37
97,13,7,26
98,14,1,29
99,14,2,40
100,14,3,17
101,14,4,21
102,14,5,30
103,14,6,28
104,14,7,26
105,15,1,22
106,15,2,33
107,15,3,42
108,15,4,25
109,15,5,23
110,15,6,31
111,15,7,23
112,16,1,38
113,16,2,42
114,16,3,21
115,16,4,39
116,16,5,40
117,16,6,29
118,16,7,33
119,17,1,17
120,17,2,23
121,17,3,24
122,17,4,21
123,17,5,31
124,17,6,33
125,17,7,20
126,18,1,20
127,18,2,24
128,18,3,27
129,18,4,31
130,18,5,36
131,18,6,30
132,18,7,41
133,19,1,17
134,19,2,18
135,19,3,25
136,19,4,13
137,19,5,22
138,19,6,28
139,19,7,20
140,20,1,21
141,20,2,25
142,20,3,21
143,20,4,17
144,20,5,28
145,20,6,19
146,20,7,23
147,21,1,12
148,21,2,21
149,21,3,11
150,21,4,20
151,21,5,21
152,21,6,22
153,21,7,16
154,22,1,7
155,22,2,16
156,22,3,7
157,22,4,6
158,22,5,11
159,22,6,22
160,22,7,26
161,23,1,3
162,23,2,9
163,23,3,6
164,23,4,7
165,23,5,12
166,23,6,15
167,23,7,21
168,99,1,1
169,99,3,1
170,99,4,1
171,99,7,3
