,acchr,dayofweek,size
0,0,1,76
1,0,2,22
2,0,3,15
3,0,4,23
4,0,5,32
5,0,6,35
6,0,7,61
7,1,1,103
8,1,2,28
9,1,3,13
10,1,4,24
11,1,5,27
12,1,6,54
13,1,7,102
14,2,1,136
15,2,2,31
16,2,3,27
17,2,4,26
18,2,5,35
19,2,6,51
20,2,7,149
21,3,1,97
22,3,2,15
23,3,3,14
24,3,4,17
25,3,5,25
26,3,6,28
27,3,7,75
28,4,1,74
29,4,2,14
30,4,3,7
31,4,4,10
32,4,5,9
33,4,6,20
34,4,7,52
35,5,1,43
36,5,2,12
37,5,3,7
38,5,4,7
39,5,5,5
40,5,6,9
41,5,7,38
42,6,1,27
43,6,2,5
44,6,3,4
45,6,4,5
46,6,5,1
47,6,6,14
48,6,7,30
49,7,1,16
50,7,2,2
51,7,3,2
52,7,4,2
53,7,5,2
54,7,6,10
55,7,7,16
56,8,1,7
57,8,2,2
58,8,3,5
59,8,4,3
60,8,5,1
61,8,7,8
62,9,1,2
63,9,2,3
64,9,3,1
65,9,4,3
66,9,5,3
67,9,6,3
68,9,7,2
69,10,1,1
70,10,2,1
71,10,3,4
72,10,4,1
73,10,6,2
74,10,7,6
75,11,1,3
76,11,2,2
77,11,4,2
78,11,5,1
79,11,6,1
80,11,7,2
81,12,1,4
82,12,2,3
83,12,3,1
84,12,5,1
85,12,6,1
86,12,7,4
87,13,1,3
88,13,2,4
89,13,3,2
90,13,4,3
91,13,5,1
92,13,6,1
93,13,7,2
94,14,1,1
95,14,2,4
96,14,3,1
97,14,4,2
98,14,5,4
99,14,6,3
100,14,7,3
101,15,1,10
102,15,2,3
103,15,3,3
104,15,4,2
105,15,5,2
106,15,6,6
107,15,7,6
108,16,1,12
109,16,2,3
110,16,3,3
111,16,4,7
112,16,5,2
113,16,6,3
114,16,7,11
115,17,1,5
116,17,2,8
117,17,3,10
118,17,4,7
119,17,5,6
120,17,6,7
121,17,7,14
122,18,1,13
123,18,2,8
124,18,3,7
125,18,4,6
126,18,5,10
127,18,6,12
128,18,7,12
129,19,1,17
130,19,2,10
131,19,3,13
132,19,4,11
133,19,5,13
134,19,6,12
135,19,7,20
136,20,1,15
137,20,2,12
138,20,3,15
139,20,4,14
140,20,5,19
141,20,6,17
142,20,7,24
143,21,1,21
144,21,2,21
145,21,3,14
146,21,4,19
147,21,5,14
148,21,6,27
149,21,7,34
150,22,1,23
151,22,2,21
152,22,3,19
153,22,4,18
154,22,5,18
155,22,6,32
156,22,7,34
157,23,1,24
158,23,2,20
159,23,3,22
160,23,4,18
161,23,5,31
162,23,6,50
163,23,7,57
164,99,1,9
165,99,2,3
166,99,3,2
167,99,4,2
168,99,5,2
169,99,6,4
170,99,7,10
