,acchr,dayofweek,size
0,0,1,60
1,0,2,18
2,0,3,11
3,0,4,16
4,0,5,25
5,0,6,29
6,0,7,48
7,1,1,87
8,1,2,23
9,1,3,10
10,1,4,21
11,1,5,20
12,1,6,38
13,1,7,83
14,2,1,119
15,2,2,22
16,2,3,22
17,2,4,24
18,2,5,27
19,2,6,40
20,2,7,130
21,3,1,82
22,3,2,9
23,3,3,11
24,3,4,12
25,3,5,21
26,3,6,22
27,3,7,53
28,4,1,63
29,4,2,11
30,4,3,5
31,4,4,6
32,4,5,6
33,4,6,17
34,4,7,46
35,5,1,36
36,5,2,9
37,5,3,5
38,5,4,2
39,5,5,4
40,5,6,6
41,5,7,33
42,6,1,20
43,6,2,4
44,6,3,4
45,6,4,3
46,6,5,1
47,6,6,12
48,6,7,25
49,7,1,10
50,7,2,1
51,7,3,2
52,7,4,2
53,7,5,2
54,7,6,8
55,7,7,11
56,8,1,6
57,8,2,2
58,8,3,4
59,8,4,1
60,8,5,1
61,8,7,8
62,9,1,2
63,9,2,2
64,9,3,1
65,9,4,2
66,9,5,3
67,9,6,2
68,9,7,2
69,10,1,1
70,10,2,1
71,10,3,3
72,10,4,1
73,10,6,1
74,10,7,5
75,11,1,3
76,11,2,1
77,11,4,2
78,11,5,1
79,11,6,1
80,11,7,2
81,12,1,4
82,12,2,3
83,12,3,1
84,12,5,1
85,12,6,1
86,12,7,3
87,13,1,3
88,13,2,4
89,13,3,2
90,13,4,3
91,13,5,1
92,13,6,1
93,13,7,2
94,14,1,1
95,14,2,3
96,14,3,1
97,14,4,2
98,14,5,1
99,14,6,1
100,14,7,3
101,15,1,9
102,15,2,2
103,15,3,2
104,15,4,2
105,15,5,2
106,15,6,3
107,15,7,3
108,16,1,12
109,16,2,2
110,16,3,1
111,16,4,6
112,16,5,1
113,16,6,2
114,16,7,10
115,17,1,4
116,17,2,8
117,17,3,7
118,17,4,6
119,17,5,4
120,17,6,6
121,17,7,11
122,18,1,9
123,18,2,7
124,18,3,6
125,18,4,6
126,18,5,8
127,18,6,12
128,18,7,12
129,19,1,13
130,19,2,5
131,19,3,11
132,19,4,9
133,19,5,13
134,19,6,8
135,19,7,17
136,20,1,11
137,20,2,8
138,20,3,13
139,20,4,13
140,20,5,15
141,20,6,14
142,20,7,17
143,21,1,21
144,21,2,15
145,21,3,13
146,21,4,12
147,21,5,10
148,21,6,24
149,21,7,31
150,22,1,19
151,22,2,16
152,22,3,16
153,22,4,12
154,22,5,13
155,22,6,24
156,22,7,31
157,23,1,22
158,23,2,15
159,23,3,17
160,23,4,11
161,23,5,25
162,23,6,36
163,23,7,48
164,99,1,8
165,99,2,3
166,99,3,1
167,99,4,2
168,99,5,2
169,99,6,3
170,99,7,9
