,acchr,dayofweek,size
0,0,1,15
1,0,2,9
2,0,3,5
3,0,4,8
4,0,5,9
5,0,6,13
6,0,7,11
7,1,1,13
8,1,2,4
9,1,3,7
10,1,4,4
11,1,5,6
12,1,6,8
13,1,7,12
14,2,1,8
15,2,2,6
16,2,3,6
17,2,4,4
18,2,5,3
19,2,6,7
20,2,7,7
21,3,1,11
22,3,2,5
23,3,3,6
24,3,4,6
25,3,5,7
26,3,6,11
27,3,7,11
28,4,1,13
29,4,2,9
30,4,3,6
31,4,4,8
32,4,5,12
33,4,6,10
34,4,7,15
35,5,1,10
36,5,2,20
37,5,3,22
38,5,4,14
39,5,5,23
40,5,6,19
41,5,7,27
42,6,1,10
43,6,2,39
44,6,3,32
45,6,4,33
46,6,5,34
47,6,6,32
48,6,7,15
49,7,1,18
50,7,2,31
51,7,3,30
52,7,4,40
53,7,5,33
54,7,6,30
55,7,7,18
56,8,1,22
57,8,2,35
58,8,3,29
59,8,4,28
60,8,5,37
61,8,6,45
62,8,7,27
63,9,1,33
64,9,2,33
65,9,3,29
66,9,4,33
67,9,5,31
68,9,6,45
69,9,7,38
70,10,1,39
71,10,2,34
72,10,3,35
73,10,4,41
74,10,5,39
75,10,6,45
76,10,7,38
77,11,1,32
78,11,2,58
79,11,3,48
80,11,4,66
81,11,5,45
82,11,6,54
83,11,7,41
84,12,1,59
85,12,2,54
86,12,3,38
87,12,4,41
88,12,5,54
89,12,6,41
90,12,7,66
91,13,1,41
92,13,2,40
93,13,3,46
94,13,4,41
95,13,5,65
96,13,6,66
97,13,7,42
98,14,1,44
99,14,2,55
100,14,3,48
101,14,4,47
102,14,5,53
103,14,6,52
104,14,7,48
105,15,1,41
106,15,2,45
107,15,3,52
108,15,4,45
109,15,5,40
110,15,6,55
111,15,7,48
112,16,1,49
113,16,2,54
114,16,3,41
115,16,4,66
116,16,5,57
117,16,6,49
118,16,7,53
119,17,1,31
120,17,2,38
121,17,3,44
122,17,4,48
123,17,5,44
124,17,6,51
125,17,7,44
126,18,1,36
127,18,2,31
128,18,3,43
129,18,4,39
130,18,5,47
131,18,6,46
132,18,7,58
133,19,1,27
134,19,2,46
135,19,3,30
136,19,4,16
137,19,5,27
138,19,6,32
139,19,7,37
140,20,1,23
141,20,2,28
142,20,3,26
143,20,4,23
144,20,5,30
145,20,6,27
146,20,7,35
147,21,1,21
148,21,2,28
149,21,3,20
150,21,4,24
151,21,5,27
152,21,6,32
153,21,7,27
154,22,1,9
155,22,2,16
156,22,3,7
157,22,4,14
158,22,5,13
159,22,6,28
160,22,7,36
161,23,1,6
162,23,2,10
163,23,3,17
164,23,4,13
165,23,5,10
166,23,6,17
167,23,7,15
168,99,1,1
169,99,3,3
170,99,4,3
171,99,5,1
172,99,6,2
