,acchr,dayofweek,size
0,0,1,20
1,0,2,10
2,0,3,6
3,0,4,9
4,0,5,10
5,0,6,16
6,0,7,8
7,1,1,16
8,1,2,5
9,1,3,7
10,1,4,6
11,1,5,8
12,1,6,9
13,1,7,13
14,2,1,10
15,2,2,5
16,2,3,7
17,2,4,7
18,2,5,3
19,2,6,9
20,2,7,12
21,3,1,12
22,3,2,4
23,3,3,7
24,3,4,10
25,3,5,8
26,3,6,11
27,3,7,12
28,4,1,13
29,4,2,12
30,4,3,9
31,4,4,13
32,4,5,15
33,4,6,13
34,4,7,11
35,5,1,10
36,5,2,27
37,5,3,35
38,5,4,19
39,5,5,27
40,5,6,32
41,5,7,21
42,6,1,16
43,6,2,53
44,6,3,52
45,6,4,49
46,6,5,52
47,6,6,46
48,6,7,25
49,7,1,18
50,7,2,46
51,7,3,42
52,7,4,48
53,7,5,40
54,7,6,44
55,7,7,27
56,8,1,25
57,8,2,44
58,8,3,30
59,8,4,32
60,8,5,53
61,8,6,44
62,8,7,30
63,9,1,32
64,9,2,47
65,9,3,45
66,9,4,43
67,9,5,40
68,9,6,50
69,9,7,44
70,10,1,40
71,10,2,42
72,10,3,45
73,10,4,53
74,10,5,43
75,10,6,49
76,10,7,49
77,11,1,32
78,11,2,66
79,11,3,64
80,11,4,67
81,11,5,51
82,11,6,56
83,11,7,51
84,12,1,64
85,12,2,61
86,12,3,46
87,12,4,46
88,12,5,58
89,12,6,44
90,12,7,70
91,13,1,49
92,13,2,53
93,13,3,54
94,13,4,55
95,13,5,60
96,13,6,70
97,13,7,50
98,14,1,46
99,14,2,61
100,14,3,48
101,14,4,62
102,14,5,59
103,14,6,64
104,14,7,55
105,15,1,40
106,15,2,55
107,15,3,63
108,15,4,57
109,15,5,51
110,15,6,64
111,15,7,53
112,16,1,43
113,16,2,66
114,16,3,53
115,16,4,71
116,16,5,57
117,16,6,58
118,16,7,56
119,17,1,37
120,17,2,46
121,17,3,60
122,17,4,59
123,17,5,63
124,17,6,59
125,17,7,52
126,18,1,42
127,18,2,37
128,18,3,57
129,18,4,45
130,18,5,48
131,18,6,51
132,18,7,58
133,19,1,24
134,19,2,50
135,19,3,37
136,19,4,21
137,19,5,30
138,19,6,43
139,19,7,46
140,20,1,35
141,20,2,38
142,20,3,31
143,20,4,31
144,20,5,30
145,20,6,34
146,20,7,45
147,21,1,23
148,21,2,31
149,21,3,25
150,21,4,31
151,21,5,31
152,21,6,34
153,21,7,37
154,22,1,10
155,22,2,15
156,22,3,10
157,22,4,16
158,22,5,20
159,22,6,29
160,22,7,34
161,23,1,8
162,23,2,10
163,23,3,19
164,23,4,11
165,23,5,12
166,23,6,14
167,23,7,19
168,99,1,2
169,99,2,1
170,99,3,4
171,99,4,4
172,99,5,1
173,99,6,5
