,acchr,dayofweek,size
0,0,1,13
1,0,2,5
2,0,3,4
3,0,4,7
4,0,5,9
5,0,6,7
6,0,7,10
7,1,1,10
8,1,2,4
9,1,3,8
10,1,4,6
11,1,5,6
12,1,6,7
13,1,7,7
14,2,1,12
15,2,2,4
16,2,3,3
17,2,4,5
18,2,5,1
19,2,6,8
20,2,7,8
21,3,1,10
22,3,2,4
23,3,3,6
24,3,4,7
25,3,5,8
26,3,6,9
27,3,7,9
28,4,1,8
29,4,2,11
30,4,3,7
31,4,4,7
32,4,5,11
33,4,6,11
34,4,7,8
35,5,1,7
36,5,2,18
37,5,3,22
38,5,4,15
39,5,5,18
40,5,6,22
41,5,7,14
42,6,1,7
43,6,2,39
44,6,3,38
45,6,4,36
46,6,5,35
47,6,6,34
48,6,7,21
49,7,1,15
50,7,2,35
51,7,3,35
52,7,4,40
53,7,5,29
54,7,6,34
55,7,7,22
56,8,1,21
57,8,2,38
58,8,3,24
59,8,4,27
60,8,5,42
61,8,6,42
62,8,7,27
63,9,1,28
64,9,2,40
65,9,3,32
66,9,4,32
67,9,5,32
68,9,6,43
69,9,7,32
70,10,1,35
71,10,2,37
72,10,3,40
73,10,4,43
74,10,5,39
75,10,6,46
76,10,7,43
77,11,1,29
78,11,2,63
79,11,3,55
80,11,4,65
81,11,5,43
82,11,6,48
83,11,7,41
84,12,1,60
85,12,2,54
86,12,3,43
87,12,4,38
88,12,5,54
89,12,6,46
90,12,7,56
91,13,1,47
92,13,2,45
93,13,3,53
94,13,4,51
95,13,5,61
96,13,6,75
97,13,7,50
98,14,1,39
99,14,2,56
100,14,3,47
101,14,4,56
102,14,5,55
103,14,6,58
104,14,7,53
105,15,1,38
106,15,2,50
107,15,3,59
108,15,4,50
109,15,5,44
110,15,6,53
111,15,7,50
112,16,1,40
113,16,2,52
114,16,3,55
115,16,4,64
116,16,5,63
117,16,6,45
118,16,7,46
119,17,1,32
120,17,2,36
121,17,3,52
122,17,4,45
123,17,5,46
124,17,6,51
125,17,7,43
126,18,1,31
127,18,2,22
128,18,3,39
129,18,4,26
130,18,5,32
131,18,6,36
132,18,7,49
133,19,1,22
134,19,2,36
135,19,3,21
136,19,4,9
137,19,5,22
138,19,6,27
139,19,7,27
140,20,1,25
141,20,2,22
142,20,3,17
143,20,4,20
144,20,5,14
145,20,6,20
146,20,7,24
147,21,1,16
148,21,2,21
149,21,3,21
150,21,4,17
151,21,5,20
152,21,6,23
153,21,7,20
154,22,1,5
155,22,2,15
156,22,3,7
157,22,4,11
158,22,5,12
159,22,6,24
160,22,7,23
161,23,1,5
162,23,2,7
163,23,3,12
164,23,4,9
165,23,5,8
166,23,6,11
167,23,7,10
168,99,1,2
169,99,3,3
170,99,4,3
171,99,5,1
172,99,6,5
