,acchr,dayofweek,size
0,0,1,27
1,0,2,7
2,0,3,8
3,0,4,5
4,0,5,10
5,0,6,18
6,0,7,21
7,1,1,16
8,1,2,6
9,1,3,3
10,1,4,4
11,1,5,6
12,1,6,7
13,1,7,16
14,2,1,12
15,2,2,4
16,2,3,4
17,2,4,3
18,2,5,7
19,2,6,6
20,2,7,11
21,3,1,15
22,3,2,11
23,3,3,6
24,3,4,5
25,3,5,5
26,3,6,8
27,3,7,12
28,4,1,12
29,4,2,6
30,4,3,5
31,4,4,4
32,4,5,13
33,4,6,6
34,4,7,10
35,5,1,12
36,5,2,9
37,5,3,17
38,5,4,20
39,5,5,24
40,5,6,11
41,5,7,13
42,6,1,9
43,6,2,27
44,6,3,39
45,6,4,37
46,6,5,30
47,6,6,34
48,6,7,15
49,7,1,15
50,7,2,38
51,7,3,30
52,7,4,33
53,7,5,33
54,7,6,29
55,7,7,25
56,8,1,22
57,8,2,26
58,8,3,23
59,8,4,23
60,8,5,35
61,8,6,35
62,8,7,24
63,9,1,28
64,9,2,31
65,9,3,28
66,9,4,23
67,9,5,33
68,9,6,41
69,9,7,28
70,10,1,34
71,10,2,26
72,10,3,26
73,10,4,49
74,10,5,41
75,10,6,39
76,10,7,39
77,11,1,24
78,11,2,52
79,11,3,43
80,11,4,43
81,11,5,31
82,11,6,42
83,11,7,53
84,12,1,41
85,12,2,43
86,12,3,44
87,12,4,28
88,12,5,45
89,12,6,43
90,12,7,60
91,13,1,51
92,13,2,43
93,13,3,46
94,13,4,51
95,13,5,55
96,13,6,57
97,13,7,49
98,14,1,48
99,14,2,47
100,14,3,35
101,14,4,40
102,14,5,59
103,14,6,38
104,14,7,57
105,15,1,37
106,15,2,47
107,15,3,53
108,15,4,50
109,15,5,46
110,15,6,52
111,15,7,40
112,16,1,46
113,16,2,40
114,16,3,44
115,16,4,68
116,16,5,59
117,16,6,56
118,16,7,49
119,17,1,43
120,17,2,40
121,17,3,61
122,17,4,55
123,17,5,47
124,17,6,43
125,17,7,46
126,18,1,29
127,18,2,28
128,18,3,46
129,18,4,25
130,18,5,33
131,18,6,44
132,18,7,53
133,19,1,30
134,19,2,46
135,19,3,41
136,19,4,24
137,19,5,43
138,19,6,39
139,19,7,49
140,20,1,40
141,20,2,27
142,20,3,35
143,20,4,30
144,20,5,27
145,20,6,38
146,20,7,50
147,21,1,32
148,21,2,23
149,21,3,22
150,21,4,26
151,21,5,36
152,21,6,41
153,21,7,46
154,22,1,10
155,22,2,21
156,22,3,17
157,22,4,18
158,22,5,23
159,22,6,37
160,22,7,42
161,23,1,8
162,23,2,11
163,23,3,18
164,23,4,11
165,23,5,12
166,23,6,27
167,23,7,23
168,99,1,4
169,99,2,2
170,99,3,3
171,99,4,1
172,99,5,2
173,99,6,1
174,99,7,4
