,acchr,dayofweek,size
0,0,1,15
1,0,2,2
2,0,3,9
3,0,4,4
4,0,5,4
5,0,6,17
6,0,7,14
7,1,1,10
8,1,2,6
9,1,4,3
10,1,5,3
11,1,6,7
12,1,7,12
13,2,1,11
14,2,2,5
15,2,3,4
16,2,4,1
17,2,5,3
18,2,6,6
19,2,7,8
20,3,1,13
21,3,2,4
22,3,3,3
23,3,4,7
24,3,5,4
25,3,6,3
26,3,7,12
27,4,1,8
28,4,2,2
29,4,3,5
30,4,4,6
31,4,5,6
32,4,6,3
33,4,7,12
34,5,1,12
35,5,2,8
36,5,3,10
37,5,4,8
38,5,5,9
39,5,6,16
40,5,7,11
41,6,1,10
42,6,2,22
43,6,3,26
44,6,4,22
45,6,5,26
46,6,6,25
47,6,7,15
48,7,1,13
49,7,2,24
50,7,3,27
51,7,4,23
52,7,5,24
53,7,6,24
54,7,7,12
55,8,1,20
56,8,2,31
57,8,3,22
58,8,4,32
59,8,5,31
60,8,6,36
61,8,7,28
62,9,1,28
63,9,2,34
64,9,3,30
65,9,4,25
66,9,5,29
67,9,6,37
68,9,7,21
69,10,1,31
70,10,2,32
71,10,3,35
72,10,4,43
73,10,5,36
74,10,6,31
75,10,7,43
76,11,1,28
77,11,2,40
78,11,3,51
79,11,4,37
80,11,5,34
81,11,6,42
82,11,7,51
83,12,1,47
84,12,2,42
85,12,3,46
86,12,4,43
87,12,5,42
88,12,6,57
89,12,7,49
90,13,1,41
91,13,2,45
92,13,3,43
93,13,4,43
94,13,5,56
95,13,6,61
96,13,7,46
97,14,1,41
98,14,2,56
99,14,3,34
100,14,4,32
101,14,5,42
102,14,6,42
103,14,7,55
104,15,1,30
105,15,2,49
106,15,3,65
107,15,4,45
108,15,5,37
109,15,6,42
110,15,7,37
111,16,1,49
112,16,2,37
113,16,3,43
114,16,4,45
115,16,5,48
116,16,6,52
117,16,7,47
118,17,1,45
119,17,2,42
120,17,3,48
121,17,4,40
122,17,5,52
123,17,6,49
124,17,7,48
125,18,1,27
126,18,2,30
127,18,3,27
128,18,4,33
129,18,5,41
130,18,6,45
131,18,7,46
132,19,1,25
133,19,2,23
134,19,3,28
135,19,4,18
136,19,5,37
137,19,6,29
138,19,7,37
139,20,1,33
140,20,2,21
141,20,3,20
142,20,4,24
143,20,5,29
144,20,6,34
145,20,7,48
146,21,1,21
147,21,2,29
148,21,3,17
149,21,4,17
150,21,5,22
151,21,6,28
152,21,7,29
153,22,1,12
154,22,2,20
155,22,3,7
156,22,4,12
157,22,5,12
158,22,6,19
159,22,7,30
160,23,1,9
161,23,2,10
162,23,3,7
163,23,4,7
164,23,5,10
165,23,6,18
166,23,7,21
167,99,1,5
168,99,2,2
169,99,3,2
170,99,5,1
171,99,6,1
172,99,7,4
