,acchr,dayofweek,size
0,0,1,69
1,0,2,33
2,0,3,32
3,0,4,33
4,0,5,32
5,0,6,65
6,0,7,74
7,1,1,72
8,1,2,23
9,1,3,19
10,1,4,15
11,1,5,26
12,1,6,39
13,1,7,73
14,2,1,50
15,2,2,18
16,2,3,18
17,2,4,15
18,2,5,21
19,2,6,34
20,2,7,52
21,3,1,42
22,3,2,20
23,3,3,21
24,3,4,23
25,3,5,22
26,3,6,21
27,3,7,45
28,4,1,37
29,4,2,20
30,4,3,22
31,4,4,20
32,4,5,32
33,4,6,32
34,4,7,33
35,5,1,37
36,5,2,36
37,5,3,51
38,5,4,46
39,5,5,54
40,5,6,47
41,5,7,51
42,6,1,33
43,6,2,77
44,6,3,99
45,6,4,82
46,6,5,82
47,6,6,87
48,6,7,53
49,7,1,44
50,7,2,90
51,7,3,78
52,7,4,97
53,7,5,75
54,7,6,71
55,7,7,46
56,8,1,51
57,8,2,83
58,8,3,70
59,8,4,74
60,8,5,91
61,8,6,92
62,8,7,65
63,9,1,66
64,9,2,88
65,9,3,82
66,9,4,69
67,9,5,77
68,9,6,100
69,9,7,74
70,10,1,71
71,10,2,80
72,10,3,88
73,10,4,114
74,10,5,100
75,10,6,87
76,10,7,92
77,11,1,76
78,11,2,117
79,11,3,118
80,11,4,120
81,11,5,92
82,11,6,116
83,11,7,115
84,12,1,135
85,12,2,115
86,12,3,111
87,12,4,101
88,12,5,124
89,12,6,124
90,12,7,135
91,13,1,118
92,13,2,111
93,13,3,117
94,13,4,114
95,13,5,142
96,13,6,159
97,13,7,139
98,14,1,113
99,14,2,129
100,14,3,123
101,14,4,116
102,14,5,135
103,14,6,129
104,14,7,135
105,15,1,119
106,15,2,126
107,15,3,158
108,15,4,128
109,15,5,105
110,15,6,142
111,15,7,114
112,16,1,118
113,16,2,126
114,16,3,121
115,16,4,152
116,16,5,139
117,16,6,135
118,16,7,130
119,17,1,121
120,17,2,120
121,17,3,133
122,17,4,144
123,17,5,142
124,17,6,134
125,17,7,156
126,18,1,106
127,18,2,99
128,18,3,116
129,18,4,110
130,18,5,118
131,18,6,138
132,18,7,168
133,19,1,105
134,19,2,108
135,19,3,92
136,19,4,77
137,19,5,126
138,19,6,108
139,19,7,148
140,20,1,106
141,20,2,94
142,20,3,91
143,20,4,93
144,20,5,99
145,20,6,118
146,20,7,159
147,21,1,92
148,21,2,87
149,21,3,72
150,21,4,90
151,21,5,103
152,21,6,119
153,21,7,135
154,22,1,55
155,22,2,69
156,22,3,60
157,22,4,62
158,22,5,77
159,22,6,103
160,22,7,129
161,23,1,35
162,23,2,42
163,23,3,53
164,23,4,45
165,23,5,52
166,23,6,98
167,23,7,80
168,99,1,11
169,99,2,14
170,99,3,5
171,99,4,10
172,99,5,11
173,99,6,14
174,99,7,13
