,acchr,dayofweek,size
0,0,1,47
1,0,2,32
2,0,3,25
3,0,4,25
4,0,5,26
5,0,6,33
6,0,7,50
7,1,1,46
8,1,2,31
9,1,3,19
10,1,4,27
11,1,5,21
12,1,6,26
13,1,7,45
14,2,1,39
15,2,2,23
16,2,3,16
17,2,4,15
18,2,5,18
19,2,6,29
20,2,7,41
21,3,1,35
22,3,2,12
23,3,3,16
24,3,4,18
25,3,5,15
26,3,6,36
27,3,7,39
28,4,1,31
29,4,2,27
30,4,3,25
31,4,4,21
32,4,5,23
33,4,6,36
34,4,7,36
35,5,1,25
36,5,2,56
37,5,3,56
38,5,4,52
39,5,5,49
40,5,6,58
41,5,7,41
42,6,1,36
43,6,2,91
44,6,3,90
45,6,4,90
46,6,5,94
47,6,6,84
48,6,7,42
49,7,1,41
50,7,2,87
51,7,3,79
52,7,4,93
53,7,5,89
54,7,6,87
55,7,7,58
56,8,1,48
57,8,2,83
58,8,3,60
59,8,4,70
60,8,5,84
61,8,6,77
62,8,7,55
63,9,1,59
64,9,2,72
65,9,3,78
66,9,4,63
67,9,5,63
68,9,6,79
69,9,7,68
70,10,1,65
71,10,2,70
72,10,3,67
73,10,4,73
74,10,5,69
75,10,6,84
76,10,7,76
77,11,1,54
78,11,2,99
79,11,3,98
80,11,4,104
81,11,5,73
82,11,6,79
83,11,7,89
84,12,1,98
85,12,2,96
86,12,3,79
87,12,4,75
88,12,5,95
89,12,6,73
90,12,7,109
91,13,1,95
92,13,2,82
93,13,3,88
94,13,4,94
95,13,5,94
96,13,6,102
97,13,7,98
98,14,1,78
99,14,2,114
100,14,3,106
101,14,4,97
102,14,5,97
103,14,6,105
104,14,7,105
105,15,1,87
106,15,2,102
107,15,3,109
108,15,4,103
109,15,5,89
110,15,6,109
111,15,7,95
112,16,1,94
113,16,2,112
114,16,3,99
115,16,4,130
116,16,5,105
117,16,6,97
118,16,7,96
119,17,1,83
120,17,2,103
121,17,3,109
122,17,4,103
123,17,5,115
124,17,6,108
125,17,7,95
126,18,1,79
127,18,2,93
128,18,3,102
129,18,4,106
130,18,5,101
131,18,6,91
132,18,7,100
133,19,1,68
134,19,2,88
135,19,3,73
136,19,4,54
137,19,5,68
138,19,6,91
139,19,7,83
140,20,1,78
141,20,2,84
142,20,3,74
143,20,4,69
144,20,5,68
145,20,6,76
146,20,7,85
147,21,1,56
148,21,2,72
149,21,3,54
150,21,4,60
151,21,5,74
152,21,6,83
153,21,7,77
154,22,1,41
155,22,2,39
156,22,3,39
157,22,4,41
158,22,5,54
159,22,6,80
160,22,7,73
161,23,1,24
162,23,2,37
163,23,3,39
164,23,4,30
165,23,5,35
166,23,6,52
167,23,7,62
168,99,1,6
169,99,2,4
170,99,3,10
171,99,4,8
172,99,5,1
173,99,6,10
174,99,7,5
