,acchr,dayofweek,size
0,0,1,104
1,0,2,28
2,0,3,39
3,0,4,38
4,0,5,50
5,0,6,58
6,0,7,109
7,1,1,141
8,1,2,45
9,1,3,19
10,1,4,37
11,1,5,36
12,1,6,73
13,1,7,142
14,2,1,162
15,2,2,43
16,2,3,25
17,2,4,30
18,2,5,50
19,2,6,75
20,2,7,195
21,3,1,104
22,3,2,21
23,3,3,14
24,3,4,13
25,3,5,32
26,3,6,36
27,3,7,99
28,4,1,80
29,4,2,13
30,4,3,11
31,4,4,13
32,4,5,13
33,4,6,28
34,4,7,65
35,5,1,46
36,5,2,16
37,5,3,13
38,5,4,12
39,5,5,12
40,5,6,19
41,5,7,46
42,6,1,32
43,6,2,9
44,6,3,5
45,6,4,7
46,6,5,6
47,6,6,18
48,6,7,44
49,7,1,19
50,7,2,3
51,7,3,6
52,7,4,9
53,7,5,8
54,7,6,10
55,7,7,12
56,8,1,7
57,8,2,6
58,8,3,7
59,8,4,5
60,8,5,6
61,8,6,6
62,8,7,11
63,9,1,5
64,9,2,5
65,9,3,5
66,9,4,7
67,9,5,6
68,9,6,4
69,9,7,2
70,10,1,4
71,10,2,2
72,10,3,3
73,10,4,3
74,10,5,4
75,10,6,4
76,10,7,10
77,11,1,5
78,11,2,4
79,11,3,10
80,11,4,6
81,11,5,2
82,11,6,9
83,11,7,10
84,12,1,12
85,12,2,11
86,12,3,5
87,12,4,6
88,12,5,12
89,12,6,12
90,12,7,9
91,13,1,13
92,13,2,7
93,13,3,10
94,13,4,9
95,13,5,12
96,13,6,15
97,13,7,13
98,14,1,14
99,14,2,15
100,14,3,16
101,14,4,13
102,14,5,8
103,14,6,18
104,14,7,19
105,15,1,30
106,15,2,13
107,15,3,15
108,15,4,14
109,15,5,10
110,15,6,21
111,15,7,31
112,16,1,35
113,16,2,18
114,16,3,12
115,16,4,19
116,16,5,15
117,16,6,21
118,16,7,35
119,17,1,30
120,17,2,24
121,17,3,20
122,17,4,24
123,17,5,21
124,17,6,34
125,17,7,41
126,18,1,39
127,18,2,28
128,18,3,18
129,18,4,30
130,18,5,33
131,18,6,46
132,18,7,50
133,19,1,59
134,19,2,35
135,19,3,39
136,19,4,37
137,19,5,45
138,19,6,42
139,19,7,78
140,20,1,63
141,20,2,46
142,20,3,39
143,20,4,46
144,20,5,51
145,20,6,56
146,20,7,91
147,21,1,45
148,21,2,40
149,21,3,37
150,21,4,54
151,21,5,48
152,21,6,59
153,21,7,85
154,22,1,45
155,22,2,43
156,22,3,43
157,22,4,51
158,22,5,45
159,22,6,76
160,22,7,95
161,23,1,48
162,23,2,37
163,23,3,44
164,23,4,34
165,23,5,62
166,23,6,98
167,23,7,104
168,99,1,21
169,99,2,11
170,99,3,4
171,99,4,4
172,99,5,7
173,99,6,11
174,99,7,15
