,acchr,dayofweek,size
0,0,1,178
1,0,2,48
2,0,3,57
3,0,4,58
4,0,5,72
5,0,6,107
6,0,7,169
7,1,1,210
8,1,2,67
9,1,3,34
10,1,4,53
11,1,5,62
12,1,6,115
13,1,7,235
14,2,1,269
15,2,2,58
16,2,3,47
17,2,4,51
18,2,5,78
19,2,6,123
20,2,7,291
21,3,1,176
22,3,2,40
23,3,3,24
24,3,4,27
25,3,5,50
26,3,6,52
27,3,7,154
28,4,1,131
29,4,2,26
30,4,3,15
31,4,4,20
32,4,5,21
33,4,6,41
34,4,7,102
35,5,1,83
36,5,2,23
37,5,3,18
38,5,4,18
39,5,5,16
40,5,6,29
41,5,7,67
42,6,1,49
43,6,2,16
44,6,3,16
45,6,4,15
46,6,5,13
47,6,6,33
48,6,7,68
49,7,1,34
50,7,2,7
51,7,3,10
52,7,4,15
53,7,5,12
54,7,6,17
55,7,7,29
56,8,1,17
57,8,2,7
58,8,3,10
59,8,4,8
60,8,5,11
61,8,6,7
62,8,7,19
63,9,1,13
64,9,2,9
65,9,3,7
66,9,4,12
67,9,5,10
68,9,6,15
69,9,7,9
70,10,1,8
71,10,2,3
72,10,3,11
73,10,4,8
74,10,5,6
75,10,6,8
76,10,7,19
77,11,1,6
78,11,2,9
79,11,3,15
80,11,4,9
81,11,5,3
82,11,6,11
83,11,7,15
84,12,1,22
85,12,2,16
86,12,3,9
87,12,4,6
88,12,5,15
89,12,6,18
90,12,7,15
91,13,1,21
92,13,2,9
93,13,3,13
94,13,4,15
95,13,5,19
96,13,6,22
97,13,7,24
98,14,1,28
99,14,2,22
100,14,3,24
101,14,4,22
102,14,5,21
103,14,6,23
104,14,7,34
105,15,1,45
106,15,2,24
107,15,3,30
108,15,4,22
109,15,5,16
110,15,6,28
111,15,7,49
112,16,1,53
113,16,2,27
114,16,3,24
115,16,4,31
116,16,5,18
117,16,6,37
118,16,7,52
119,17,1,47
120,17,2,45
121,17,3,38
122,17,4,35
123,17,5,42
124,17,6,47
125,17,7,72
126,18,1,64
127,18,2,48
128,18,3,37
129,18,4,44
130,18,5,51
131,18,6,67
132,18,7,95
133,19,1,94
134,19,2,57
135,19,3,63
136,19,4,60
137,19,5,71
138,19,6,69
139,19,7,117
140,20,1,93
141,20,2,66
142,20,3,65
143,20,4,74
144,20,5,81
145,20,6,105
146,20,7,129
147,21,1,87
148,21,2,78
149,21,3,57
150,21,4,85
151,21,5,71
152,21,6,115
153,21,7,146
154,22,1,75
155,22,2,75
156,22,3,71
157,22,4,75
158,22,5,77
159,22,6,119
160,22,7,151
161,23,1,68
162,23,2,59
163,23,3,71
164,23,4,45
165,23,5,89
166,23,6,151
167,23,7,161
168,99,1,27
169,99,2,13
170,99,3,6
171,99,4,7
172,99,5,9
173,99,6,15
174,99,7,24
