,acchr,dayofweek,size
0,0,1,15
1,0,2,7
2,0,3,4
3,0,4,7
4,0,5,5
5,0,6,12
6,0,7,8
7,1,1,14
8,1,2,5
9,1,3,5
10,1,4,2
11,1,5,7
12,1,6,6
13,1,7,8
14,2,1,7
15,2,2,5
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,7
20,2,7,9
21,3,1,7
22,3,2,1
23,3,3,7
24,3,4,8
25,3,5,7
26,3,6,6
27,3,7,13
28,4,1,9
29,4,2,8
30,4,3,7
31,4,4,9
32,4,5,10
33,4,6,10
34,4,7,11
35,5,1,7
36,5,2,20
37,5,3,22
38,5,4,11
39,5,5,16
40,5,6,25
41,5,7,27
42,6,1,11
43,6,2,33
44,6,3,27
45,6,4,23
46,6,5,34
47,6,6,30
48,6,7,19
49,7,1,15
50,7,2,24
51,7,3,23
52,7,4,29
53,7,5,22
54,7,6,27
55,7,7,13
56,8,1,13
57,8,2,32
58,8,3,23
59,8,4,24
60,8,5,26
61,8,6,32
62,8,7,21
63,9,1,21
64,9,2,29
65,9,3,27
66,9,4,31
67,9,5,22
68,9,6,35
69,9,7,26
70,10,1,22
71,10,2,31
72,10,3,30
73,10,4,28
74,10,5,32
75,10,6,29
76,10,7,25
77,11,1,26
78,11,2,40
79,11,3,39
80,11,4,47
81,11,5,33
82,11,6,39
83,11,7,26
84,12,1,44
85,12,2,37
86,12,3,25
87,12,4,36
88,12,5,42
89,12,6,29
90,12,7,41
91,13,1,28
92,13,2,37
93,13,3,34
94,13,4,31
95,13,5,44
96,13,6,51
97,13,7,39
98,14,1,30
99,14,2,43
100,14,3,43
101,14,4,40
102,14,5,34
103,14,6,46
104,14,7,28
105,15,1,29
106,15,2,37
107,15,3,43
108,15,4,40
109,15,5,24
110,15,6,43
111,15,7,38
112,16,1,29
113,16,2,39
114,16,3,37
115,16,4,42
116,16,5,35
117,16,6,34
118,16,7,34
119,17,1,28
120,17,2,26
121,17,3,30
122,17,4,35
123,17,5,41
124,17,6,44
125,17,7,36
126,18,1,22
127,18,2,24
128,18,3,32
129,18,4,33
130,18,5,40
131,18,6,29
132,18,7,45
133,19,1,21
134,19,2,27
135,19,3,23
136,19,4,10
137,19,5,21
138,19,6,26
139,19,7,28
140,20,1,19
141,20,2,27
142,20,3,17
143,20,4,18
144,20,5,22
145,20,6,22
146,20,7,24
147,21,1,14
148,21,2,22
149,21,3,16
150,21,4,20
151,21,5,20
152,21,6,24
153,21,7,23
154,22,1,8
155,22,2,16
156,22,3,8
157,22,4,9
158,22,5,11
159,22,6,18
160,22,7,21
161,23,1,5
162,23,2,7
163,23,3,14
164,23,4,12
165,23,5,7
166,23,6,8
167,23,7,9
168,99,1,2
169,99,3,1
170,99,4,3
171,99,6,5
