,acchr,dayofweek,size
0,0,1,15
1,0,2,6
2,0,3,4
3,0,4,7
4,0,5,5
5,0,6,12
6,0,7,5
7,1,1,13
8,1,2,5
9,1,3,4
10,1,4,2
11,1,5,7
12,1,6,5
13,1,7,8
14,2,1,6
15,2,2,3
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,5
20,2,7,9
21,3,1,5
22,3,2,1
23,3,3,4
24,3,4,8
25,3,5,6
26,3,6,6
27,3,7,7
28,4,1,7
29,4,2,8
30,4,3,7
31,4,4,9
32,4,5,10
33,4,6,9
34,4,7,7
35,5,1,5
36,5,2,20
37,5,3,21
38,5,4,10
39,5,5,13
40,5,6,25
41,5,7,15
42,6,1,11
43,6,2,33
44,6,3,26
45,6,4,23
46,6,5,32
47,6,6,28
48,6,7,14
49,7,1,11
50,7,2,21
51,7,3,21
52,7,4,23
53,7,5,21
54,7,6,24
55,7,7,12
56,8,1,13
57,8,2,29
58,8,3,19
59,8,4,16
60,8,5,26
61,8,6,25
62,8,7,16
63,9,1,19
64,9,2,26
65,9,3,25
66,9,4,28
67,9,5,22
68,9,6,30
69,9,7,26
70,10,1,18
71,10,2,25
72,10,3,29
73,10,4,25
74,10,5,27
75,10,6,28
76,10,7,23
77,11,1,20
78,11,2,37
79,11,3,35
80,11,4,39
81,11,5,29
82,11,6,36
83,11,7,23
84,12,1,36
85,12,2,34
86,12,3,20
87,12,4,31
88,12,5,35
89,12,6,24
90,12,7,37
91,13,1,22
92,13,2,32
93,13,3,26
94,13,4,26
95,13,5,33
96,13,6,41
97,13,7,33
98,14,1,25
99,14,2,37
100,14,3,31
101,14,4,38
102,14,5,29
103,14,6,42
104,14,7,23
105,15,1,23
106,15,2,29
107,15,3,35
108,15,4,35
109,15,5,23
110,15,6,38
111,15,7,34
112,16,1,25
113,16,2,37
114,16,3,31
115,16,4,35
116,16,5,29
117,16,6,33
118,16,7,27
119,17,1,23
120,17,2,23
121,17,3,26
122,17,4,32
123,17,5,38
124,17,6,37
125,17,7,31
126,18,1,21
127,18,2,23
128,18,3,32
129,18,4,30
130,18,5,33
131,18,6,28
132,18,7,37
133,19,1,18
134,19,2,26
135,19,3,21
136,19,4,10
137,19,5,16
138,19,6,24
139,19,7,26
140,20,1,15
141,20,2,25
142,20,3,15
143,20,4,18
144,20,5,18
145,20,6,21
146,20,7,24
147,21,1,9
148,21,2,21
149,21,3,15
150,21,4,18
151,21,5,15
152,21,6,21
153,21,7,22
154,22,1,8
155,22,2,10
156,22,3,8
157,22,4,9
158,22,5,10
159,22,6,14
160,22,7,19
161,23,1,5
162,23,2,7
163,23,3,14
164,23,4,9
165,23,5,6
166,23,6,5
167,23,7,8
168,99,1,2
169,99,3,1
170,99,4,3
171,99,6,5
