,acchr,dayofweek,size
0,0,1,40
1,0,2,22
2,0,3,24
3,0,4,25
4,0,5,21
5,0,6,43
6,0,7,47
7,1,1,51
8,1,2,15
9,1,3,15
10,1,4,9
11,1,5,19
12,1,6,30
13,1,7,53
14,2,1,33
15,2,2,11
16,2,3,12
17,2,4,12
18,2,5,14
19,2,6,26
20,2,7,37
21,3,1,24
22,3,2,8
23,3,3,13
24,3,4,18
25,3,5,16
26,3,6,11
27,3,7,29
28,4,1,22
29,4,2,14
30,4,3,16
31,4,4,14
32,4,5,18
33,4,6,25
34,4,7,22
35,5,1,24
36,5,2,25
37,5,3,33
38,5,4,23
39,5,5,29
40,5,6,35
41,5,7,37
42,6,1,21
43,6,2,49
44,6,3,56
45,6,4,37
46,6,5,50
47,6,6,52
48,6,7,35
49,7,1,29
50,7,2,51
51,7,3,44
52,7,4,58
53,7,5,42
54,7,6,39
55,7,7,19
56,8,1,26
57,8,2,56
58,8,3,46
59,8,4,47
60,8,5,52
61,8,6,57
62,8,7,40
63,9,1,37
64,9,2,53
65,9,3,52
66,9,4,42
67,9,5,41
68,9,6,55
69,9,7,46
70,10,1,36
71,10,2,52
72,10,3,58
73,10,4,61
74,10,5,59
75,10,6,48
76,10,7,51
77,11,1,52
78,11,2,59
79,11,3,68
80,11,4,72
81,11,5,60
82,11,6,72
83,11,7,57
84,12,1,87
85,12,2,70
86,12,3,66
87,12,4,72
88,12,5,77
89,12,6,77
90,12,7,72
91,13,1,67
92,13,2,67
93,13,3,66
94,13,4,60
95,13,5,82
96,13,6,97
97,13,7,85
98,14,1,62
99,14,2,80
100,14,3,85
101,14,4,72
102,14,5,72
103,14,6,87
104,14,7,70
105,15,1,79
106,15,2,74
107,15,3,98
108,15,4,75
109,15,5,50
110,15,6,86
111,15,7,74
112,16,1,70
113,16,2,82
114,16,3,71
115,16,4,83
116,16,5,78
117,16,6,78
118,16,7,74
119,17,1,75
120,17,2,73
121,17,3,65
122,17,4,88
123,17,5,88
124,17,6,90
125,17,7,102
126,18,1,68
127,18,2,68
128,18,3,66
129,18,4,82
130,18,5,82
131,18,6,85
132,18,7,107
133,19,1,67
134,19,2,54
135,19,3,49
136,19,4,46
137,19,5,79
138,19,6,64
139,19,7,96
140,20,1,63
141,20,2,65
142,20,3,53
143,20,4,57
144,20,5,67
145,20,6,74
146,20,7,102
147,21,1,52
148,21,2,55
149,21,3,46
150,21,4,60
151,21,5,63
152,21,6,68
153,21,7,83
154,22,1,40
155,22,2,44
156,22,3,40
157,22,4,41
158,22,5,50
159,22,6,59
160,22,7,81
161,23,1,25
162,23,2,26
163,23,3,31
164,23,4,33
165,23,5,39
166,23,6,64
167,23,7,52
168,99,1,6
169,99,2,10
170,99,3,2
171,99,4,9
172,99,5,8
173,99,6,12
174,99,7,8
