,acchr,dayofweek,size
0,0,1,39
1,0,2,21
2,0,3,23
3,0,4,22
4,0,5,21
5,0,6,39
6,0,7,35
7,1,1,47
8,1,2,11
9,1,3,12
10,1,4,9
11,1,5,16
12,1,6,24
13,1,7,49
14,2,1,29
15,2,2,9
16,2,3,11
17,2,4,12
18,2,5,13
19,2,6,21
20,2,7,35
21,3,1,19
22,3,2,4
23,3,3,7
24,3,4,17
25,3,5,15
26,3,6,11
27,3,7,21
28,4,1,18
29,4,2,14
30,4,3,14
31,4,4,14
32,4,5,16
33,4,6,23
34,4,7,14
35,5,1,19
36,5,2,24
37,5,3,32
38,5,4,20
39,5,5,24
40,5,6,34
41,5,7,24
42,6,1,21
43,6,2,48
44,6,3,51
45,6,4,37
46,6,5,45
47,6,6,49
48,6,7,27
49,7,1,24
50,7,2,43
51,7,3,39
52,7,4,47
53,7,5,40
54,7,6,36
55,7,7,18
56,8,1,25
57,8,2,51
58,8,3,41
59,8,4,36
60,8,5,49
61,8,6,48
62,8,7,35
63,9,1,30
64,9,2,49
65,9,3,48
66,9,4,36
67,9,5,40
68,9,6,44
69,9,7,46
70,10,1,31
71,10,2,46
72,10,3,57
73,10,4,50
74,10,5,52
75,10,6,45
76,10,7,46
77,11,1,38
78,11,2,50
79,11,3,58
80,11,4,58
81,11,5,54
82,11,6,62
83,11,7,47
84,12,1,76
85,12,2,62
86,12,3,50
87,12,4,62
88,12,5,62
89,12,6,63
90,12,7,65
91,13,1,56
92,13,2,55
93,13,3,57
94,13,4,49
95,13,5,65
96,13,6,78
97,13,7,73
98,14,1,50
99,14,2,66
100,14,3,66
101,14,4,70
102,14,5,62
103,14,6,79
104,14,7,57
105,15,1,63
106,15,2,60
107,15,3,73
108,15,4,63
109,15,5,46
110,15,6,73
111,15,7,65
112,16,1,59
113,16,2,80
114,16,3,58
115,16,4,69
116,16,5,63
117,16,6,70
118,16,7,62
119,17,1,54
120,17,2,66
121,17,3,58
122,17,4,78
123,17,5,84
124,17,6,81
125,17,7,90
126,18,1,61
127,18,2,65
128,18,3,66
129,18,4,73
130,18,5,73
131,18,6,79
132,18,7,94
133,19,1,62
134,19,2,52
135,19,3,43
136,19,4,42
137,19,5,69
138,19,6,62
139,19,7,90
140,20,1,54
141,20,2,60
142,20,3,44
143,20,4,54
144,20,5,63
145,20,6,71
146,20,7,94
147,21,1,41
148,21,2,54
149,21,3,39
150,21,4,56
151,21,5,56
152,21,6,58
153,21,7,77
154,22,1,36
155,22,2,38
156,22,3,39
157,22,4,41
158,22,5,48
159,22,6,51
160,22,7,70
161,23,1,22
162,23,2,24
163,23,3,29
164,23,4,29
165,23,5,33
166,23,6,60
167,23,7,44
168,99,1,5
169,99,2,7
170,99,3,2
171,99,4,9
172,99,5,8
173,99,6,12
174,99,7,6
