,acchr,dayofweek,size
0,0,1,42
1,0,2,30
2,0,3,19
3,0,4,30
4,0,5,19
5,0,6,26
6,0,7,47
7,1,1,44
8,1,2,22
9,1,3,13
10,1,4,19
11,1,5,14
12,1,6,17
13,1,7,36
14,2,1,38
15,2,2,23
16,2,3,11
17,2,4,12
18,2,5,12
19,2,6,30
20,2,7,33
21,3,1,31
22,3,2,10
23,3,3,12
24,3,4,22
25,3,5,14
26,3,6,22
27,3,7,34
28,4,1,27
29,4,2,17
30,4,3,20
31,4,4,18
32,4,5,13
33,4,6,31
34,4,7,31
35,5,1,25
36,5,2,32
37,5,3,38
38,5,4,31
39,5,5,32
40,5,6,42
41,5,7,42
42,6,1,27
43,6,2,56
44,6,3,58
45,6,4,47
46,6,5,57
47,6,6,59
48,6,7,33
49,7,1,33
50,7,2,49
51,7,3,47
52,7,4,60
53,7,5,57
54,7,6,54
55,7,7,37
56,8,1,30
57,8,2,64
58,8,3,45
59,8,4,58
60,8,5,45
61,8,6,56
62,8,7,43
63,9,1,39
64,9,2,45
65,9,3,44
66,9,4,46
67,9,5,40
68,9,6,57
69,9,7,44
70,10,1,44
71,10,2,45
72,10,3,45
73,10,4,41
74,10,5,48
75,10,6,51
76,10,7,46
77,11,1,45
78,11,2,66
79,11,3,71
80,11,4,72
81,11,5,44
82,11,6,57
83,11,7,54
84,12,1,67
85,12,2,61
86,12,3,49
87,12,4,60
88,12,5,71
89,12,6,43
90,12,7,64
91,13,1,63
92,13,2,67
93,13,3,53
94,13,4,61
95,13,5,65
96,13,6,70
97,13,7,75
98,14,1,57
99,14,2,74
100,14,3,79
101,14,4,64
102,14,5,59
103,14,6,87
104,14,7,60
105,15,1,63
106,15,2,65
107,15,3,79
108,15,4,77
109,15,5,46
110,15,6,74
111,15,7,68
112,16,1,63
113,16,2,71
114,16,3,75
115,16,4,78
116,16,5,73
117,16,6,58
118,16,7,65
119,17,1,63
120,17,2,66
121,17,3,56
122,17,4,60
123,17,5,76
124,17,6,81
125,17,7,64
126,18,1,41
127,18,2,60
128,18,3,68
129,18,4,78
130,18,5,77
131,18,6,68
132,18,7,81
133,19,1,53
134,19,2,51
135,19,3,50
136,19,4,34
137,19,5,48
138,19,6,55
139,19,7,55
140,20,1,50
141,20,2,52
142,20,3,44
143,20,4,44
144,20,5,46
145,20,6,55
146,20,7,55
147,21,1,37
148,21,2,48
149,21,3,38
150,21,4,43
151,21,5,55
152,21,6,70
153,21,7,56
154,22,1,29
155,22,2,36
156,22,3,27
157,22,4,26
158,22,5,37
159,22,6,53
160,22,7,53
161,23,1,14
162,23,2,26
163,23,3,29
164,23,4,29
165,23,5,24
166,23,6,40
167,23,7,41
168,99,1,4
169,99,2,1
170,99,3,3
171,99,4,5
172,99,6,8
173,99,7,3
